stress_ratio,cycles_to_failure,stress_parameter,stress_lowerbound,stress_upperbound
-1.0,1,104.68429708283627,,
-1.0,51,104.63486439773185,,
-1.0,101,104.58594653514078,,
-1.0,151,104.53753311555575,,
-1.0,201,104.4896140679284,,
-1.0,251,104.44217961761149,,
-1.0,301,104.3952202748833,,
-1.0,351,104.34872682402104,,
-1.0,401,104.30269031289163,,
-1.0,451,104.25710204303125,,
-1.0,501,104.21195356018622,,
-1.0,551,104.16723664528962,,
-1.0,601,104.12294330585007,,
-1.0,651,104.07906576773021,,
-1.0,701,104.03559646729371,,
-1.0,751,103.9925280439017,,
-1.0,801,103.94985333273951,,
-1.0,851,103.90756535795718,,
-1.0,901,103.86565732610666,,
-1.0,951,103.82412261986116,,
-1.0,1000,103.78377459405385,,
-1.0,10000,99.3853977810826,,
-1.0,20000,97.02153114433517,,
-1.0,30000,95.49668681798039,,
-1.0,40000,94.37391257089931,,
-1.0,50000,93.4871096190853,,
-1.0,60000,92.75534931039999,,
-1.0,70000,92.1331452640227,,
-1.0,80000,91.59240637134674,,
-1.0,90000,91.11457880518464,,
-1.0,100000,90.68677343014778,,
-1.0,110000,90.29967655388481,,
-1.0,120000,89.94634185331506,,
-1.0,130000,89.62145234027736,,
-1.0,140000,89.32084884880611,,
-1.0,150000,89.04121738932926,,
-1.0,160000,88.77987523201702,,
-1.0,170000,88.53462055466231,,
-1.0,180000,88.30362427782028,,
-1.0,190000,88.08535064851189,,
-1.0,200000,87.87849787388825,,
-1.0,210000,87.68195302784797,,
-1.0,220000,87.49475730547464,,
-1.0,230000,87.31607890355961,,
-1.0,240000,87.14519160507986,,
-1.0,250000,86.98145768756166,,
-1.0,260000,86.82431414946038,,
-1.0,270000,86.67326151130509,,
-1.0,280000,86.52785463547026,,
-1.0,290000,86.38769514360965,,
-1.0,300000,86.25242510969116,,
-1.0,310000,86.1217217797954,,
-1.0,320000,85.99529312464563,,
-1.0,330000,85.87287407227662,,
-1.0,340000,85.75422329987826,,
-1.0,350000,85.6391204882076,,
-1.0,360000,85.52736396087307,,
-1.0,370000,85.41876864559437,,
-1.0,380000,85.31316430620414,,
-1.0,390000,85.21039400341587,,
-1.0,400000,85.11031274977726,,
-1.0,410000,85.0127863301714,,
-1.0,420000,84.91769026403325,,
-1.0,430000,84.82490888935445,,
-1.0,440000,84.73433455174033,,
-1.0,450000,84.64586688440455,,
-1.0,460000,84.55941216714793,,
-1.0,470000,84.47488275416094,,
-1.0,480000,84.39219656198053,,
-1.0,490000,84.31127661017862,,
-1.0,500000,84.23205060840579,,
-1.0,510000,84.15445058429465,,
-1.0,520000,84.07841254747194,,
-1.0,530000,84.00387618556016,,
-1.0,540000,83.93078458858702,,
-1.0,550000,83.85908399867982,,
-1.0,560000,83.78872358231477,,
-1.0,570000,83.71965522272886,,
-1.0,580000,83.65183333039239,,
-1.0,590000,83.58521466969151,,
-1.0,600000,83.51975820018697,,
-1.0,610000,83.45542493100484,,
-1.0,620000,83.39217778707808,,
-1.0,630000,83.329981486102,,
-1.0,640000,83.26880242519117,,
-1.0,650000,83.20860857633582,,
-1.0,660000,83.14936938985092,,
