stress_ratio,cycles_to_failure,stress,stress_lowerbound,stress_upperbound
0.1000000,1.000000,32.90580,30.40634,36.37630
0.1000000,51.00000,25.07248,23.79429,26.74287
0.1000000,101.0000,23.91540,22.78930,25.36434
0.1000000,151.0000,23.25950,22.21486,24.58966
0.1000000,201.0000,22.80400,21.81362,24.05481
0.1000000,251.0000,22.45638,21.50602,23.64851
0.1000000,301.0000,22.17606,21.25703,23.32213
0.1000000,351.0000,21.94166,21.04812,23.05010
0.1000000,401.0000,21.74053,20.86835,22.81738
0.1000000,451.0000,21.56460,20.71068,22.61433
0.1000000,501.0000,21.40839,20.57035,22.43448
0.1000000,551.0000,21.26803,20.44398,22.27323
0.1000000,601.0000,21.14067,20.32907,22.12722
0.1000000,651.0000,21.02417,20.22375,21.99391
0.1000000,701.0000,20.91687,20.12658,21.87135
0.1000000,751.0000,20.81745,20.03638,21.75799
0.1000000,801.0000,20.72488,19.95226,21.65259
0.1000000,851.0000,20.63828,19.87345,21.55416
0.1000000,901.0000,20.55697,19.79933,21.46186
0.1000000,951.0000,20.48034,19.72939,21.37501
0.1000000,1000.000,20.40931,19.66447,21.29461
0.1000000,10000.00,17.40525,16.82172,18.00824
0.1000000,20000.00,16.59070,16.01202,17.16199
0.1000000,30000.00,16.13200,15.54865,16.69401
0.1000000,40000.00,15.81427,15.22482,16.37320
0.1000000,50000.00,15.57212,14.97661,16.13042
0.1000000,60000.00,15.37704,14.77580,15.93583
0.1000000,70000.00,15.21400,14.60745,15.77385
0.1000000,80000.00,15.07417,14.46271,15.63537
0.1000000,90000.00,14.95190,14.33588,15.51460
0.1000000,100000.0,14.84336,14.22313,15.40764
0.1000000,110000.0,14.74586,14.12169,15.31173
0.1000000,120000.0,14.65740,14.02956,15.22487
0.1000000,130000.0,14.57650,13.94521,15.14554
0.1000000,140000.0,14.50200,13.86745,15.07257
0.1000000,150000.0,14.43298,13.79537,15.00506
0.1000000,160000.0,14.36871,13.72820,14.94226
0.1000000,170000.0,14.30860,13.66534,14.88357
0.1000000,180000.0,14.25216,13.60628,14.82852
0.1000000,190000.0,14.19897,13.55061,14.77668
0.1000000,200000.0,14.14870,13.49795,14.72772
0.1000000,210000.0,14.10105,13.44802,14.68133
0.1000000,220000.0,14.05576,13.40055,14.63728
0.1000000,230000.0,14.01262,13.35532,14.59534
0.1000000,240000.0,13.97145,13.31213,14.55533
0.1000000,250000.0,13.93206,13.27081,14.51708
0.1000000,260000.0,13.89433,13.23122,14.48045
0.1000000,270000.0,13.85812,13.19320,14.44531
0.1000000,280000.0,13.82331,13.15666,14.41155
0.1000000,290000.0,13.78981,13.12147,14.37907
0.1000000,300000.0,13.75752,13.08756,14.34777
0.1000000,310000.0,13.72637,13.05483,14.31758
0.1000000,320000.0,13.69626,13.02320,14.28843
0.1000000,330000.0,13.66715,12.99260,14.26024
