Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,32.717262451,0.57078898,,,,,,,,,,,,,
1,2.720769287,0.569767493,,,,,,,,,,,,,
1,2.721726563,0.570927223,,,,,,,,,,,,,
1,2.723656494,0.571459881,,,,,,,,,,,,,
1,2.727479736,0.571734854,,,,,,,,,,,,,
1,2.731515625,0.573525205,,,,,,,,,,,,,
1,2.732794678,0.572966062,,,,,,,,,,,,,
1,2.739592041,0.573896628,,,,,,,,,,,,,
1,2.745077393,0.577057537,,,,,,,,,,,,,
1,2.749208252,0.577495201,,,,,,,,,,,,,
1,2.75756665,0.579534855,,,,,,,,,,,,,
1,2.766908203,0.581340515,,,,,,,,,,,,,
1,2.77791626,0.583781686,,,,,,,,,,,,,
1,2.787284424,0.585411501,,,,,,,,,,,,,
1,2.810653809,0.589527539,,,,,,,,,,,,,
1,2.829945068,0.594599929,,,,,,,,,,,,,
1,2.848146729,0.598163926,,,,,,,,,,,,,
1,2.870986328,0.602826825,,,,,,,,,,,,,
1,2.9001521,0.609486189,,,,,,,,,,,,,
1,2.935716064,0.616947538,,,,,,,,,,,,,
1,2.975195557,0.624932349,,,,,,,,,,,,,
1,3.013018066,0.633199874,,,,,,,,,,,,,
1,3.058147461,0.64120593,,,,,,,,,,,,,
1,3.094723389,0.651545473,,,,,,,,,,,,,
1,3.132355469,0.661800441,,,,,,,,,,,,,
1,3.180719971,0.672781491,,,,,,,,,,,,,
1,3.237140381,0.684619299,,,,,,,,,,,,,
1,3.295359619,0.700547942,,,,,,,,,,,,,
1,3.356461426,0.716317387,,,,,,,,,,,,,
1,3.424578857,0.733466819,,,,,,,,,,,,,
1,3.497561035,0.75259438,,,,,,,,,,,,,
1,3.560749268,0.770236191,,,,,,,,,,,,,
1,3.624468994,0.791957253,,,,,,,,,,,,,
1,3.688106201,0.810851518,,,,,,,,,,,,,
1,3.756387695,0.830790785,,,,,,,,,,,,,
1,3.820835693,0.851193094,,,,,,,,,,,,,
1,3.887354492,0.871833472,,,,,,,,,,,,,
1,3.946149414,0.891440373,,,,,,,,,,,,,
1,4.012395752,0.911389652,,,,,,,,,,,,,
1,4.06727832,0.931295741,,,,,,,,,,,,,
1,4.125758301,0.9520069,,,,,,,,,,,,,
1,4.182502441,0.971380563,,,,,,,,,,,,,
1,4.239227539,0.990952598,,,,,,,,,,,,,
1,4.288091309,1.011512009,,,,,,,,,,,,,
1,4.342292969,1.029763022,,,,,,,,,,,,,
1,4.388930176,1.048741862,,,,,,,,,,,,,
1,4.438674316,1.068133162,,,,,,,,,,,,,
1,4.485850098,1.087780693,,,,,,,,,,,,,
1,4.521553711,1.10445288,,,,,,,,,,,,,
1,4.558999512,1.121486654,,,,,,,,,,,,,
1,4.597565918,1.140105422,,,,,,,,,,,,,
1,4.635706055,1.155377482,,,,,,,,,,,,,
1,4.665227051,1.172043267,,,,,,,,,,,,,
1,4.69878125,1.186266192,,,,,,,,,,,,,
1,4.72020459,1.200373867,,,,,,,,,,,,,
1,4.743905273,1.212187926,,,,,,,,,,,,,
1,4.757936035,1.223429688,,,,,,,,,,,,,
1,4.76708252,1.232590177,,,,,,,,,,,,,
1,4.764598145,1.239707693,,,,,,,,,,,,,
1,4.763137695,1.244925777,,,,,,,,,,,,,
1,4.745799805,1.247629523,,,,,,,,,,,,,
1,4.727708008,1.248682267,,,,,,,,,,,,,
1,4.698597168,1.246655709,,,,,,,,,,,,,
1,4.65479248,1.240919577,,,,,,,,,,,,,
1,4.607587891,1.230596448,,,,,,,,,,,,,
1,4.532752441,1.218859456,,,,,,,,,,,,,
1,4.456828125,1.205728971,,,,,,,,,,,,,
1,4.371181152,1.188731869,,,,,,,,,,,,,
1,4.264358398,1.170464675,,,,,,,,,,,,,
1,4.159583984,1.146235387,,,,,,,,,,,,,
1,4.038855469,1.122576301,,,,,,,,,,,,,
1,3.920276367,1.09595398,,,,,,,,,,,,,
1,3.797987793,1.070073922,,,,,,,,,,,,,
1,3.67068457,1.042986289,,,,,,,,,,,,,
1,3.540424561,1.015337999,,,,,,,,,,,,,
