Machine_N_cycles,Machine_Load,Machine_Displacement,MD_index--1,MD_N_cycles--1,exx--1,eyy--1,exy--1,Crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,4.790091797,1.438436215,,,,,,,,,,,,,
1,4.79757666,1.441652654,,,,,,,,,,,,,
1,4.798032227,1.444543479,,,,,,,,,,,,,
1,4.800988281,1.44772639,,,,,,,,,,,,,
1,4.804025391,1.448352239,,,,,,,,,,,,,
1,4.808023438,1.452660887,,,,,,,,,,,,,
1,4.812109375,1.453622128,,,,,,,,,,,,,
1,4.817355469,1.456474536,,,,,,,,,,,,,
1,4.823784668,1.461341628,,,,,,,,,,,,,
1,4.832927734,1.464505098,,,,,,,,,,,,,
1,4.839153809,1.469436684,,,,,,,,,,,,,
1,4.852969727,1.472062548,,,,,,,,,,,,,
1,4.865970215,1.477489946,,,,,,,,,,,,,
1,4.88273291,1.483105938,,,,,,,,,,,,,
1,4.901815918,1.490147319,,,,,,,,,,,,,
1,4.924368164,1.496230136,,,,,,,,,,,,,
1,4.951234863,1.506332657,,,,,,,,,,,,,
1,4.979865234,1.516380929,,,,,,,,,,,,,
1,5.009989746,1.523363288,,,,,,,,,,,,,
1,5.040685059,1.536191208,,,,,,,,,,,,,
1,5.074283691,1.547411433,,,,,,,,,,,,,
1,5.109327637,1.560509903,,,,,,,,,,,,,
1,5.152464844,1.574657392,,,,,,,,,,,,,
1,5.18867041,1.59000617,,,,,,,,,,,,,
1,5.225708496,1.605803496,,,,,,,,,,,,,
1,5.258756348,1.621009316,,,,,,,,,,,,,
1,5.300117676,1.637507929,,,,,,,,,,,,,
1,5.336371582,1.654714695,,,,,,,,,,,,,
1,5.379175781,1.673739403,,,,,,,,,,,,,
1,5.405365234,1.693316619,,,,,,,,,,,,,
1,5.444477051,1.710819895,,,,,,,,,,,,,
1,5.467510742,1.730105607,,,,,,,,,,,,,
1,5.505683105,1.749619143,,,,,,,,,,,,,
1,5.539526855,1.770172152,,,,,,,,,,,,,
1,5.565679688,1.788991736,,,,,,,,,,,,,
1,5.593318359,1.808971749,,,,,,,,,,,,,
1,5.613146484,1.828406239,,,,,,,,,,,,,
1,5.632408203,1.847687759,,,,,,,,,,,,,
1,5.655887695,1.866688952,,,,,,,,,,,,,
1,5.672157715,1.884431927,,,,,,,,,,,,,
1,5.688824707,1.902852557,,,,,,,,,,,,,
1,5.704001465,1.919383416,,,,,,,,,,,,,
1,5.713037109,1.935013453,,,,,,,,,,,,,
1,5.724228027,1.950482139,,,,,,,,,,,,,
1,5.727246094,1.964170719,,,,,,,,,,,,,
1,5.731312012,1.976129599,,,,,,,,,,,,,
1,5.724449219,1.98731781,,,,,,,,,,,,,
1,5.717287109,1.997406129,,,,,,,,,,,,,
1,5.699507324,2.003537258,,,,,,,,,,,,,
1,5.675489258,2.004931681,,,,,,,,,,,,,
1,5.644461914,2.005477902,,,,,,,,,,,,,
1,5.606133301,2.004186856,,,,,,,,,,,,,
1,5.560682617,1.997721149,,,,,,,,,,,,,
1,5.49376416,1.990026562,,,,,,,,,,,,,
1,5.420947754,1.976047643,,,,,,,,,,,,,
1,5.340993164,1.960820286,,,,,,,,,,,,,
1,5.251491211,1.942385337,,,,,,,,,,,,,
1,5.157411621,1.921247109,,,,,,,,,,,,,
1,5.057584961,1.9012189,,,,,,,,,,,,,
1,4.95384668,1.875432325,,,,,,,,,,,,,
1,4.845389648,1.849940047,,,,,,,,,,,,,
1,4.733442383,1.824244275,,,,,,,,,,,,,
1,4.625012207,1.797509496,,,,,,,,,,,,,
1,4.517803223,1.772452146,,,,,,,,,,,,,
1,4.41123584,1.744940877,,,,,,,,,,,,,
1,4.317975586,1.719990396,,,,,,,,,,,,,
1,4.219470703,1.694264705,,,,,,,,,,,,,
1,4.12549707,1.66971609,,,,,,,,,,,,,
2,4.041493896,1.647332683,,,,,,,,,,,,,
2,3.959404541,1.625994919,,,,,,,,,,,,,
2,3.888341553,1.605093828,,,,,,,,,,,,,
2,3.818914795,1.58553978,,,,,,,,,,,,,
2,3.765312256,1.568471314,,,,,,,,,,,,,
2,3.720366943,1.556404401,,,,,,,,,,,,,
2,3.684079834,1.546179876,,,,,,,,,,,,,
