Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,5.971169922,2.246897202,,,,,,,,,,,,,
1,5.974049316,2.251256723,,,,,,,,,,,,,
1,5.975799805,2.25681765,,,,,,,,,,,,,
1,5.981850586,2.263214439,,,,,,,,,,,,,
1,5.983501465,2.269148361,,,,,,,,,,,,,
1,6.000149414,2.275358653,,,,,,,,,,,,,
1,6.010288574,2.282429254,,,,,,,,,,,,,
1,6.024480469,2.291353885,,,,,,,,,,,,,
1,6.034421875,2.299131127,,,,,,,,,,,,,
1,6.055656738,2.309596166,,,,,,,,,,,,,
1,6.08054541,2.319948748,,,,,,,,,,,,,
1,6.108751953,2.331415657,,,,,,,,,,,,,
1,6.124655273,2.343188506,,,,,,,,,,,,,
1,6.152130371,2.35630339,,,,,,,,,,,,,
1,6.168202637,2.368397079,,,,,,,,,,,,,
1,6.193967773,2.382090781,,,,,,,,,,,,,
1,6.215869629,2.394453622,,,,,,,,,,,,,
1,6.229387207,2.407166408,,,,,,,,,,,,,
1,6.244293457,2.418240998,,,,,,,,,,,,,
1,6.245931152,2.42886343,,,,,,,,,,,,,
1,6.249277344,2.438734286,,,,,,,,,,,,,
1,6.252858398,2.447932493,,,,,,,,,,,,,
1,6.247674316,2.454657108,,,,,,,,,,,,,
1,6.239699219,2.461970551,,,,,,,,,,,,,
1,6.226291504,2.46497686,,,,,,,,,,,,,
1,6.201455078,2.467575017,,,,,,,,,,,,,
1,6.170561035,2.465791767,,,,,,,,,,,,,
1,6.138010742,2.464592457,,,,,,,,,,,,,
2,6.099520996,2.459553769,,,,,,,,,,,,,
2,6.05989209,2.455555368,,,,,,,,,,,,,
2,6.02846875,2.45026825,,,,,,,,,,,,,
2,5.999308594,2.448242391,,,,,,,,,,,,,
2,5.979433105,2.446108265,,,,,,,,,,,,,
2,5.955332031,2.444295911,,,,,,,,,,,,,
2,5.949008789,2.445286373,,,,,,,,,,,,,
2,5.948133301,2.444734098,,,,,,,,,,,,,
2,5.951574219,2.449841471,,,,,,,,,,,,,
2,5.964951172,2.454144182,,,,,,,,,,,,,
2,5.986506348,2.462335629,,,,,,,,,,,,,
2,6.014343262,2.470541745,,,,,,,,,,,,,
2,6.045634766,2.480412833,,,,,,,,,,,,,
2,6.079719238,2.492957748,,,,,,,,,,,,,
2,6.115353516,2.504856326,,,,,,,,,,,,,
2,6.144640625,2.516310662,,,,,,,,,,,,,
2,6.175801758,2.528390847,,,,,,,,,,,,,
2,6.198737793,2.540669171,,,,,,,,,,,,,
2,6.218516113,2.550680889,,,,,,,,,,,,,
2,6.241310059,2.561785746,,,,,,,,,,,,,
2,6.249412109,2.570329932,,,,,,,,,,,,,
2,6.250709961,2.577625448,,,,,,,,,,,,,
2,6.253169922,2.583861584,,,,,,,,,,,,,
2,6.24437207,2.587010385,,,,,,,,,,,,,
2,6.222789551,2.588656498,,,,,,,,,,,,,
2,6.20540918,2.589280251,,,,,,,,,,,,,
2,6.17317627,2.586448565,,,,,,,,,,,,,
2,6.140029785,2.583462745,,,,,,,,,,,,,
3,6.098230957,2.578877844,,,,,,,,,,,,,
3,6.073705566,2.572973026,,,,,,,,,,,,,
3,6.039199219,2.568859607,,,,,,,,,,,,,
3,6.004401367,2.565165982,,,,,,,,,,,,,
3,5.990821777,2.562900539,,,,,,,,,,,,,
3,5.974825195,2.562100999,,,,,,,,,,,,,
3,5.963052734,2.56045768,,,,,,,,,,,,,
3,5.962799805,2.562497277,,,,,,,,,,,,,
3,5.972948242,2.56576878,,,,,,,,,,,,,
3,5.988469238,2.572038677,,,,,,,,,,,,,
3,6.013657227,2.579523949,,,,,,,,,,,,,
3,6.04453125,2.589965006,,,,,,,,,,,,,
3,6.075775879,2.598868683,,,,,,,,,,,,,
3,6.111133789,2.60928669,,,,,,,,,,,,,
3,6.145205566,2.621300286,,,,,,,,,,,,,
3,6.180142578,2.632729476,,,,,,,,,,,,,
3,6.209221191,2.645633416,,,,,,,,,,,,,
3,6.23587793,2.656196011,,,,,,,,,,,,,
3,6.257619141,2.666810993,,,,,,,,,,,,,
3,6.271119141,2.676187782,,,,,,,,,,,,,
3,6.283481934,2.684234409,,,,,,,,,,,,,
3,6.285271484,2.690683352,,,,,,,,,,,,,
3,6.284588379,2.696463605,,,,,,,,,,,,,
3,6.274544434,2.699481323,,,,,,,,,,,,,
3,6.256716797,2.700614976,,,,,,,,,,,,,
