Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,u--1,v--1,exx--1,eyy--1,exy--1,MD_N_cycles--1,MD_Load--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,1,9.61E-10,15.74621499,,,,,,,,,,,,,,,,,,,,F-0.53-01
,1,0.000581146,15.73810726,,,,,,,,,,,,,,,,,,,,
,1,-0.000330805,15.72007388,,,,,,,,,,,,,,,,,,,,
,1,-0.002282112,15.69025517,,,,,,,,,,,,,,,,,,,,
,1,-0.003756209,15.65748602,,,,,,,,,,,,,,,,,,,,
,1,-0.003756209,15.63347131,,,,,,,,,,,,,,,,,,,,
,1,-0.001727789,15.630427,,,,,,,,,,,,,,,,,,,,
,1,0.003547223,15.664877,,,,,,,,,,,,,,,,,,,,
,1,0.010685252,15.7354638,,,,,,,,,,,,,,,,,,,,
,1,0.016377123,15.81739187,,,,,,,,,,,,,,,,,,,,
,1,0.019207971,15.88650644,,,,,,,,,,,,,,,,,,,,
,1,0.019335376,15.92499167,,,,,,,,,,,,,,,,,,,,
,1,0.017594175,15.92756063,,,,,,,,,,,,,,,,,,,,
,1,0.015427174,15.9094885,,,,,,,,,,,,,,,,,,,,
,1,0.01418777,15.89304507,,,,,,,,,,,,,,,,,,,,
,1,0.015286358,15.89603722,,,,,,,,,,,,,,,,,,,,
,1,0.018693881,15.92382938,,,,,,,,,,,,,,,,,,,,
,1,0.022768604,15.9694612,,,,,,,,,,,,,,,,,,,,
,1,0.026685747,16.03031307,,,,,,,,,,,,,,,,,,,,
,1,0.029020386,16.09490961,,,,,,,,,,,,,,,,,,,,
,1,0.028830396,16.13448858,,,,,,,,,,,,,,,,,,,,
,1,0.027138369,16.14060253,,,,,,,,,,,,,,,,,,,,
,1,0.02522506,16.12702906,,,,,,,,,,,,,,,,,,,,
,1,0.023530798,16.10890329,,,,,,,,,,,,,,,,,,,,
,1,0.023176523,16.09920412,,,,,,,,,,,,,,,,,,,,
,1,0.024515392,16.10428691,,,,,,,,,,,,,,,,,,,,
,1,0.026577341,16.12029672,,,,,,,,,,,,,,,,,,,,
,1,0.028035792,16.1338374,,,,,,,,,,,,,,,,,,,,
,1,0.02813861,16.13472849,,,,,,,,,,,,,,,,,,,,
,1,0.027065726,16.12382233,,,,,,,,,,,,,,,,,,,,
,1,0.025695564,16.1103785,,,,,,,,,,,,,,,,,,,,
,1,0.026118012,16.11006856,,,,,,,,,,,,,,,,,,,,
,1,0.028072672,16.12349004,,,,,,,,,,,,,,,,,,,,
,1,0.029830637,16.13988131,,,,,,,,,,,,,,,,,,,,
,1,0.030716883,16.15376025,,,,,,,,,,,,,,,,,,,,
,1,0.030890109,16.16113186,,,,,,,,,,,,,,,,,,,,
,1,0.030751529,16.16194993,,,,,,,,,,,,,,,,,,,,
,1,0.029830637,16.15518034,,,,,,,,,,,,,,,,,,,,
,1,0.028062614,16.13947451,,,,,,,,,,,,,,,,,,,,
,1,0.026100131,16.11867696,,,,,,,,,,,,,,,,,,,,
,1,0.02499819,16.10237807,,,,,,,,,,,,,,,,,,,,
,1,0.025850909,16.10170603,,,,,,,,,,,,,,,,,,,,
,1,0.02817102,16.1157459,,,,,,,,,,,,,,,,,,,,
,1,0.030269848,16.13105237,,,,,,,,,,,,,,,,,,,,
,1,0.03070459,16.13259315,,,,,,,,,,,,,,,,,,,,
,1,0.029402601,16.11956209,,,,,,,,,,,,,,,,,,,,
,1,0.027757513,16.1041379,,,,,,,,,,,,,,,,,,,,
,1,0.027842449,16.09991193,,,,,,,,,,,,,,,,,,,,
,1,0.0313852,16.12508744,,,,,,,,,,,,,,,,,,,,
,1,0.035770612,16.17278606,,,,,,,,,,,,,,,,,,,,
,1,0.037728625,16.21326357,,,,,,,,,,,,,,,,,,,,
,1,0.037007781,16.2278235,,,,,,,,,,,,,,,,,,,,
,1,0.035634267,16.2248075,,,,,,,,,,,,,,,,,,,,
,1,0.034989419,16.21927619,,,,,,,,,,,,,,,,,,,,
,1,0.034496563,16.21480584,,,,,,,,,,,,,,,,,,,,
,1,0.034275281,16.21073484,,,,,,,,,,,,,,,,,,,,
,1,0.03426634,16.20781124,,,,,,,,,,,,,,,,,,,,
,1,0.034243988,16.2050575,,,,,,,,,,,,,,,,,,,,
,1,0.034306573,16.202268,,,,,,,,,,,,,,,,,,,,
,1,0.035573917,16.20962322,,,,,,,,,,,,,,,,,,,,
,1,0.037003311,16.22469276,,,,,,,,,,,,,,,,,,,,
,1,0.036793205,16.22930616,,,,,,,,,,,,,,,,,,,,
,1,0.035135823,16.21663719,,,,,,,,,,,,,,,,,,,,
,1,0.033651667,16.19627774,,,,,,,,,,,,,,,,,,,,
,1,0.033038112,16.18143767,,,,,,,,,,,,,,,,,,,,
