 Machine_Time  ,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--# ,u--#,v--#,eyy--#,exx--#,exy--#,MD_N_cycles--# ,MD_Load--# ,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load ,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips ,Specimen_name
,1,0.386071944,0.989178162,0,0,0,0,0,1.20E-18,0,-0.00126324,,,,,,,,,,,,BAM2_T1_50_2
,1,0.385385763,0.989234985,1,1.23E-05,-0.000690174,3.02E-06,-2.35E-05,4.57E-06,0,0.002392838,,,,,,,,,,,,
,1,0.386142725,0.989478027,2,-0.000311977,-0.000870683,-2.43E-06,-1.33E-05,5.90E-06,0,0.004261142,,,,,,,,,,,,
,1,0.385430467,0.989225281,3,-0.000607625,-0.000611044,-1.16E-05,1.32E-05,1.62E-05,0,0.003745748,,,,,,,,,,,,
,1,0.386316329,0.989118591,4,-0.000527043,-0.000366535,-1.68E-05,-8.97E-06,1.29E-06,0,0.00377796,,,,,,,,,,,,
,1,0.386323023,0.989504395,5,-0.000576966,-0.000712404,-5.49E-06,-7.28E-06,1.64E-05,0,0.003117611,,,,,,,,,,,,
,1,0.385766471,0.989401428,6,-0.000547795,-0.000679205,-7.74E-06,-2.41E-05,2.22E-05,0,0.006838113,,,,,,,,,,,,
,1,0.386168074,0.989368958,7,-0.000616768,-0.000802371,-5.95E-06,-1.16E-05,6.86E-06,0,0.001539216,,,,,,,,,,,,
,1,0.386783475,0.989125793,8,-0.000410146,-0.000482622,-5.96E-06,-1.01E-05,-1.22E-05,0,0.004470521,,,,,,,,,,,,
,1,0.385311258,0.989482361,9,-0.000529063,-0.000623278,-3.46E-06,-9.46E-06,-9.53E-06,0,0.005903961,,,,,,,,,,,,
,1,0.390921545,0.997320068,10,-0.000499192,-0.000713696,-8.37E-06,-9.90E-06,5.29E-06,0,0.002940444,,,,,,,,,,,,
,1,0.398993492,1.017872314,11,-0.000607489,-0.000791137,-3.70E-06,-1.45E-05,1.17E-05,0,0.004212824,,,,,,,,,,,,
,1,0.409407163,1.048347534,12,-0.00056662,-0.00173492,1.00E-05,-1.76E-05,3.50E-06,0,0.007643417,,,,,,,,,,,,
,1,0.421363104,1.084982056,13,-0.000788245,-0.00913815,0.000139721,-6.73E-05,1.21E-05,0,0.051468035,,,,,,,,,,,,
,1,0.435644382,1.119489258,14,-0.000988303,-0.0176551,0.000299926,-0.000115893,2.85E-05,0,0.103780556,,,,,,,,,,,,
,1,0.449819112,1.14713562,15,-0.00180288,-0.0261104,0.000449317,-0.000154633,4.56E-05,0,0.144077951,,,,,,,,,,,,
,1,0.462868076,1.167889404,16,-0.00285252,-0.034325,0.000586308,-0.000223704,4.42E-05,0,0.193571916,,,,,,,,,,,,
,1,0.476135319,1.184617188,17,-0.00352403,-0.0427552,0.000742495,-0.000273237,4.13E-05,0,0.243935613,,,,,,,,,,,,
,1,0.486139965,1.197275391,18,-0.00453315,-0.0509827,0.000887484,-0.00032057,6.03E-05,0,0.286326806,,,,,,,,,,,,
,1,0.492056482,1.202901855,19,-0.00535855,-0.0588584,0.00101671,-0.000375788,7.26E-05,0,0.330054807,,,,,,,,,,,,
,1,0.49722346,1.202561523,20,-0.00657351,-0.0670678,0.00115222,-0.000437909,6.18E-05,0,0.373460691,,,,,,,,,,,,
,1,0.495566404,1.195758179,21,-0.00742337,-0.0756149,0.00131219,-0.000481318,7.02E-05,0,0.421601766,,,,,,,,,,,,
,1,0.490214676,1.181768433,22,-0.00900586,-0.0840905,0.00145276,-0.000534448,9.62E-05,0,0.464202354,,,,,,,,,,,,
