Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.000359393,-0.000444796,36,0.0396445,0.019478635,BA4
0.001091742,-0.000272765,37,0.0436166,0.02143083,
0.001878339,-3.50274E-05,38,0.049211,0.02451188,
0.002597125,-0.000323007,39,0.0577069,0.028411091,
0.003498999,-0.00037586,40,0.061473,0.033102573,
0.004211005,-0.00012299,41,0.0641379,0.038638107,
0.005146783,-0.000123811,42,0.0687999,0.0453491,
0.005899475,-5.18829E-06,43,0.0738401,0.050542871,
0.006794568,0.00010541,44,0.0799022,0.058377541,
0.007608288,0.000144631,45,0.0855067,0.065440655,
0.008476257,-5.41291E-05,46,0.0907442,0.072327708,
0.009337445,0.000186091,47,0.0968624,0.07921994,
0.010144385,0.000280552,48,0.102714,0.084936712,
0.011066602,-1.05879E-05,49,0.108588,0.092139637,
0.011859979,0.000168356,50,0.113419,0.100704439,
0.012788977,0.000477586,51,0.118571,0.107943612,
0.013534888,0.000786948,52,0.123503,0.115710965,
0.014484229,0.001166488,53,0.12935,0.123069238,
0.015243702,0.00147276,54,0.13435,0.130603571,
0.0161727,0.002095021,55,0.139481,0.13794113,
0.016952515,0.002094067,56,0.146307,0.143440416,
0.017847607,0.002456223,57,0.149284,0.152813023,
0.01867489,0.002674089,58,0.152278,0.160611445,
0.019522516,0.002748702,59,0.159523,0.168389155,
0.020383704,0.002921179,60,0.166624,0.176342925,
0.021156738,0.00309369,61,0.170535,0.184281159,
0.022058612,0.003544499,62,0.178255,0.190246487,
0.022790961,0.003730886,63,0.182977,0.202384271,
0.023726739,0.003836245,64,0.186526,0.208033726,
0.02447265,0.004265491,65,0.190498,0.215749296,
0.025401648,0.004475227,66,0.194917,0.223345768,
0.026161121,0.004561621,67,0.200651,0.232298937,
0.027042652,0.004801633,68,0.205757,0.238554246,
0.027869934,0.005049085,69,0.210455,0.245669141,
0.028676873,0.005253234,70,0.215489,0.255254055,
0.029565185,0.005420032,71,0.220825,0.26295927,
0.030324658,0.005820827,72,0.225627,0.270731801,
0.031246874,0.006156719,73,0.231716,0.27877878,
0.031965662,0.00628974,74,0.236368,0.286717015,
0.03290144,0.006437461,75,0.241522,0.293780128,
0.033654131,0.006617586,76,0.248414,0.301459452,
0.034556005,0.006777969,77,0.252201,0.309817124,
0.035362944,0.006823494,78,0.258248,0.317848568,
0.036224134,0.006877159,79,0.262726,0.325657348,
0.037085321,0.00715607,80,0.268054,0.331337872,
0.03788548,0.007595864,81,0.273798,0.34073637,
0.038800914,0.007703647,82,0.278773,0.34836909,
0.039540045,0.008012532,83,0.284233,0.357311904,
0.040469043,0.008183431,84,0.289773,0.365778319,
0.04120139,0.008530966,85,0.294005,0.374027249,
0.042130388,0.00874025,86,0.300289,0.382151902,
0.042889863,0.008662202,87,0.305834,0.389002708,
0.04374427,0.008756959,88,0.31131,0.398396029,
0.044585112,0.008801997,89,0.316441,0.407571864,
0.045378491,0.008965695,90,0.321916,0.417022145,
0.046273585,0.009287796,91,0.326013,0.42549374,
0.04704662,0.009061288,92,0.331478,0.434089612,
0.047975615,0.009228968,93,0.336943,0.442861545,
0.048707966,0.009342542,94,0.342942,0.450054116,
0.049636964,0.009213514,95,0.348228,0.460301846,
0.050369311,0.009675888,96,0.353375,0.469327513,
0.051257621,0.009550391,97,0.360587,0.478161585,
0.05205778,0.009884704,98,0.36304,0.486954231,
0.052885063,0.009961132,99,0.37173,0.495850442,
0.053746253,0.010325239,100,0.375828,0.504218473,
0.054519288,0.010257206,101,0.382346,0.513238963,
0.055448286,0.010347205,102,0.386863,0.52203161,
0.056207757,0.010138958,103,0.39204,0.530772474,
0.057143535,0.010200092,104,0.400418,0.539756716,
0.05790979,0.010078712,105,0.40498,0.54847169,
0.058838788,0.010189384,106,0.413006,0.557440398,
0.05959148,0.010139526,107,0.417748,0.565787717,
0.060486574,0.010478774,108,0.422496,0.574632147,
0.061286733,0.010489041,109,0.433163,0.583833876,
0.062114015,0.010555742,110,0.437585,0.592921684,
0.062981986,0.011012716,111,0.443074,0.602123413,
0.063782141,0.010857619,112,0.449546,0.611102479,
0.064684018,0.011160791,113,0.454887,0.620257604,
0.065416366,0.01112158,114,0.461585,0.628817233,
0.066338584,0.010954372,115,0.465494,0.63791022,
0.067077711,0.01130921,116,0.470946,0.646262719,
0.067999929,0.011164938,117,0.476535,0.655091617,
0.068759397,0.011517595,118,0.482819,0.663822128,
0.069627367,0.01181113,119,0.489573,0.672350688,
0.07044787,0.011770776,120,0.495289,0.680521949,
0.071248032,0.011939903,121,0.501166,0.688744994,
0.072136343,0.011798121,122,0.505599,0.697630853,
0.07289581,0.011918762,123,0.512993,0.705211796,
0.073824808,0.011717999,124,0.521995,0.712694352,
0.074577503,0.011850818,125,0.52782,0.720798298,
0.075506501,0.011723662,126,0.532569,0.728524232,
0.076259188,0.011578527,127,0.538882,0.736156958,
0.077161066,0.011921081,128,0.545421,0.743665407,
0.077940881,0.011653415,129,0.550538,0.751676145,
0.078795291,0.011855165,130,0.551933,0.757631122,
0.079649694,0.011804084,131,0.55708,0.765362235,
0.080449857,0.011781523,132,0.564422,0.770462802,
0.081358507,0.011861832,133,0.569799,0.775692826,
0.082124762,0.01175128,134,0.575805,0.780788215,
0.08306732,0.011850949,135,0.583141,0.785106868,
0.083806455,0.011793918,136,0.590226,0.790880607,
0.084735446,0.011805147,137,0.595652,0.796364365,
0.085508481,0.012093201,138,0.60023,0.803909063,
0.086403579,0.011803795,139,0.605736,0.808346816,
0.087169833,0.011952319,140,0.613658,0.812851886,
0.087990329,0.012107264,141,0.618357,0.816880558,
0.088858299,0.011807081,142,0.626535,0.819754482,
0.089617774,0.011987395,143,0.633431,0.822561089,
0.090539992,0.011661666,144,0.63952,0.825124319,
0.091299459,0.011728199,145,0.645591,0.829318695,
0.092235245,0.011668258,146,0.651939,0.829474042,
0.092967592,0.011980395,147,0.659738,0.827961996,
0.093876243,0.01206571,148,0.665619,0.810780589,
0.094669625,0.011949785,149,0.673674,0.788182743,
0.095510468,0.012116169,150,0.681251,0.765450265,
0.096351311,0.011921686,151,0.687508,0.734997033,
0.097124346,0.01195283,152,0.701346,0.652771766,
0.098026223,0.011868003,153,0.721721,0.485861623,
0.098758571,0.011712997,154,0.730491,0.462248863,
0.099694349,0.011949843,155,0.741396,0.454595429,
0.100453824,0.011960352,156,0.749267,0.449562183,
0.101376034,0.012206507,157,0.757267,0.439811564,
0.102162637,0.012196175,158,0.765863,0.424701469,
0.103057727,0.01225445,159,0.772868,0.416561282,
0.10388501,0.012205853,160,0.781295,0.411393402,
0.104719073,0.012166697,161,0.786053,0.407483834,
0.105587043,0.011940053,162,0.792727,0.400472502,
0.106360078,0.011976988,163,0.800448,0.388552202,
0.107275516,0.011870477,164,0.80763,0.377330964,
0.108014643,0.011791593,165,0.814364,0.371308676,
0.108943641,0.01202354,166,0.821522,0.3589068,
0.109662428,0.012076037,167,0.831085,0.34766485,
0.110564299,0.01224919,168,0.841211,0.325760912,
0.111350894,0.012063969,169,0.850056,0.316383127,
0.112198524,0.012151694,170,0.863211,0.283195815,
0.113059707,0.012102884,171,0.872629,0.278167748,
0.11387343,0.012108522,172,0.880186,0.275801294,
0.11476174,0.011882509,173,0.887301,0.269634015,
0.115507655,0.012095191,174,0.894925,0.263497806,
0.116443433,0.01222201,175,0.902809,0.257604974,
0.11716222,0.012181456,176,0.91015,0.253664337,
0.118091218,0.012276133,177,0.918006,0.247289929,
0.118843906,0.012285247,178,0.926366,0.242541487,
0.119739003,0.012210793,179,0.93417,0.24265023,
0.120539159,0.012397646,180,0.943176,0.239377585,
0.121359661,0.012349078,181,0.950516,0.239258486,
0.122247972,0.012278539,182,0.953759,0.238978861,
0.123041354,0.01247891,183,0.963586,0.238310869,
0.123943225,0.012638638,184,0.970847,0.238357473,
0.124675572,0.012864049,185,0.977029,0.239424189,
0.12563169,0.012729028,186,0.982875,0.239636497,
0.126364037,0.013035757,187,0.989101,0.239843626,
0.127293035,0.012971595,188,0.995225,0.239439724,
0.128059298,0.01296159,189,1.00146,0.236659011,
0.128954396,0.012878696,190,1.00865,0.236659011,
0.129774883,0.012815721,191,1.01594,0.234173458,
0.130608961,0.012846971,192,1.02373,0.229704641,
0.131476924,0.012931828,193,1.03125,0.224241603,
0.132236391,0.01324806,194,1.03888,0.215676801,
0.133145049,0.013402303,195,1.04669,0.208422093,
0.133870617,0.013464045,196,1.05649,0.200012639,
0.134806395,0.013432996,197,1.06539,0.19666232,
0.135545522,0.013588035,198,1.06962,0.193415567,
0.13647452,0.013510382,199,1.07967,0.188656768,
0.137247562,0.013653391,200,1.08726,0.186989377,
0.138122305,0.013638492,201,1.09558,0.179330766,
0.138963148,0.013685844,202,1.10368,0.1707815,
0.139756531,0.013509096,203,1.11193,0.158742102,
0.140644848,0.013675906,204,1.12105,0.139624057,
0.141397536,0.013573135,205,1.12822,0.115224211,
0.142319754,0.013957694,206,1.13514,0.109719747,
0.143031761,0.013566098,207,1.14314,0.107073669,
0.143953979,0.013868625,208,1.14948,0.105178434,
0.144733787,0.01381176,209,1.15701,0.104127253,
0.145615324,0.013604641,210,1.16499,0.103376409,
0.146429047,0.013642665,211,1.17229,0.102470217,
0.14728345,0.013599036,212,1.17925,0.101356897,
0.148158193,0.014188946,213,1.18677,0.100129655,
0.148938015,0.014255987,214,1.19206,0.100259111,
0.149860233,0.014590582,215,1.19915,0.098037648,
0.150619701,0.014448448,216,1.20766,0.096582563,
0.151548699,0.014802722,217,1.21347,0.096297761,
0.152281046,0.01480523,218,1.22018,0.095489956,
0.153196484,0.014910169,219,1.22964,0.094599299,
0.153955951,0.015083249,220,1.23449,0.094169506,
0.154790014,0.014946082,221,1.24201,0.089545341,
0.155644432,0.015501836,222,1.24912,0.092005003,
0.156431019,0.015690248,223,1.25716,0.090948643,
0.157346457,0.015773103,224,1.26177,0.090296186,
0.15810594,0.015925228,225,1.26746,0.089581589,
0.159041718,0.015906897,226,1.27408,0.089037874,
0.159774065,0.01608614,227,1.28122,0.087013184,
0.160703063,0.016211786,228,1.28832,0.0873187,
0.16144219,0.01640596,229,1.29568,0.086469469,
0.162310153,0.016433685,230,1.303,0.085552922,
0.163130656,0.016812021,231,1.31223,0.084579413,
0.163951159,0.017183208,232,1.31829,0.083248607,
0.164819121,0.01735721,233,1.32586,0.081803879,
0.165585384,0.01751227,234,1.33274,0.080856262,
0.166507602,0.018128309,235,1.33877,0.0811566,
0.167267069,0.018078064,236,1.34544,0.080338439,
0.168202847,0.018313581,237,1.3518,0.079504743,
0.16896911,0.018459017,238,1.35947,0.078847107,
