Crack_length,Load,u,N_cycles,Specimen_name
68.4948,627.33671,2.054196,200,DCB_F_830_1
69.2857,616.230766,2.052674,300,
69.6812,605.875376,2.054201,400,
70.0767,592.365437,2.054826,600,
70.4721,587.602032,2.056433,700,
70.8676,581.192614,2.059057,800,
71.2631,571.312822,2.063428,1000,
72.4495,550.133879,2.079112,1500,
73.2404,532.246963,2.090274,2000,
74.0314,521.404831,2.09984,2500,
74.4269,511.175775,2.105802,3000,
75.2178,502.124565,2.110631,3500,
75.6133,495.975242,2.115001,4000,
76.0088,489.112523,2.1182,4500,
76.79971,483.026365,2.12229,5000,
77.19518,475.413095,2.127813,5500,
77.59065,469.89914,2.133279,6000,
78.3816,463.891011,2.138138,6500,
78.77707,454.193288,2.146134,7500,
79.17254,450.570575,2.149186,8000,
79.56802,446.319926,2.150779,8500,
79.96349,439.642988,2.156661,9500,
80.35896,435.983119,2.158347,10000,
80.75444,430.09389,2.162562,11000,
81.14991,425.081542,2.166849,12000,
81.54538,419.883414,2.172323,13000,
81.94086,416.546804,2.175586,14000,
82.33633,411.211199,2.178755,15000,
82.7318,405.920181,2.182233,16000,
83.12727,398.8754,2.186633,17500,
83.52275,395.353009,2.191768,18500,
83.91822,392.562592,2.196477,19500,
84.31369,389.036485,2.198815,20000,
84.70917,384.570332,2.202462,21500,
85.10464,378.97092,2.207384,23500,
85.50011,372.821598,2.212894,25500,
85.89559,367.162737,2.217843,27500,
86.29106,360.166259,2.224844,30000,
86.68653,356.896529,2.226091,31500,
87.082,352.077394,2.230398,33500,
87.47748,350.167574,2.234729,35000,
87.87295,345.006604,2.239181,37000,
88.26842,343.394033,2.242393,39000,
88.6639,338.712374,2.247248,42000,
89.05937,335.264296,2.251075,44500,
89.45484,330.619794,2.254458,47500,
89.85032,324.652538,2.260175,52000,
90.24579,320.810606,2.265744,56000,
90.64126,313.91445,2.269185,61000,
91.03673,311.012565,2.27316,65000,
91.43221,306.854807,2.275784,71000,
91.82768,302.069112,2.279564,77000,
92.22315,297.580666,2.283238,84000,
92.61863,294.136303,2.284598,89000,
93.0141,291.156391,2.28998,95000,
93.40957,287.537395,2.290646,100000,
93.80505,284.817575,2.294721,107000,
94.20052,280.52234,2.297601,115000,
94.59599,279.062109,2.299658,122000,
94.99147,275.796095,2.302491,131000,
95.38694,273.106,2.306236,139000,
95.78241,269.301224,2.307919,149000,
96.17788,266.481083,2.311703,161000,
96.57336,263.738969,2.313983,173000,
96.9688,260.93369,2.314875,186000,
97.3643,258.522265,2.318023,199000,
97.7598,255.579509,2.321705,217000,
98.1552,253.034322,2.324067,235000,
98.5507,250.058125,2.323761,257000,
98.9462,245.528808,2.327126,295000,
99.3417,242.26651,2.330661,328000,
99.7371,239.490956,2.334171,370000,
100.1326,237.648017,2.335514,394000,
100.5281,233.609159,2.33801,422000,
100.9236,232.624525,2.340201,455000,
101.319,230.852183,2.341414,499000,
101.7145,227.389243,2.346241,573000,
102.11,224.491074,2.345504,642000,
102.5055,224.134376,2.348548,700000,
102.9009,220.23671,2.353101,782000,
103.2964,218.494094,2.354876,857000,
103.6919,214.745052,2.355813,982000,
104.0873,213.318261,2.359727,1129000,
104.4828,210.698762,2.360244,1278000,
104.8783,207.993805,2.364497,1662000,
105.2738,205.578664,2.367505,2003000,
