Crack_length,Load,u,Specimen_name
54.4164,655.264538,1.375535,DCB_DC_830_3
54.8154,671.243129,1.421632,
55.2144,675.428091,1.440977,
55.6134,687.221722,1.480029,
56.0124,691.538068,1.501698,
56.4114,698.285015,1.526873,
56.8103,709.846794,1.571558,
57.2093,715.345595,1.602152,
57.6083,721.466537,1.635382,
58.0073,733.681373,1.695221,
58.4063,744.961065,1.750162,
58.8053,753.690365,1.795365,
59.2043,763.277525,1.847661,
59.6033,771.384685,1.890139,
60.0022,774.677011,1.922258,
60.4012,784.244851,1.972043,
60.8002,785.002241,2.04099,
61.1992,784.248715,2.066457,
61.5982,785.129761,2.076412,
61.9972,784.186888,2.087348,
62.3962,782.954198,2.115343,
62.7951,783.112631,2.125183,
63.1941,783.004433,2.143616,
63.5931,783.186051,2.167088,
63.9921,784.35305,2.187783,
64.3911,789.627728,2.238462,
64.7901,794.199115,2.280041,
65.1891,803.283928,2.341148,
65.588,806.796516,2.374392,
65.987,807.519127,2.400722,
66.386,808.056256,2.425405,
66.785,809.710148,2.451553,
67.184,812.600595,2.493101,
67.583,821.163736,2.570632,
67.982,825.789224,2.614094,
68.381,833.355395,2.677997,
68.7799,837.208036,2.716666,
69.1789,840.457857,2.759424,
69.5779,843.294205,2.811352,
69.9769,843.676764,2.852597,
70.3759,840.399893,2.879965,
70.7749,835.129078,2.915051,
71.1739,830.615653,2.948057,
71.5728,827.50108,2.976664,
71.9718,828.080715,3.016455,
72.3708,831.867664,3.070507,
72.7698,839.576812,3.147699,
73.1688,839.742974,3.180645,
73.5678,840.31488,3.217307,
73.9668,839.290858,3.250758,
74.3657,837.648559,3.271028,
74.7647,833.803646,3.31473,
75.1637,831.373042,3.344241,
75.5627,829.838941,3.369434,
75.9617,827.771576,3.40284,
76.3607,825.395072,3.443325,
76.7597,820.309741,3.48459,
77.15865,819.069322,3.510347,
77.55764,817.36133,3.5343,
77.95663,815.06984,3.598429,
78.35561,816.951722,3.624901,
78.7546,816.25616,3.672435,
79.15359,817.071513,3.711473,
79.55257,816.534384,3.742312,
79.95156,816.02817,3.7661,
80.35054,815.378978,3.783637,
80.74953,812.658558,3.811871,
81.14852,808.458136,3.84224,
81.5475,803.090716,3.88196,
81.94649,800.115256,3.899915,
82.34548,797.25186,3.915812,
82.74446,793.596295,3.956412,
83.14345,790.644021,3.992961,
83.54244,788.599842,4.029975,
83.94142,789.276083,4.055435,
84.34041,789.167884,4.087492,
84.73939,784.221666,4.172632,
85.13838,783.135816,4.211126,
85.53737,783.189916,4.249333,
85.93635,782.43639,4.284843,
86.33534,780.083073,4.322059,
86.73433,777.347196,4.386423,
87.13331,775.986986,4.42052,
87.5323,773.904165,4.464826,
87.93129,772.791266,4.512455,
88.33027,767.752306,4.545916,
88.72926,766.430739,4.579445,
89.12825,763.915124,4.602302,
89.52723,762.006193,4.640128,
89.92622,760.205461,4.675604,
90.3252,756.584675,4.730764,
90.72419,752.218093,4.776917,
91.12318,749.505402,4.829477,
91.52216,748.094957,4.874716,
91.92115,745.927123,4.905989,
92.32014,742.17109,4.971909,
92.71912,739.110618,5.031524,
93.11811,736.231766,5.076236,
93.5171,733.182887,5.114083,
93.91608,730.002624,5.146593,
94.31507,729.515731,5.201915,
94.71405,726.20022,5.219614,
95.11304,724.480637,5.250465,
95.51203,724.194684,5.274967,
95.91101,722.645128,5.313934,
96.31,720.844396,5.364421,
96.70899,718.680426,5.435001,
97.108,716.70194,5.522807,
97.507,713.367108,5.571866,
97.9059,707.667367,5.640372,
98.3049,705.290865,5.668195,
98.7039,696.387677,5.709553,
99.1029,694.826528,5.742121,
99.5019,690.811592,5.778235,
99.9009,687.754986,5.827002,
100.2999,685.691487,5.889016,
100.6989,686.394777,5.966329,
101.0978,686.425691,6.011694,
101.4968,685.529189,6.059018,
101.8958,685.223915,6.130262,
102.2948,685.560103,6.176794,
102.6938,686.526161,6.255083,
103.0928,687.681566,6.335914,
103.4918,688.682401,6.418725,
103.8907,688.218694,6.454234,
104.2897,686.843028,6.497928,
104.6887,685.981304,6.526611,
105.0877,684.273314,6.575841,
105.4867,679.756029,6.68043,
105.8857,681.433105,6.72629,
106.2847,678.948405,6.802497,
106.6836,677.711851,6.868525,
107.0826,676.908091,6.912533,
107.4816,677.201773,6.95635,
107.8806,675.3083,6.987517,
108.2796,675.084174,7.031692,
108.6786,674.550911,7.099241,
109.0776,673.42642,7.153904,
109.4766,670.466419,7.215496,
109.8755,668.391328,7.278273,
110.2745,669.593103,7.362356,
110.6735,668.685009,7.401459,
111.0725,667.776915,7.440241,
111.4715,667.278429,7.488367,
111.8705,665.898899,7.544393,
112.2695,665.651588,7.592204,
112.6684,661.138168,7.667454,
113.0674,658.039055,7.739158,
113.4664,654.623076,7.794546,
113.8654,653.255138,7.850289,
114.2644,649.75801,7.899362,
114.6634,648.791953,7.937127,
115.0624,646.72459,7.984989,
115.4613,644.734512,8.026354,
115.8603,642.307776,8.086979,
116.2593,640.777541,8.144267,
116.6583,639.073415,8.175877,
117.0573,637.458167,8.221793,
117.4563,635.155087,8.289245,
117.8553,633.678951,8.359003,
118.2543,633.644173,8.449847,
118.6532,633.346627,8.552713,
119.0522,631.835713,8.581144,
119.4512,631.344956,8.61646,
119.8502,627.909656,8.673127,
120.2492,626.93587,8.71522,
120.6482,625.200831,8.763352,
121.0472,623.844487,8.833288,
121.4461,622.194461,8.931241,
121.8451,620.490336,8.981179,
122.2441,617.5883,9.044257,
122.6431,615.33159,9.113738,
123.0421,613.743392,9.163898,
123.4411,605.435299,9.17283,
