n_cycles,hysteresis_area,stiffness,creep
1,0.09806,,
2,0.08856,4598.5201677673,0.0175746718
3,0.07817,5243.8654430114,0.0202466545
4,0.07115,5688.299602341,0.0224002535
5,0.06556,6039.305282186,0.0242379181
6,0.06043,6404.9142872535,0.0258110507
7,0.05782,6615.4930964228,0.0271888348
8,0.05428,6837.3576041837,0.0284131718
9,0.05054,7038.1813147188,0.0294885234
10,0.04721,7216.1952903104,0.0304310539
11,0.04497,7404.78743766,0.0312689939
12,0.04368,7497.6529282012,0.032028128
13,0.04192,7597.6053237019,0.0327170826
14,0.04064,7679.1148677146,0.0333556876
15,0.03908,7763.9679438201,0.0339525839
16,0.03886,7848.0390130179,0.0345170061
17,0.03848,7880.0930948467,0.0350470349
18,0.03731,7936.967253303,0.0355484066
19,0.03619,8004.0029708554,0.0360155216
20,0.03545,8049.4117506675,0.0364626612
21,0.03519,8117.3834085637,0.036872807
22,0.03497,8138.2548445725,0.0372876792
23,0.03418,8173.5563661223,0.0376609154
24,0.0339,8205.475537853,0.0380368758
25,0.03339,8233.3149187719,0.0383782055
26,0.0333,8285.7643886883,0.0387155829
27,0.03301,8297.644336032,0.0390429923
28,0.03264,8323.0698308138,0.0393722439
29,0.03198,8362.7038233286,0.039666878
30,0.0317,8380.2979985761,0.0399505632
31,0.0317,8422.6663898616,0.040239199
32,0.03141,8435.6220141423,0.0405076004
33,0.03137,8453.6194041073,0.040780619
34,0.03067,8471.5258633219,0.0410343288
35,0.03069,8518.4383279479,0.0412836249
36,0.03106,8504.0869657204,0.0415242102
37,0.03034,8537.0362477287,0.0417608084
38,0.03049,8537.8802628002,0.0419926888
39,0.03013,8557.5409103521,0.0422141005
40,0.02973,8606.1389296824,0.0424205355
41,0.03006,8592.9143918387,0.0426265775
42,0.02948,8613.0302656297,0.0428363113
43,0.02942,8622.5384804796,0.0430382526
44,0.02911,8647.0408124766,0.0432228437
45,0.02925,8666.5413554606,0.0434031652
46,0.02923,8662.2781821654,0.0435840164
47,0.02896,8678.8824876944,0.0437691095
48,0.02897,8685.6949464354,0.0439417941
49,0.02886,8692.1506786301,0.0441133161
50,0.02878,8734.5027521017,0.0442795688
51,0.02852,8720.6306831208,0.0444329562
52,0.02842,8736.5655974978,0.0446026359
53,0.02857,8744.8109655091,0.0447561426
54,0.02816,8752.4672463275,0.0449142754
55,0.02826,8779.8089674862,0.0450644759
56,0.02791,8783.9382980091,0.0452108448
57,0.02792,8794.9191875096,0.045353442
58,0.02802,8790.5669107384,0.0454747424
59,0.02792,8804.8746739266,0.0456263384
60,0.02793,8826.7123698468,0.0457691189
61,0.02761,8832.9180582157,0.0459022558
62,0.02747,8838.2073247958,0.0460170035
63,0.02747,8847.8460211918,0.0461509
64,0.02795,8833.1270645547,0.046289264
65,0.02743,8881.4862166544,0.0464114069
66,0.02746,8878.25556585,0.0465258126
67,0.0273,8873.9159063049,0.0466405763
68,0.02736,8888.6953594533,0.0467620266
69,0.02734,8884.718735986,0.0468711776
70,0.02702,8915.2584994928,0.0469921521
71,0.02691,8916.5938409036,0.0471050487
72,0.02722,8911.4755639241,0.0472247077
73,0.02683,8925.2498375403,0.0473241293
74,0.02678,8934.1972497859,0.0474435015
75,0.02707,8953.6816942211,0.0475519671
76,0.0269,8949.6252284115,0.0476495683
77,0.02683,8948.6881509749,0.0477441325
78,0.0269,8952.2684969231,0.0478407019
79,0.02686,8963.946388879,0.0479603579
80,0.02673,8986.380927339,0.0480504648
81,0.02667,8978.9839287561,0.048145061
82,0.02664,8985.9496159479,0.0482449774
83,0.02651,8992.2445708318,0.0483339114
84,0.02648,8996.8951874738,0.0484290416
85,0.02636,9022.0905768848,0.0485141369
86,0.02641,9003.2656206211,0.0486197023
87,0.02645,9014.2457669454,0.048703645
88,0.02626,9024.2904001355,0.0487907877
89,0.02619,9026.8837379703,0.048873898
90,0.02609,9050.9617330125,0.0489545753
91,0.0263,9032.6510375743,0.0490421939
92,0.02617,9037.4149612534,0.0491328377
93,0.02622,9038.6082427121,0.0492260893
94,0.02593,9052.6625221714,0.0493014464
95,0.02625,9062.8695125726,0.0493804022
96,0.02622,9052.5820584006,0.0494675711
97,0.02596,9066.3355236451,0.0495451546
98,0.02639,9060.7380794875,0.0496133609
99,0.02593,9069.9475155332,0.0496875276
100,1.29782,9086.3706250422,0.0497745859
150,1.23399,9242.7203409088,0.0527960306
200,1.17435,9377.1187548337,0.0548415876
250,1.10187,9485.3310317343,0.056334518
300,1.05023,9579.1431553685,0.0574917183
350,1.01828,9650.5498857001,0.0584306777
400,0.97643,9733.1079865481,0.0591999327
450,0.94284,9780.1462004496,0.0598538987
500,0.91614,9832.871086631,0.0604076864
550,0.88844,9872.7161365703,0.060908802
600,0.86868,9911.394237569,0.0613541051
650,0.86161,9947.8910597704,0.0617227052
700,0.83453,9979.11693033,0.0620866835
750,0.81701,10021.2461794547,0.0624078297
800,0.81276,10043.2682742531,0.0627121539
850,0.79691,10072.4786056389,0.0629780232
900,0.78744,10099.6825913482,0.06323407
950,0.77292,10116.2827033036,0.0634693337
1000,0.77573,10131.4722647314,0.0636855198
1050,0.76031,10142.1423148191,0.0638858881
1100,0.75563,10174.1414653986,0.0640818413
1150,0.75003,10176.0063782294,0.0642682106
1200,0.74238,10195.472833608,0.0644426385
1250,0.7266,10210.9886107263,0.0646106637
1300,0.71938,10226.784928124,0.0647675595
1350,0.72363,10237.4570188659,0.0649242458
1400,0.71031,10260.5383522188,0.0650670263
1450,0.71722,10266.3160220768,0.0652146118
1500,0.71316,10269.4034569925,0.065353667
1550,0.70797,10280.9754054912,0.0654857257
1600,0.69862,10295.0270167522,0.0656110497
1650,0.70154,10300.0067814982,0.0657330791
1700,0.70304,10302.5429107145,0.0658571778
1750,0.69703,10322.8414586,0.0659688318
1800,0.69083,10329.7069803628,0.0660961378
1850,0.68648,10324.9088599036,0.0661976257
1900,0.68166,10339.3012165722,0.0663160201
1950,0.67728,10343.2922292978,0.0664233492
2000,0.68272,10350.736286067,0.0665229658
2050,0.6734,10354.9475600687,0.0666224892
2100,0.6753,10365.1587677695,0.0667095126
2150,0.67574,10370.387233357,0.0668144028
2200,0.67415,10369.1773807595,0.0669072935
2250,0.67802,10377.8555633934,0.0669945293
2300,0.66472,10378.8372140083,0.0670842273
2350,0.66099,10392.5176063557,0.0671744725
2400,0.66286,10385.7398119797,0.0672663998
2450,0.65322,10413.2428589691,0.0673420262
2500,0.66165,10410.4255949258,0.0674311421
2550,0.65379,10407.7210243263,0.0675199
2600,0.65574,10414.8490007597,0.0676021678
2650,0.65035,10417.9835423671,0.0676792581
2700,0.65911,10426.174148537,0.0677495205
2750,0.64747,10433.3608850435,0.0678179989
2800,0.65365,10443.0503630279,0.0679036428
2850,0.63769,10459.5607633618,0.0679700315
2900,0.63594,10441.1853107646,0.0680380413
2950,0.64138,10454.0953266446,0.0681086734
3000,0.64328,10462.8931420868,0.0681832083
3050,0.63314,10462.5931640441,0.0682444864
3100,0.63438,10466.2259411665,0.068324394
3150,0.63496,10474.6661207332,0.068373626
3200,0.6326,10480.0764870172,0.0684567902
3250,0.63166,10484.0553919282,0.0685144041
3300,0.62998,10475.4466678445,0.0685818261
3350,0.62758,10485.9029421505,0.0686419953
3400,0.62351,10493.1425413395,0.0686963991
3450,0.62752,10499.8060179787,0.0687756372
3500,0.61992,10495.3978900347,0.0688254368
3550,0.6243,10502.5437687006,0.0688874628
3600,0.63348,10482.1189529532,0.0689334993
3650,0.63722,10483.0574322213,0.0690204062
3700,0.64456,10480.3010284713,0.0690724235
3750,0.63714,10476.2135343513,0.0691274385
3800,0.6301,10488.7373555943,0.0692137255
3850,0.62354,10511.8759784716,0.0692459231
3900,0.6183,10497.1901775081,0.0693119742
3950,0.61868,10509.921950111,0.0693493959
4000,0.61631,10516.7922777502,0.0694022718
4050,0.6102,10518.1953228075,0.0694685616
4100,0.61677,10521.3818540521,0.069500829
4150,0.60329,10523.5457590165,0.0695433642
4200,0.61232,10535.2254035584,0.0696248695
4250,0.61567,10511.5702536561,0.0696670642
4300,0.59824,10530.6834818643,0.0697011623
4350,0.61058,10527.0886944906,0.0697658979
4400,0.60973,10532.8641108913,0.0698205898
4450,0.60857,10529.011043897,0.069860628
4500,0.6055,10541.5798521399,0.0699207769
4550,0.60778,10541.5940613878,0.0699634838
4600,0.60528,10537.649071318,0.0699748838
4650,0.60948,10536.660769682,0.0700749166
4700,0.59645,10546.1917817642,0.0701083889
4750,0.59245,10538.0645863717,0.0701575628
4800,0.59153,10549.797024059,0.0702020741
4850,0.59204,10557.0794858426,0.0702474557
4900,0.59894,10564.1642066298,0.0703061087
4950,0.60258,10552.7180885748,0.0703348138
5000,0.60466,10543.565027182,0.0703967264
5050,0.59373,10553.6940603556,0.0704381382
5100,0.59108,10556.4808154268,0.0704679609
5150,0.59664,10558.413920242,0.0705193204
5200,0.596,10565.1978523151,0.070557784
5250,0.59427,10564.4442878041,0.0705840095
5300,0.5987,10555.6930056377,0.0706486957
5350,0.59271,10563.9481713966,0.0706988707
5400,0.60117,10560.9180600781,0.0707200204
5450,0.5894,10567.0044397798,0.070788397
5500,0.59023,10572.7831106908,0.0708165986
5550,0.59455,10566.5543954605,0.07084932
5600,0.588,10576.9060845167,0.0708922336
