Machine_N_cycles,Machine_Load,Machine_Displacement,MD_index--1,MD_N_cycles--1,exx--1,eyy--1,exy--1,Crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,2.668515137,0.587726769,,,,,,,,,,,,,
1,2.670243408,0.587407441,,,,,,,,,,,,,
1,2.676569336,0.589463103,,,,,,,,,,,,,
1,2.677688477,0.589625153,,,,,,,,,,,,,
1,2.680323975,0.589839765,,,,,,,,,,,,,
1,2.682590576,0.590180978,,,,,,,,,,,,,
1,2.685637207,0.593122852,,,,,,,,,,,,,
1,2.690655029,0.593696896,,,,,,,,,,,,,
1,2.696322754,0.595279038,,,,,,,,,,,,,
1,2.701770508,0.596012513,,,,,,,,,,,,,
1,2.711855225,0.598123646,,,,,,,,,,,,,
1,2.722025391,0.598999497,,,,,,,,,,,,,
1,2.727709229,0.604060653,,,,,,,,,,,,,
1,2.742788574,0.604049885,,,,,,,,,,,,,
1,2.760893311,0.609043927,,,,,,,,,,,,,
1,2.784643555,0.61404478,,,,,,,,,,,,,
1,2.806552002,0.618934282,,,,,,,,,,,,,
1,2.837325684,0.625892775,,,,,,,,,,,,,
1,2.877015137,0.633929332,,,,,,,,,,,,,
1,2.919713379,0.642229978,,,,,,,,,,,,,
1,2.960376709,0.652561313,,,,,,,,,,,,,
1,3.019813232,0.665660191,,,,,,,,,,,,,
1,3.080366455,0.679802208,,,,,,,,,,,,,
1,3.144071533,0.695010647,,,,,,,,,,,,,
1,3.212546143,0.712308625,,,,,,,,,,,,,
1,3.278723145,0.730737695,,,,,,,,,,,,,
1,3.347537598,0.750463514,,,,,,,,,,,,,
1,3.419158936,0.770040962,,,,,,,,,,,,,
1,3.477117676,0.7894382,,,,,,,,,,,,,
1,3.540687012,0.809902675,,,,,,,,,,,,,
1,3.608683838,0.830669363,,,,,,,,,,,,,
1,3.670440186,0.851083489,,,,,,,,,,,,,
1,3.732064941,0.873428595,,,,,,,,,,,,,
1,3.794015381,0.894506287,,,,,,,,,,,,,
1,3.846549561,0.915241952,,,,,,,,,,,,,
1,3.90543335,0.936222787,,,,,,,,,,,,,
1,3.966945557,0.956350181,,,,,,,,,,,,,
1,4.018395996,0.978058204,,,,,,,,,,,,,
1,4.075166748,1.000131248,,,,,,,,,,,,,
1,4.129307129,1.021549106,,,,,,,,,,,,,
1,4.181193848,1.042604796,,,,,,,,,,,,,
1,4.233125,1.063010073,,,,,,,,,,,,,
1,4.283757324,1.086509554,,,,,,,,,,,,,
1,4.333459473,1.107770251,,,,,,,,,,,,,
1,4.378044922,1.129437936,,,,,,,,,,,,,
1,4.423496582,1.150843804,,,,,,,,,,,,,
1,4.466017578,1.171443262,,,,,,,,,,,,,
1,4.507060547,1.191648073,,,,,,,,,,,,,
1,4.545702148,1.210854505,,,,,,,,,,,,,
1,4.583762695,1.232658396,,,,,,,,,,,,,
1,4.616791992,1.251019421,,,,,,,,,,,,,
1,4.650198242,1.270513632,,,,,,,,,,,,,
1,4.685618164,1.289246604,,,,,,,,,,,,,
1,4.713690918,1.306961873,,,,,,,,,,,,,
1,4.738462402,1.324970974,,,,,,,,,,,,,
1,4.761695313,1.341416733,,,,,,,,,,,,,
1,4.782734863,1.357591827,,,,,,,,,,,,,
1,4.794978516,1.370106707,,,,,,,,,,,,,
1,4.809107422,1.384327188,,,,,,,,,,,,,
1,4.815117188,1.395700965,,,,,,,,,,,,,
1,4.818071289,1.403386123,,,,,,,,,,,,,
1,4.804206055,1.410027267,,,,,,,,,,,,,
1,4.787004395,1.413966645,,,,,,,,,,,,,
1,4.763049316,1.416185522,,,,,,,,,,,,,
1,4.73100293,1.413787133,,,,,,,,,,,,,
1,4.694974609,1.410790603,,,,,,,,,,,,,
1,4.647955566,1.404273557,,,,,,,,,,,,,
1,4.588902344,1.395879313,,,,,,,,,,,,,
1,4.516907715,1.382943243,,,,,,,,,,,,,
1,4.437663086,1.365800155,,,,,,,,,,,,,
1,4.35137793,1.349298749,,,,,,,,,,,,,
1,4.255242188,1.329629915,,,,,,,,,,,,,
1,4.151428223,1.306535676,,,,,,,,,,,,,
1,4.033020508,1.279968768,,,,,,,,,,,,,
1,3.911748291,1.254374161,,,,,,,,,,,,,
1,3.786248291,1.226056716,,,,,,,,,,,,,
1,3.663102295,1.194646931,,,,,,,,,,,,,
1,3.530678467,1.164221787,,,,,,,,,,,,,
1,3.399715088,1.132387319,,,,,,,,,,,,,
1,3.271048096,1.102572307,,,,,,,,,,,,,
1,3.139867432,1.069134101,,,,,,,,,,,,,
1,3.005927246,1.035541994,,,,,,,,,,,,,
1,2.872761719,1.002432313,,,,,,,,,,,,,
1,2.745540283,0.968824315,,,,,,,,,,,,,
1,2.618825439,0.935962424,,,,,,,,,,,,,
1,2.493696777,0.902261643,,,,,,,,,,,,,
1,2.365920898,0.870871183,,,,,,,,,,,,,
1,2.246162598,0.838595966,,,,,,,,,,,,,
1,2.125761475,0.805211777,,,,,,,,,,,,,
1,2.008867554,0.774445769,,,,,,,,,,,,,
1,1.896707275,0.74340665,,,,,,,,,,,,,
1,1.788892822,0.714023074,,,,,,,,,,,,,
2,1.684366455,0.685618434,,,,,,,,,,,,,
2,1.579210693,0.65802969,,,,,,,,,,,,,
2,1.484032837,0.630525872,,,,,,,,,,,,,
2,1.396942871,0.606084592,,,,,,,,,,,,,
2,1.312325562,0.583688903,,,,,,,,,,,,,
2,1.246154541,0.561304041,,,,,,,,,,,,,
2,1.186357788,0.545629475,,,,,,,,,,,,,
2,1.141602051,0.527622178,,,,,,,,,,,,,
2,1.097521118,0.516505563,,,,,,,,,,,,,
2,1.077637451,0.506246113,,,,,,,,,,,,,
2,1.058927002,0.500122434,,,,,,,,,,,,,
2,1.059117432,0.496077875,,,,,,,,,,,,,
2,1.06728186,0.494809065,,,,,,,,,,,,,
2,1.088486694,0.494816166,,,,,,,,,,,,,
2,1.118747803,0.499253743,,,,,,,,,,,,,
2,1.165901001,0.506127602,,,,,,,,,,,,,
2,1.224417969,0.516692176,,,,,,,,,,,,,
2,1.297189331,0.528942852,,,,,,,,,,,,,
2,1.385084595,0.546027382,,,,,,,,,,,,,
2,1.472200073,0.563424139,,,,,,,,,,,,,
2,1.573362061,0.581153494,,,,,,,,,,,,,
2,1.669312988,0.601317792,,,,,,,,,,,,,
2,1.780469238,0.623605796,,,,,,,,,,,,,
2,1.896426636,0.645316381,,,,,,,,,,,,,
2,2.016123047,0.671162503,,,,,,,,,,,,,
2,2.139993164,0.696407631,,,,,,,,,,,,,
2,2.260313232,0.722980127,,,,,,,,,,,,,
2,2.387820557,0.752160675,,,,,,,,,,,,,
2,2.51670874,0.782560615,,,,,,,,,,,,,
2,2.64582959,0.810539699,,,,,,,,,,,,,
2,2.774084229,0.842173409,,,,,,,,,,,,,
2,2.899416504,0.871115946,,,,,,,,,,,,,
2,3.027877686,0.902770087,,,,,,,,,,,,,
2,3.161783447,0.934966665,,,,,,,,,,,,,
2,3.286287109,0.968537119,,,,,,,,,,,,,
2,3.414532227,1.001388184,,,,,,,,,,,,,
2,3.535959473,1.034227782,,,,,,,,,,,,,
2,3.658958984,1.066086814,,,,,,,,,,,,,
2,3.77688623,1.100067399,,,,,,,,,,,,,
2,3.894885498,1.131776371,,,,,,,,,,,,,
2,4.003439941,1.163844834,,,,,,,,,,,,,
2,4.112453125,1.195730991,,,,,,,,,,,,,
2,4.214931152,1.227459288,,,,,,,,,,,,,
2,4.313105469,1.257428899,,,,,,,,,,,,,
2,4.407830078,1.286066254,,,,,,,,,,,,,
2,4.500794922,1.317159389,,,,,,,,,,,,,
2,4.585038086,1.345441444,,,,,,,,,,,,,
2,4.664541504,1.37158006,,,,,,,,,,,,,
2,4.736457031,1.399185508,,,,,,,,,,,,,
2,4.797885254,1.425135531,,,,,,,,,,,,,
2,4.85467627,1.449010451,,,,,,,,,,,,,
2,4.898177734,1.470370218,,,,,,,,,,,,,
2,4.931691895,1.490008086,,,,,,,,,,,,,
2,4.961490723,1.508093905,,,,,,,,,,,,,
2,4.989361816,1.524778083,,,,,,,,,,,,,
2,4.993133789,1.537433593,,,,,,,,,,,,,
2,4.996375,1.546936459,,,,,,,,,,,,,
2,4.98576416,1.553859562,,,,,,,,,,,,,
2,4.971075684,1.558069489,,,,,,,,,,,,,
2,4.947754883,1.559682656,,,,,,,,,,,,,
2,4.914466309,1.557789277,,,,,,,,,,,,,
2,4.876691895,1.555856317,,,,,,,,,,,,,
2,4.836093262,1.550667104,,,,,,,,,,,,,
2,4.793427246,1.543717459,,,,,,,,,,,,,
2,4.731231445,1.534105744,,,,,,,,,,,,,
2,4.666099121,1.521821716,,,,,,,,,,,,,
2,4.58998877,1.507979934,,,,,,,,,,,,,
2,4.507750977,1.49057107,,,,,,,,,,,,,
2,4.405916016,1.470496529,,,,,,,,,,,,,
2,4.303333984,1.447087154,,,,,,,,,,,,,
2,4.197708496,1.425433555,,,,,,,,,,,,,
2,4.08783667,1.4002393,,,,,,,,,,,,,
2,3.973729248,1.374238404,,,,,,,,,,,,,
2,3.857383057,1.34749338,,,,,,,,,,,,,
2,3.738783691,1.317939488,,,,,,,,,,,,,
2,3.617328613,1.28870795,,,,,,,,,,,,,
2,3.496192871,1.259127981,,,,,,,,,,,,,
2,3.366285156,1.227757311,,,,,,,,,,,,,
2,3.234930908,1.195849036,,,,,,,,,,,,,
2,3.101860596,1.162522007,,,,,,,,,,,,,
2,2.966625488,1.128532458,,,,,,,,,,,,,
2,2.831234619,1.093852217,,,,,,,,,,,,,
2,2.701133545,1.059378614,,,,,,,,,,,,,
2,2.570493896,1.024899189,,,,,,,,,,,,,
2,2.437943848,0.991437933,,,,,,,,,,,,,
2,2.310386719,0.95654279,,,,,,,,,,,,,
2,2.177723877,0.921935949,,,,,,,,,,,,,
2,2.063276367,0.889352348,,,,,,,,,,,,,
2,1.943702026,0.855874678,,,,,,,,,,,,,
2,1.830744873,0.824832532,,,,,,,,,,,,,
2,1.718545776,0.795488828,,,,,,,,,,,,,
2,1.61334021,0.765992678,,,,,,,,,,,,,
2,1.511081787,0.735869282,,,,,,,,,,,,,
3,1.416911865,0.708738691,,,,,,,,,,,,,
3,1.328451538,0.683063292,,,,,,,,,,,,,
3,1.255185791,0.660365797,,,,,,,,,,,,,
3,1.185609375,0.640089449,,,,,,,,,,,,,
3,1.118639404,0.620083883,,,,,,,,,,,,,
3,1.070640991,0.603708264,,,,,,,,,,,,,
3,1.032605103,0.59091521,,,,,,,,,,,,,
3,1.005939697,0.580745575,,,,,,,,,,,,,
3,0.988667358,0.571882352,,,,,,,,,,,,,
3,0.983935608,0.566953036,,,,,,,,,,,,,
3,0.995238281,0.56481472,,,,,,,,,,,,,
3,1.008965942,0.563314534,,,,,,,,,,,,,
3,1.041119263,0.568113115,,,,,,,,,,,,,
3,1.083779785,0.574626029,,,,,,,,,,,,,
3,1.13597876,0.583143556,,,,,,,,,,,,,
3,1.198551636,0.594140613,,,,,,,,,,,,,
3,1.275678589,0.608081347,,,,,,,,,,,,,
3,1.360690308,0.621096813,,,,,,,,,,,,,
3,1.44650415,0.639959821,,,,,,,,,,,,,
3,1.543563477,0.658578414,,,,,,,,,,,,,
3,1.648883911,0.680210826,,,,,,,,,,,,,
