Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.000165,7.933326,,,,,0.00038885,-0.0048425,-6.88e-05,7.35e-05,-1.49e-05,,,,,,,,,20,,,S-0.25-20-003
,,0.002742,8.44872,,,,,0.0025177,-0.00581437,-8.61e-05,7.81e-05,-1.08e-05,,,,,,,,,20,,,
,,0.013952,12.040374,,,,,0.000498544,-0.00674099,-0.000117367,9.76e-05,7.01e-06,,,,,,,,,20,,,
,,0.008734,13.361072,,,,,-0.000893096,-0.00733341,-8.6e-05,0.000103992,1.67e-06,,,,,,,,,20,,,
,,0.011697,14.697876,,,,,0.00171256,-0.00808758,-0.000105651,0.000119656,1.6e-05,,,,,,,,,20,,,
,,0.015241,18.064044,,,,,0.00297511,-0.00910484,-0.000113527,0.000131265,1.47e-05,,,,,,,,,20,,,
,,0.00577,20.190046,,,,,0.00104258,-0.0103063,-0.000113157,0.000147073,-2.15e-05,,,,,,,,,20,,,
,,0.0097,20.286682,,,,,3.08e-05,-0.010972,-9.85e-05,0.000149691,-1.37e-05,,,,,,,,,20,,,
,,0.014145,20.930925,,,,,0.00115526,-0.0116786,-6.25e-05,0.00015652,-2.65e-05,,,,,,,,,20,,,
,,0.0164,26.294247,,,,,0.00294205,-0.0128445,-6.52e-05,0.000163779,-1.42e-05,,,,,,,,,20,,,
,,0.024196,24.087715,,,,,0.00178773,-0.0140913,-8.94e-05,0.000186917,-3.28e-05,,,,,,,,,20,,,
,,0.014919,30.562355,,,,,-9.8e-05,-0.0152802,-6.08e-05,0.000217355,-4.21e-05,,,,,,,,,20,,,
,,0.016594,30.642886,,,,,0.00204675,-0.016402,-6.75e-05,0.000239726,-4.7e-05,,,,,,,,,20,,,
,,0.027997,34.604979,,,,,0.00369747,-0.01763,-7.7e-05,0.000251924,-3.62e-05,,,,,,,,,20,,,
,,0.027803,33.735251,,,,,0.00184462,-0.0188336,-7.42e-05,0.000283681,-6.22e-05,,,,,,,,,20,,,
,,0.030187,37.359117,,,,,0.000846302,-0.0198836,-9.59e-05,0.000307771,-5.69e-05,,,,,,,,,20,,,
,,0.026386,39.388482,,,,,0.00221327,-0.0212392,-0.000141113,0.000330702,-4.72e-05,,,,,,,,,20,,,
,,0.036243,41.562802,,,,,0.00370804,-0.0227065,-0.000198598,0.0003534,-4.92e-05,,,,,,,,,20,,,
,,0.036372,41.868817,,,,,0.0029854,-0.024237,-0.000204157,0.000377789,-4.95e-05,,,,,,,,,20,,,
,,0.047646,44.912864,,,,,0.00111815,-0.0257055,-0.000232664,0.000399129,-4.93e-05,,,,,,,,,20,,,
,,0.046035,44.558531,,,,,0.00292806,-0.0271102,-0.000313446,0.000414577,-6.37e-05,,,,,,,,,20,,,
,,0.047839,49.954065,,,,,0.00515451,-0.0284915,-0.000258907,0.000438612,-7.61e-05,,,,,,,,,20,,,
,,0.048806,54.270492,,,,,0.00363235,-0.0303378,-0.000317846,0.000456252,-8.83e-05,,,,,,,,,20,,,
,,0.054797,57.02463,,,,,0.00224229,-0.0319191,-0.000338774,0.000482527,-8.66e-05,,,,,,,,,20,,,
