Machine_Displacement,Machine_Load,u--1,v--1,exx--1,eyy--1,exy--1,Th_chamber
0.012277,7.691735,0.0241204,-0.000190122,-0.000147366,1.31e-05,-0.0001449,50
0.007188,10.17207,0.0251457,-0.00177963,-0.000178741,5.49e-05,-0.000145197,50
0.00416,14.440179,0.0245986,-0.00353597,-0.00027589,9.37e-05,-0.000135386,50
0.000294,16.48565,0.0257974,-0.00519605,-0.000294657,0.000111741,-9.88e-05,50
0.01756,13.86036,0.0312962,-0.00684196,-0.000421061,0.000113182,-8.12e-05,50
0.018977,12.942314,0.0322308,-0.00874959,-0.00054782,0.000124076,-7.97e-05,50
0.022649,17.774135,0.0281731,-0.0105237,-0.000621502,0.000138423,-9.29e-05,50
0.024969,24.780276,0.0239408,-0.0121253,-0.000716606,0.000159848,-9.17e-05,50
0.029285,26.423095,0.0223506,-0.0138118,-0.000745918,0.00016782,-0.000102223,50
0.029672,29.257764,0.0210791,-0.0156586,-0.000707651,0.000195663,-0.000138244,50
0.035341,31.126068,0.0186531,-0.0174264,-0.000570287,0.000230667,-0.000200007,50
0.036565,31.834735,0.0162526,-0.0191337,-0.00042676,0.000270272,-0.000215973,50
0.041719,33.976842,0.0205972,-0.0211003,-0.000253088,0.000300224,-0.000269864,50
0.044167,37.069208,0.0241356,-0.0232611,-0.000158567,0.000328543,-0.000281033,50
0.036501,44.542425,0.0249321,-0.0253691,-0.000111486,0.000348759,-0.000288904,50
0.050223,42.448636,0.0243492,-0.0273051,-0.000111839,0.000370898,-0.00025669,50
0.045391,46.861699,0.0255122,-0.0294017,-0.00020325,0.000399472,-0.000241318,50
0.065105,49.696368,0.026659,-0.0313697,-0.000353503,0.000429633,-0.000233919,50
0.068455,50.340611,0.0253932,-0.0332841,-0.000469489,0.000455546,-0.00021319,50
0.066458,55.30128,0.0219744,-0.0350045,-0.000469515,0.000484139,-0.000189718,50
0.076573,57.652767,0.0243934,-0.0371884,-0.000508055,0.000529147,-0.000136242,50
0.084368,58.200373,0.0259513,-0.0391733,-0.000490868,0.000575291,-0.000117443,50
0.068262,64.852181,0.0242198,-0.0413895,-0.000424366,0.000623587,-7.63e-05,50
0.085592,64.207938,0.0232601,-0.0434331,-0.000415981,0.000650287,-5.49e-05,50
