Machine_Displacement,Machine_Load,Th_chamber
0.014403,-28.852938,50
0.005706,-20.429463,50
0.030058,-18.045765,50
0.021876,-12.891823,50
0.03998,-13.970929,50
0.047131,-12.279792,50
0.031927,-3.550302,50
0.045391,-3.856317,50
0.039915,1.474792,50
0.066587,-2.69668,50
0.047839,7.369614,50
0.055248,3.471945,50
0.050867,10.880737,50
0.059629,14.858936,50
0.067811,16.276271,50
0.069357,20.62491,50
0.08134,24.297094,50
0.091906,27.228399,50
0.07406,34.84657,50
0.073931,31.818629,50
0.082628,39.501225,50
0.088684,34.9271,50
0.107045,43.060666,50
0.103566,46.877805,50
0.108656,45.782592,50
0.10144,51.580778,50
0.123409,50.26008,50
0.124826,57.862146,50
0.115227,57.169585,50
0.125149,61.582648,50
0.126244,63.386528,50
0.144927,65.560848,50
0.138484,69.780639,50
0.134297,73.307868,50
0.167024,73.291762,50
0.163545,83.229208,50
0.160131,81.441434,50
0.155621,89.204561,50
0.164512,89.591107,50
0.163803,95.27655,50
0.176301,92.441882,50
0.16754,100.301645,50
0.195242,99.657402,50
0.173853,105.342845,50
0.196917,101.445176,50
0.202587,111.962441,50
0.1792,119.870523,50
0.200911,110.303516,50
0.176173,118.646461,50
0.202264,121.384494,50
0.193181,126.522331,50
0.215793,127.617544,50
0.205679,126.393482,50
0.225264,129.131515,50
0.213796,138.005961,50
0.246137,132.417154,50
0.247812,138.505249,50
0.225264,143.578662,50
0.236925,150.085516,50
0.229129,148.007832,50
0.256896,147.44412,50
0.24079,151.841078,50
0.247684,156.769536,50
0.235958,161.891268,50
0.247555,162.358344,50
0.277641,164.081694,50
0.271327,161.939586,50
0.267848,169.895987,50
0.252902,173.664808,50
0.297355,178.142296,50
0.27049,182.990225,50
0.267913,181.766163,50
0.305408,181.089708,50
0.294649,187.210016,50
0.318937,186.163121,50
0.288915,191.494232,50
0.303733,193.539703,50
0.325315,191.075474,50
0.330275,196.003933,50
0.330147,197.421267,50
0.335172,201.947074,50
0.332659,201.206195,50
0.341936,209.388081,50
0.328149,213.978312,50
0.337298,213.785039,50
0.327956,219.85703,50
0.331371,217.779346,50
0.350118,225.316989,50
0.338973,226.073975,50
0.357205,220.984455,50
0.369768,231.46951,50
0.370025,228.522098,50
0.357591,229.134129,50
0.382008,232.37145,50
0.375501,238.169638,50
0.391672,240.102367,50
0.399467,240.215109,50
0.391221,247.833283,50
0.379947,251.45715,50
0.39863,248.38089,50
0.391672,256.707731,50
0.4081,252.745636,50
0.397728,263.810511,50
0.390126,265.566073,50
0.422789,261.265751,50
0.431937,265.839876,50
0.413254,270.285153,50
0.410677,275.729007,50
0.417377,275.712901,50
0.432066,273.232566,50
0.419181,284.168592,50
0.445273,279.111284,50
0.455516,285.811412,50
0.448945,285.312123,50
0.443791,288.678293,50
0.459962,291.416327,50
0.4512,290.482174,50
0.437477,295.201255,50
0.446432,302.465096,50
0.456483,306.008433,50
0.478065,298.229197,50
0.486891,299.517683,50
0.460284,309.036375,50
0.461379,306.314448,50
0.465502,315.881459,50
0.478387,317.153839,50
0.473491,320.906555,50
0.505574,315.800928,50
0.514529,319.392584,50
0.495846,328.556942,50
0.525288,325.528999,50
0.53115,327.832169,50
0.528122,326.253773,50
0.530055,331.407718,50
0.543391,339.444651,50
0.519361,340.330486,50
0.55022,337.656877,50
0.519232,346.821235,50
0.537528,349.253253,50
0.537528,347.884237,50
0.540234,354.19782,50
0.548609,353.988441,50
0.572704,356.903641,50
0.561108,357.096914,50
0.557113,364.682877,50
0.588101,362.460238,50
0.573155,363.990316,50
0.585138,363.958104,50
0.5939,365.568712,50
0.59609,374.443162,50
0.570449,378.550212,50
0.592998,375.103511,50
0.584494,379.983653,50
0.589841,390.06606,50
0.593449,391.78941,50
0.604916,385.330872,50
0.629913,386.377767,50
0.608395,398.537858,50
0.617221,399.327056,50
0.62579,395.220005,50
0.644408,400.261209,50
0.625339,403.079773,50
0.621087,407.315672,50
0.663993,409.715478,50
0.637257,414.869424,50
0.636484,414.048014,50
0.661094,416.44782,50
0.65987,421.070266,50
0.663929,421.360175,50
0.649949,425.805454,50
0.682161,420.200537,50
0.677071,426.932879,50
0.677909,427.979775,50
0.692855,432.747175,50
0.672691,440.993489,50
0.677716,442.79737,50
0.697301,445.873632,50
0.701875,451.317488,50
0.721202,446.533982,50
0.713278,452.396596,50
0.711216,453.94278,50
0.717079,458.855135,50
0.731252,451.494655,50
0.729706,457.856558,50
0.744395,457.727709,50
0.73544,468.325512,50
0.757666,463.960763,50
0.728869,473.286185,50
0.746585,470.097181,50
0.747809,476.120856,50
0.765139,470.902485,50
0.762498,478.262965,50
0.756056,487.185736,50
0.754767,484.57655,50
0.795097,483.916201,50
0.789814,485.220794,50
0.776478,487.685024,50
0.7998,494.44958,50
0.789621,499.7968,50
0.80315,496.478946,50
0.805598,498.121767,50
0.807273,502.09997,50
0.813007,509.589299,50
0.798769,504.258185,50
0.832334,506.609674,50
0.833816,508.655146,50
0.829435,522.425849,50
0.824088,521.201787,50
0.836006,528.96492,50
