n_cycles,hysteresis_area,stiffness,creep
1,0.022079,4583.191639,0.003778
10,0.01805,4673.613154,0.003794
25,0.017355,4678.170435,0.003802
50,0.016993,4669.36069,0.003816
100,0.017134,4668.942411,0.003855
150,0.016999,4673.305313,0.003883
200,0.017136,4661.853,0.003923
250,0.016863,4655.001695,0.003939
300,0.016981,4654.004852,0.003958
350,0.017171,4656.114086,0.003969
400,0.017082,4664.018227,0.003996
450,0.017003,4634.501704,0.003997
500,0.016925,4671.13682,0.004034
550,0.016952,4658.13793,0.004047
600,0.016973,4644.086768,0.004055
650,0.016973,4636.375467,0.004072
700,0.017099,4628.38762,0.004062
750,0.016878,4636.09922,0.004091
800,0.016904,4617.072013,0.004056
850,0.017096,4638.736702,0.004083
900,0.016878,4634.238198,0.004106
950,0.016613,4638.520247,0.004115
1000,0.016807,4643.944763,0.004152
1050,0.016745,4638.798041,0.004164
1100,0.016897,4617.683917,0.004133
1150,0.016965,4624.466548,0.004142
1200,0.016929,4627.230929,0.004144
1250,0.016804,4625.494427,0.004167
1300,0.016743,4616.139301,0.004192
1350,0.01675,4625.189731,0.004174
1400,0.016799,4641.033518,0.004202
1450,0.016757,4628.015268,0.004203
1500,0.016781,4617.534072,0.004207
1550,0.01716,4614.646678,0.004207
1600,0.016785,4634.89511,0.004215
1650,0.017161,4643.451264,0.004244
1750,0.016554,4606.858926,0.004229
1800,0.017012,4623.566517,0.004252
1850,0.016973,4614.333097,0.004209
1900,0.016845,4626.560234,0.004245
1950,0.017002,4626.725989,0.004236
2000,0.016705,4633.573814,0.004254
2050,0.016934,4604.404975,0.004289
2100,0.016833,4639.629516,0.00424
2150,0.016993,4648.225521,0.004317
2200,0.016938,4636.720209,0.004283
2250,0.016743,4631.505151,0.004258
2300,0.016883,4626.249096,0.004253
2350,0.01688,4624.790198,0.004276
2400,0.017014,4645.380741,0.0043
2450,0.016878,4624.099491,0.004251
2500,0.016499,4625.039944,0.004261
2550,0.016825,4621.639426,0.004281
2600,0.016743,4639.675848,0.00431
2650,0.017089,4655.046349,0.004296
2700,0.016843,4667.323477,0.004296
