N_cycles,Load,eyy,exx,Specimen_name
0,6.078374,0.0,0.0,F2-A13-631-7
0,7.826936,-2.03e-06,2.39e-07,
0,7.884899,6.16e-06,7.36e-06,
0,12.947035,-8.42e-06,5.49e-05,
0,30.17182,-6.71e-05,0.000227,
0,44.662666,-0.000108578,0.000410181,
0,58.883015,-0.000172083,0.000576988,
0,75.885607,-0.000233008,0.000731306,
0,91.052691,-0.000280598,0.00087488,
0,107.543272,-0.000327227,0.0010514,
0,122.130722,-0.000382203,0.00121557,
0,138.21556,-0.000438486,0.00137353,
0,153.566194,-0.000499187,0.00152381,
0,167.825185,-0.000558177,0.00169891,
0,184.132215,-0.000607156,0.00187488,
0,198.458829,-0.000654143,0.00202478,
0,212.254113,-0.000715483,0.00216579,
0,228.406574,-0.000778532,0.00232817,
0,242.182537,-0.00083689,0.00249389,
0,256.547794,-0.000891288,0.0026501,
0,270.555611,-0.000945833,0.00279813,
0,288.843058,-0.00101654,0.00296417,
0,302.271241,-0.00108488,0.00313943,
0,316.114829,-0.00115518,0.00329503,
0,330.151628,-0.00119213,0.00343493,
0,343.038821,-0.00125009,0.00357838,
1,663.760048,-0.00245249,0.00697761,
1,671.507829,-0.00237712,0.00690396,
1,562.884346,-0.00186044,0.00543876,
1,354.428626,-0.00109636,0.00330192,
1,152.204055,-0.000434279,0.00134262,
1,44.962143,-0.000204054,0.000637995,
1,69.229479,-0.000240746,0.0010564,
1,159.294908,-0.000712552,0.00208363,
1,360.534103,-0.00144446,0.00434164,
1,545.369732,-0.00205384,0.00587209,
10,627.871014,-0.00230149,0.0066875,
10,644.487201,-0.00230598,0.0066404,
10,546.316468,-0.0017913,0.00535449,
10,349.472757,-0.00111685,0.00330265,
10,171.921263,-0.000508236,0.00166823,
10,71.876473,-0.000238919,0.000868473,
10,63.954811,-0.000266064,0.000994209,
10,168.868525,-0.000693699,0.00227643,
10,355.191811,-0.00143632,0.00418511,
10,526.869741,-0.00198918,0.0057966,
25,619.997647,-0.00228096,0.00662416,
25,636.092162,-0.00225887,0.00655971,
25,539.525087,-0.00179743,0.00531796,
25,350.834896,-0.0011103,0.00332032,
25,175.46669,-0.000517986,0.00174537,
25,76.078818,-0.000286986,0.000935807,
25,71.180913,-0.000326782,0.00107669,
25,169.554425,-0.000714426,0.00230411,
25,355.462307,-0.00142052,0.00417623,
25,521.749639,-0.00197566,0.00575891,
50,622.818534,-0.00229455,0.00665629,
50,633.425844,-0.0022512,0.00655252,
50,536.907073,-0.00179124,0.0053115,
50,350.55474,-0.00110851,0.0033578,
50,176.616297,-0.000523617,0.00176729,
50,78.33939,-0.00025048,0.000963789,
50,74.195008,-0.000291847,0.00112757,
50,170.877922,-0.00071944,0.00232449,
50,352.139073,-0.00139776,0.00418101,
50,521.788282,-0.00196974,0.00577619,
100,620.422712,-0.0022729,0.0066727,
100,633.165008,-0.00222766,0.00658477,
100,533.245717,-0.0018179,0.00531155,
100,351.221319,-0.00113783,0.00339972,
100,178.229611,-0.000557342,0.00182884,
100,78.484298,-0.000273433,0.000995407,
100,73.393182,-0.000328848,0.00116966,
100,172.085493,-0.000736524,0.00238657,
100,353.868314,-0.00142174,0.00422368,
100,517.479668,-0.00196619,0.00579914,
150,622.24856,-0.00233106,0.00670422,
150,630.556653,-0.002268,0.00659836,
150,534.549894,-0.00183951,0.00534329,
150,349.714271,-0.00112935,0.00341121,
150,180.084439,-0.000551489,0.00186798,
150,80.609622,-0.000274332,0.00104468,
150,73.953494,-0.000322494,0.00118514,
150,172.684448,-0.000739995,0.00241044,
150,353.163092,-0.00143211,0.00425159,
150,518.851469,-0.00200291,0.00582466,
200,620.905741,-0.00234762,0.00673039,
200,632.556392,-0.00230053,0.00663237,
200,533.438928,-0.00183342,0.00534564,
200,349.289206,-0.00109719,0.00342979,
200,181.272688,-0.00056271,0.00190253,
200,80.551659,-0.000269077,0.00104214,
200,73.934173,-0.000323261,0.00122566,
200,175.331442,-0.000742762,0.002448,
200,353.047166,-0.00141692,0.00426288,
200,517.199511,-0.00201543,0.00584664,
250,620.586942,-0.00235236,0.00674735,
250,632.34386,-0.00227538,0.00662867,
250,531.139713,-0.00182795,0.0053567,
250,349.617665,-0.00110262,0.00346629,
250,181.842661,-0.000564837,0.00192182,
250,80.638604,-0.000287381,0.00107452,
250,74.175687,-0.000333661,0.00124384,
250,175.891755,-0.000758442,0.00247876,
250,352.882936,-0.00141278,0.00427367,
250,516.745465,-0.00196729,0.00586825,
300,621.504696,-0.00234069,0.00678325,
300,632.005739,-0.00226413,0.00664858,
300,527.565302,-0.00176931,0.00533933,
300,351.491815,-0.00111576,0.00350347,
300,183.504278,-0.000587237,0.00194974,
300,76.668113,-0.000290227,0.00107839,
300,74.108063,-0.000336936,0.0012626,
300,176.471388,-0.000774253,0.00251739,
300,353.617139,-0.00138153,0.00427997,
300,517.537631,-0.00195549,0.00590297,
350,624.122711,-0.00227727,0.00681407,
350,631.319839,-0.00226688,0.00665654,
350,528.995066,-0.00176421,0.00536818,
350,351.559439,-0.00112011,0.00351757,
350,180.548146,-0.00059089,0.00194096,
350,81.121632,-0.000294642,0.00111694,
350,77.730774,-0.000360501,0.00128737,
350,172.839017,-0.000768315,0.00249639,
350,350.023409,-0.00139695,0.00432213,
350,520.773922,-0.00200914,0.00592477,
400,621.939422,-0.00229525,0.0068089,
400,631.059003,-0.00223288,0.00667371,
400,529.816215,-0.00176642,0.00537958,
400,349.781895,-0.00113465,0.00351892,
400,179.775301,-0.000590073,0.00195746,
400,81.701266,-0.000305129,0.00113713,
400,74.088742,-0.00034716,0.00129656,
400,174.394367,-0.000782356,0.0025132,
400,351.337246,-0.0013908,0.00433929,
400,518.281495,-0.00194984,0.00592368,
450,622.663965,-0.00228354,0.00683981,
450,631.397123,-0.00222093,0.00666824,
450,527.043631,-0.00175985,0.00538745,
450,350.941163,-0.00115854,0.00354896,
450,182.412634,-0.000598955,0.00197019,
450,80.464714,-0.000297994,0.00114624,
450,76.020855,-0.000361247,0.00132505,
450,175.630919,-0.000791202,0.00253615,
450,351.714008,-0.00139762,0.00436147,
450,518.426404,-0.00194811,0.00594127,
500,618.925323,-0.00226262,0.0068098,
500,631.657959,-0.00223105,0.00670228,
500,531.09141,-0.00177809,0.00541721,
500,347.250827,-0.00115271,0.0035246,
500,179.978173,-0.000605363,0.00198927,
500,82.058707,-0.000292449,0.00117229,
500,73.132346,-0.000344582,0.0013014,
500,175.882094,-0.000796759,0.00255977,
500,354.66048,-0.00140278,0.0043748,
500,516.697162,-0.00193373,0.00594202,
550,622.654304,-0.00226013,0.00683567,
550,630.33446,-0.00220187,0.00668925,
550,530.347546,-0.00177676,0.00542535,
550,347.878764,-0.00115478,0.00355093,
550,178.538749,-0.00058923,0.00199808,
550,83.111708,-0.000295248,0.00117581,
550,74.040439,-0.00032856,0.00133629,
550,176.790187,-0.000798801,0.00256812,
550,351.153695,-0.0014348,0.00438288,
550,517.015961,-0.00195188,0.0059667,
600,621.755871,-0.00227321,0.00687225,
600,630.411745,-0.00221147,0.00671203,
600,528.463735,-0.00180032,0.0054338,
600,349.327848,-0.00116689,0.00357027,
600,181.30167,-0.000573606,0.00202475,
600,79.972025,-0.000294297,0.0011699,
600,74.668376,-0.000320323,0.0013503,
600,177.379481,-0.000808221,0.0025976,
600,351.134374,-0.00142687,0.00437678,
600,517.85643,-0.00196802,0.00599067,
650,625.27232,-0.00228068,0.00692527,
650,630.537332,-0.00220438,0.00671608,
650,526.956686,-0.00180029,0.00543361,
650,351.037768,-0.00116612,0.00360138,
650,179.012116,-0.000575952,0.00200563,
650,79.36341,-0.000285276,0.00118623,
650,75.798662,-0.000322352,0.00136644,
650,176.384443,-0.000807925,0.0025927,
650,351.211658,-0.00143109,0.00440401,
650,518.03032,-0.00196432,0.00599194,
700,622.07467,-0.00225819,0.00688742,
700,631.203912,-0.00222188,0.00672292,
700,527.719871,-0.00180248,0.00543177,
700,349.443775,-0.0011667,0.00358234,
700,182.953626,-0.000565594,0.00202249,
700,78.986648,-0.000272153,0.00117839,
700,77.189783,-0.00033252,0.00138597,
700,177.678959,-0.000790234,0.00259931,
700,351.279282,-0.00144664,0.00440202,
700,517.962696,-0.00196061,0.00599774,
750,622.57702,-0.00227316,0.00691329,
750,631.609656,-0.00225949,0.00674573,
750,525.063215,-0.00177023,0.0054205,
750,348.603306,-0.00116154,0.00360838,
750,182.325689,-0.00058588,0.00204564,
750,78.774115,-0.00027424,0.00118988,
750,75.25767,-0.000318501,0.00139852,
750,178.461464,-0.000807356,0.00261335,
750,350.612703,-0.00145463,0.00441335,
750,517.305778,-0.00195908,0.00600622,
800,623.707307,-0.0022701,0.0069243,
800,627.330022,-0.00224364,0.00674355,
800,525.256426,-0.00176712,0.00544446,
800,350.274584,-0.00110548,0.00362586,
800,181.456239,-0.000609085,0.00202682,
800,81.546697,-0.000265339,0.00123072,
800,74.967853,-0.000335069,0.00140191,
800,177.939794,-0.000794361,0.0026149,
800,351.298604,-0.00144396,0.00444939,
800,519.411782,-0.00196741,0.00602234,
850,621.089291,-0.00228369,0.00691892,
850,630.150909,-0.00223685,0.00675765,
850,526.734493,-0.00183702,0.00546616,
850,347.009313,-0.00116343,0.00360501,
850,182.692791,-0.000551235,0.00205987,
850,80.136255,-0.000288105,0.00122844,
850,73.605714,-0.000316808,0.00138532,
850,176.886793,-0.000802124,0.00265451,
850,353.549515,-0.00145267,0.00444212,
850,514.678103,-0.00199865,0.00601618,
900,623.75561,-0.00227748,0.00693616,
900,628.711484,-0.00228086,0.00676231,
900,526.435015,-0.00180197,0.00547436,
900,347.588947,-0.00113834,0.0036283,
900,181.572165,-0.000575258,0.00207721,
900,78.8514,-0.000273069,0.00122383,
900,73.856889,-0.000323269,0.00140944,
900,178.306895,-0.000804714,0.00266099,
900,350.950823,-0.00145574,0.00444219,
900,517.402383,-0.00200781,0.00605763,
950,621.185897,-0.00228693,0.00693878,
950,628.798429,-0.00224785,0.00676649,
950,525.903684,-0.0018409,0.00548179,
950,346.78712,-0.0011594,0.00362032,
950,181.958588,-0.000565278,0.00209266,
950,80.976724,-0.000274501,0.00125063,
950,74.455844,-0.000320487,0.00141745,
950,179.562768,-0.000795115,0.00267372,
950,353.559176,-0.00146299,0.00446633,
950,515.769747,-0.00198615,0.00602691,
