n_cycles,hysteresis_area,stiffness,creep
8,0.005584,2809.125093,0.004445
9,0.00676,2798.551674,0.004474
10,0.007731,2799.685218,0.004607
210,0.00745,2722.972376,0.005456
410,0.007234,2699.587448,0.005709
610,0.026355,2955.576336,0.007821
810,0.006881,2675.785484,0.006066
1010,0.026059,2572.467547,0.006044
1210,0.007249,2660.751952,0.00615
1410,0.006987,2655.390995,0.006327
1610,0.007015,2651.783594,0.00642
1810,0.006982,2658.039788,0.006467
2010,0.007036,2622.027435,0.006665
2210,0.007006,2637.566809,0.006638
2410,0.007001,2630.261967,0.006767
2610,0.006959,2625.588581,0.006806
2810,0.026923,2527.191199,0.006862
3010,0.026864,2520.584966,0.006873
3210,0.006925,2617.304367,0.006936
3410,0.006684,2610.717071,0.006953
3610,0.006759,2608.793855,0.007074
3810,0.027172,2498.831965,0.007208
4010,0.006975,2600.350876,0.007116
4210,0.006932,2607.830635,0.007228
4410,0.006774,2604.469867,0.007191
4610,0.006863,2598.045636,0.007323
4810,0.013422,2455.82879,0.008222
5010,0.006836,2594.84656,0.007395
5210,0.034367,2898.960913,0.009044
5410,0.006908,2589.959561,0.007399
5610,0.023248,2345.447568,0.008388
5810,0.006819,2586.615259,0.007523
6010,0.006814,2586.769589,0.007455
6210,0.006921,2587.014426,0.007577
6410,0.00686,2585.484499,0.007517
6610,0.006649,2584.621701,0.007554
6810,0.006883,2578.400465,0.007603
7010,0.006608,2580.301918,0.007726
7210,0.006592,2580.733654,0.007712
7410,0.027283,2483.499735,0.007705
7610,0.010104,2498.273066,0.006843
7810,0.013861,2713.585269,0.008749
8010,0.006615,2563.819971,0.007829
8210,0.006741,2569.256539,0.007855
8410,0.006692,2564.951454,0.007908
8610,0.006701,2561.714033,0.00793
8810,0.006398,2557.966622,0.007989
