N_cycles,Load,eyy,exx,Specimen_name
0,-13.441736,0.0,0.0,T1-FC-13-B7
0,-14.673458,-2.83e-05,-1.27e-05,
0,-14.142127,-3.51e-05,-1.45e-05,
0,-14.36915,-1.99e-05,-5.23e-06,
0,-17.827633,-2.61e-05,-2.48e-05,
0,-99.739582,0.00034151,-0.000573214,
1,424.809978,-0.00109839,0.00315563,
1,430.828524,-0.00110642,0.00319312,
1,430.934791,-0.00111648,0.00320627,
1,432.026437,-0.00111952,0.0031952,
1,428.007633,-0.0011051,0.00316625,
1,417.835035,-0.00108042,0.00309764,
1,408.33868,-0.00106148,0.0030221,
1,394.678616,-0.00102678,0.00293338,
1,380.578997,-0.00099629,0.00284697,
1,370.730036,-0.000956506,0.00275423,
1,354.495433,-0.000937556,0.00268363,
1,352.877287,-0.000932008,0.00267271,
1,349.858356,-0.000928163,0.0026597,
1,349.636163,-0.000929937,0.00265982,
1,357.504703,-0.00096081,0.00273659,
1,374.980691,-0.0010385,0.00292337,
1,403.440764,-0.00109079,0.00307483,
1,423.481648,-0.00114099,0.00320674,
2,439.503732,-0.00118031,0.0033083,
2,453.922162,-0.00121796,0.00340619,
2,463.104554,-0.00123761,0.00345672,
2,465.988241,-0.0012369,0.00346878,
2,462.771264,-0.00123297,0.00344496,
2,451.27516,-0.00120311,0.00335675,
2,435.620176,-0.00116641,0.00324379,
2,415.212186,-0.0011178,0.003097,
2,391.234618,-0.00105472,0.00292402,
2,367.648311,-0.000999907,0.00275945,
2,344.834856,-0.000958068,0.00264307,
2,332.981329,-0.000920082,0.00253503,
2,317.741773,-0.000893189,0.0024551,
2,315.920755,-0.000893507,0.00245482,
2,319.659397,-0.000919252,0.00249774,
2,333.565794,-0.000956019,0.00261229,
2,350.853396,-0.000998546,0.00273527,
2,380.429258,-0.00108145,0.00295799,
2,408.348341,-0.00114783,0.00313887,
2,434.311166,-0.00121414,0.00332188,
3,461.73275,-0.00127736,0.00350846,
3,481.116731,-0.00132705,0.00362517,
3,493.74796,-0.0013515,0.00371887,
3,500.321997,-0.00136009,0.0037296,
3,493.520936,-0.00133301,0.00366434,
3,476.986826,-0.0012957,0.00354832,
3,453.154145,-0.0012301,0.00335986,
3,422.105014,-0.00116029,0.00314759,
3,387.751978,-0.00106856,0.00291437,
3,352.524675,-0.000984654,0.0026775,
3,327.015924,-0.000922104,0.00249963,
3,301.569974,-0.000860965,0.00234587,
3,284.9393,-0.000825878,0.0022561,
3,284.258229,-0.000827002,0.00226835,
3,289.615016,-0.000850361,0.0023226,
3,305.714359,-0.00090747,0.00246854,
3,338.734202,-0.00098248,0.00268998,
3,369.63356,-0.00107094,0.00293831,
3,412.29952,-0.00117477,0.0032098,
3,449.048394,-0.00125967,0.00346151,
4,483.266213,-0.00134032,0.00369481,
4,512.233515,-0.00141004,0.00387581,
4,526.593999,-0.00143738,0.00395996,
4,530.694925,-0.00141693,0.00389144,
4,498.631392,-0.00135372,0.00371255,
4,471.340209,-0.00127284,0.00349762,
4,428.514813,-0.00116375,0.00318617,
4,384.109939,-0.00105642,0.00289392,
4,341.521278,-0.000955018,0.00260315,
4,304.685508,-0.000845803,0.00234123,
4,272.448182,-0.000787013,0.0021677,
4,255.015685,-0.000759242,0.00207355,
4,249.431876,-0.000740475,0.00205029,
4,258.396884,-0.000768324,0.00213573,
4,285.074548,-0.000858449,0.00235416,
4,320.543339,-0.00095239,0.00260391,
4,363.286559,-0.00105743,0.00293026,
4,417.323024,-0.00119592,0.00327796,
5,462.959645,-0.00129566,0.00359171,
5,504.108951,-0.00140349,0.00387848,
5,540.225112,-0.00148675,0.00410847,
5,560.212908,-0.00152128,0.00420344,
5,563.502346,-0.00152914,0.00421657,
5,554.146046,-0.00141064,0.00388556,
5,483.86517,-0.00130896,0.00360635,
5,438.059474,-0.00119177,0.00325188,
5,379.559806,-0.00103616,0.00284628,
5,326.238248,-0.000925709,0.00251578,
5,282.533817,-0.000806818,0.00220928,
5,242.302377,-0.000716863,0.00196013,
5,222.488553,-0.000690728,0.00186748,
5,219.812577,-0.000682637,0.00185475,
5,226.821318,-0.000716464,0.00195421,
5,258.208503,-0.000808884,0.00220545,
5,304.328067,-0.000932146,0.00252823,
5,356.867105,-0.00106574,0.00290837,
5,422.69431,-0.00122742,0.00335193,
6,475.175465,-0.00135216,0.00370559,
6,526.75823,-0.00148632,0.00405695,
6,569.960464,-0.00158331,0.00433451,
6,593.435754,-0.00162025,0.0044519,
6,595.242289,-0.00162533,0.00445468,
6,584.011824,-0.00158603,0.00433568,
6,548.282057,-0.0014888,0.00405062,
6,501.423305,-0.00136368,0.00371634,
6,445.338728,-0.00121403,0.00329091,
6,373.116199,-0.00104147,0.0027986,
6,313.940337,-0.000908141,0.00242607,
6,261.913331,-0.000764513,0.00205353,
6,214.011406,-0.00066936,0.00176678,
6,191.106205,-0.000631635,0.00165347,
6,187.613911,-0.000629659,0.00164034,
6,197.018471,-0.000670831,0.001768,
6,233.617527,-0.000773244,0.0020586,
6,288.074155,-0.000908799,0.00244354,
6,349.950132,-0.00106683,0.00288306,
6,425.621468,-0.00126107,0.00340806,
7,490.748345,-0.0014205,0.00383359,
7,549.112869,-0.00156051,0.0042395,
7,597.947262,-0.00167838,0.00455019,
7,623.63968,-0.00172845,0.00468278,
7,629.006156,-0.00173178,0.00469814,
7,616.413535,-0.00167884,0.00455605,
7,572.322483,-0.0015559,0.00421507,
7,517.662773,-0.00141631,0.00382198,
7,450.603749,-0.00124559,0.00333932,
7,370.271158,-0.00103206,0.0027569,
7,298.720105,-0.000883201,0.00232201,
7,236.317655,-0.000717591,0.00190058,
7,186.242111,-0.000609052,0.00159412,
7,158.540443,-0.000565502,0.00143706,
7,150.686404,-0.000548642,0.00142013,
7,167.906359,-0.000614352,0.00159102,
7,210.900704,-0.000722348,0.00191169,
7,269.554841,-0.000883833,0.00234622,
7,345.172976,-0.00108118,0.00289113,
7,430.582179,-0.00127987,0.00346162,
8,502.597068,-0.00145679,0.00394356,
8,572.259689,-0.00163218,0.00443176,
8,628.358894,-0.00175747,0.00477218,
8,656.331238,-0.00181769,0.00493563,
8,661.905422,-0.00181815,0.00494537,
8,646.008856,-0.00175626,0.00476567,
8,596.251824,-0.00161276,0.00438578,
8,534.071307,-0.00146495,0.0039298,
8,456.902454,-0.00125482,0.00337026,
8,365.648571,-0.00102372,0.00272814,
8,284.741258,-0.000841818,0.00222877,
8,216.600438,-0.00066814,0.00175973,
8,157.98013,-0.000544901,0.00138201,
8,123.931474,-0.000482329,0.00121355,
8,120.728997,-0.000475729,0.00121812,
8,137.794382,-0.00054127,0.0013996,
8,189.603988,-0.00067951,0.00178322,
8,253.624563,-0.000853606,0.00226051,
8,340.086683,-0.00106485,0.0028717,
8,435.19511,-0.00129851,0.00352647,
9,515.972168,-0.0014996,0.00407289,
9,595.667356,-0.00170285,0.00461672,
9,655.949643,-0.00184993,0.00499718,
9,688.312766,-0.00191122,0.00518763,
9,694.621162,-0.00191466,0.00519118,
9,674.333826,-0.00183403,0.00498503,
9,620.606244,-0.0016868,0.00457482,
9,550.489506,-0.001497,0.00404043,
9,460.800503,-0.00126816,0.00340555,
9,361.866454,-0.00101939,0.00270856,
9,271.544919,-0.000801841,0.00213021,
9,194.501894,-0.000617023,0.00160085,
9,127.216066,-0.000468363,0.00118522,
9,94.640647,-0.000407684,0.0010294,
9,87.883084,-0.000400711,0.00101501,
9,106.059433,-0.00063286,0.00166195,
9,241.036842,-0.00081408,0.00218451,
9,329.716055,-0.00105854,0.00285065,
9,438.909606,-0.00132641,0.00359677,
10,531.255241,-0.00154346,0.00420325,
10,614.988593,-0.0017577,0.00479455,
10,685.617448,-0.00191873,0.00524436,
10,722.09603,-0.00199149,0.0054243,
10,726.844238,-0.0019916,0.00543177,
10,703.165999,-0.00190047,0.00518759,
10,641.217185,-0.0017285,0.00471621,
10,565.125328,-0.00152704,0.00414719,
10,464.626097,-0.00125791,0.00342787,
10,358.335513,-0.00100439,0.00269993,
10,263.024296,-0.000769017,0.00207396,
10,177.948516,-0.000570789,0.00150531,
10,112.121436,-0.000421074,0.00110521,
10,79.898628,-0.000360823,0.000924223,
10,70.416786,-0.000353874,0.000915489,
10,94.819368,-0.00043209,0.00114315,
10,153.410683,-0.000600314,0.00160634,
10,234.970006,-0.000803475,0.00217604,
10,329.711225,-0.00105473,0.00286653,
10,439.035194,-0.00131717,0.00361345,
210,535.095331,-0.00162585,0.00461115,
210,619.219945,-0.00185234,0.00520316,
210,686.182595,-0.00199407,0.00561121,
210,717.647303,-0.00205969,0.0058017,
210,723.240816,-0.00205747,0.00578935,
210,700.388564,-0.00197538,0.00555458,
210,641.178543,-0.00180788,0.00509936,
210,559.93275,-0.0015823,0.00448845,
210,462.495937,-0.00134202,0.0037887,
210,358.369325,-0.0010693,0.00305831,
210,259.266335,-0.000838981,0.00241086,
210,180.049689,-0.000647955,0.00188704,
210,113.193758,-0.000494892,0.001443,
210,77.734662,-0.000429099,0.00128258,
210,73.174877,-0.000437258,0.00128446,
210,95.935163,-0.00051574,0.00149903,
210,155.110942,-0.000671775,0.00197078,
210,235.651076,-0.000879058,0.00252547,
210,330.319841,-0.00113752,0.00323476,
210,441.402038,-0.00139997,0.00397817,
410,534.264519,-0.00134734,0.00409893,
410,619.215115,-0.00156438,0.00472752,
410,686.55453,-0.0017907,0.00532291,
410,715.821441,-0.00192667,0.00572474,
410,724.076462,-0.00199574,0.00590751,
410,699.543258,-0.00200034,0.00591736,
410,640.458826,-0.00191383,0.00566516,
410,559.469041,-0.00174903,0.00521381,
410,459.77648,-0.00152414,0.0046034,
410,358.060187,-0.00126924,0.00388744,
410,261.154976,-0.00101749,0.00317021,
410,178.513659,-0.00078435,0.0025284,
410,112.266344,-0.000581378,0.00197969,
410,78.589622,-0.000437037,0.00155875,
410,74.121612,-0.000377238,0.00139401,
410,94.795216,-0.000370293,0.00139081,
410,155.193057,-0.000446606,0.00160829,
