Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,eyy--1,exx--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,BB1M1S2
,,,,,,,3.33801,,,1.04e-05,3.39e-06,-1.62e-05,,,,,,,,,,,,
,,,,,,,39.729253,,,0.000134308,-2.35e-05,-2.73e-06,,,,,,,,,,,,
,,,,,,,83.116749,,,0.000283298,-5.8e-05,1.84e-05,,,,,,,,,,,,
,,,,,,,130.494032,,,0.000446153,-0.000118304,3.3e-05,,,,,,,,,,,,
,,,,,,,173.825021,,,0.000581804,-0.000134939,2.94e-05,,,,,,,,,,,,
,,,,,,,225.892852,,,0.000761828,-0.000198525,3.8e-05,,,,,,,,,,,,
,,,,,,,268.856516,,,0.000913249,-0.000258152,4.08e-05,,,,,,,,,,,,
,,,,,,,316.064277,,,0.00107798,-0.000288643,4.72e-05,,,,,,,,,,,,
,,,,,,,357.781846,,,0.00122633,-0.00030396,4.27e-05,,,,,,,,,,,,
,,,,,,,404.87659,,,0.00138669,-0.000353749,5.82e-05,,,,,,,,,,,,
,,,,,,,451.44012,,,0.00154843,-0.000403201,6.63e-05,,,,,,,,,,,,
,,,,,,,496.647354,,,0.00171345,-0.000434301,7.68e-05,,,,,,,,,,,,
,,,,,,,550.393644,,,0.00187794,-0.000475308,8.75e-05,,,,,,,,,,,,
,,,,,,,594.716467,,,0.00205001,-0.000517507,8.15e-05,,,,,,,,,,,,
,,,,,,,639.827646,,,0.00221594,-0.000559126,9.42e-05,,,,,,,,,,,,
,,,,,,,689.903463,,,0.00238747,-0.000601831,0.00010227,,,,,,,,,,,,
,,,,,,,741.098237,,,0.00257282,-0.000646819,0.000115201,,,,,,,,,,,,
,,,,,,,786.316809,,,0.00273516,-0.00069735,0.000107272,,,,,,,,,,,,
,,,,,,,832.877563,,,0.00289496,-0.000727731,0.000111448,,,,,,,,,,,,
,,,,,,,877.881401,,,0.00306142,-0.000774889,0.000109719,,,,,,,,,,,,
,,,,,,,925.708053,,,0.00322761,-0.000808615,0.00012729,,,,,,,,,,,,
,,,,,,,970.324794,,,0.00338207,-0.000858646,0.000141559,,,,,,,,,,,,
,,,,,,,1016.902531,,,0.00356092,-0.000901802,0.000136226,,,,,,,,,,,,
,,,,,,,1058.606059,,,0.0037185,-0.000921086,0.000136981,,,,,,,,,,,,
,,,,,,,1106.429918,,,0.00386991,-0.000982794,0.000154315,,,,,,,,,,,,
,,,,,,,1147.927189,,,0.00401828,-0.001039,0.000151342,,,,,,,,,,,,
,,,,,,,1185.448798,,,0.00384795,-0.00109884,0.00026997,,,,,,,,,,,,
,,,,,,,1185.720059,,,0.00396291,-0.0011508,0.000274364,,,,,,,,,,,,
,,,,,,,1227.33037,,,0.00413121,-0.00118738,0.000285263,,,,,,,,,,,,
,,,,,,,1274.077695,,,0.00427618,-0.0012364,0.000285896,,,,,,,,,,,,
,,,,,,,1313.334266,,,0.0044313,-0.00127114,0.000286121,,,,,,,,,,,,
,,,,,,,1355.218687,,,0.00457569,-0.00131833,0.000296554,,,,,,,,,,,,
,,,,,,,1398.055356,,,0.00473942,-0.00136204,0.000292549,,,,,,,,,,,,
,,,,,,,1439.075149,,,0.00487623,-0.00141938,0.000303736,,,,,,,,,,,,
,,,,,,,1477.421895,,,0.00501309,-0.00146315,0.00031429,,,,,,,,,,,,
,,,,,,,1517.800284,,,0.00515715,-0.00151666,0.000326644,,,,,,,,,,,,
,,,,,,,1554.409277,,,0.00529894,-0.00155611,0.000336691,,,,,,,,,,,,
,,,,,,,1596.129861,,,0.00544274,-0.0016158,0.00033377,,,,,,,,,,,,
,,,,,,,1632.817987,,,0.00554535,-0.00167368,0.000295477,,,,,,,,,,,,
,,,,,,,1673.795445,,,0.00571036,-0.00169755,0.000350771,,,,,,,,,,,,
,,,,,,,1639.105039,,,0.00525171,-0.00183371,0.000201384,,,,,,,,,,,,
,,,,,,,1670.382069,,,0.00540355,-0.00186243,0.000212619,,,,,,,,,,,,
,,,,,,,1705.589573,,,0.00551785,-0.00190767,0.000214056,,,,,,,,,,,,
,,,,,,,1741.099428,,,0.00564838,-0.00196022,0.000212353,,,,,,,,,,,,
,,,,,,,1783.882498,,,0.00580372,-0.00199823,0.000217507,,,,,,,,,,,,
,,,,,,,1819.369764,,,0.00593757,-0.0020531,0.000217807,,,,,,,,,,,,
,,,,,,,1856.069239,,,0.00608914,-0.00208699,0.000192621,,,,,,,,,,,,
,,,,,,,1895.600019,,,0.00622405,-0.00213724,0.000229267,,,,,,,,,,,,
