MD_Load--1,exx--1,eyy--1,exy--1,Specimen_name
0.0,0.0,0.0,0.0,TTM1S2
56.648081,0.000219657,-8.3e-05,2.72e-05,
90.390301,0.000382891,-0.000149882,4.43e-05,
131.146995,0.000540617,-0.000209295,5.13e-05,
170.820697,0.000702266,-0.000266587,4.42e-05,
205.340458,0.000847584,-0.000332219,7.07e-05,
244.494882,0.00101665,-0.000394281,6.39e-05,
280.416987,0.00116276,-0.000447253,9.71e-05,
320.421151,0.00132459,-0.000525342,9.39e-05,
356.687597,0.00147916,-0.000574372,9.29e-05,
393.553859,0.00164722,-0.000651562,0.000109295,
432.033509,0.00180303,-0.000698289,0.000117895,
467.955627,0.00196649,-0.000766372,0.000139496,
506.532476,0.00211056,-0.000849545,0.000136652,
543.720872,0.00227588,-0.000894187,0.000146356,
581.631269,0.00244888,-0.000962411,0.000169561,
614.582105,0.00259051,-0.00101309,0.000161244,
654.777908,0.00276487,-0.0010753,0.000178438,
692.296772,0.00293559,-0.00113963,0.000198614,
728.921474,0.00308529,-0.00120939,0.000197079,
771.40269,0.00327856,-0.001296,0.000195651,
809.193705,0.00344103,-0.00133993,0.000213399,
841.564188,0.0035962,-0.0014085,0.000224096,
878.472153,0.00375032,-0.00148293,0.000219533,
915.871636,0.00393422,-0.00154097,0.000240194,
951.43003,0.0041008,-0.00159193,0.000262208,
986.419161,0.00424497,-0.00165435,0.000256888,
1027.84241,0.00435614,-0.00173161,0.000223032,
1060.401749,0.00456787,-0.00176938,0.000283885,
1097.93455,0.00474876,-0.00184296,0.000296866,
1134.337152,0.00492825,-0.00186127,0.00034141,
1169.456823,0.00508171,-0.00198925,0.000308709,
1201.941204,0.00521381,-0.00205144,0.000336553,
1235.280881,0.00538587,-0.00211227,0.000343915,
1270.278383,0.00554559,-0.00217646,0.000328326,
1305.206467,0.00568985,-0.00226528,0.000342652,
1334.911172,0.00579956,-0.00228352,0.000355227,
1368.039823,0.00595137,-0.00236327,0.000382442,
1392.521149,0.00603637,-0.00240683,0.000392722,
1406.483504,0.00596552,-0.00244225,0.000472031,
1424.519603,0.00606186,-0.00250457,0.000491456,
1457.753791,0.00617702,-0.00257566,0.000502079,
1489.646731,0.00630612,-0.00264494,0.000516056,
1518.754424,0.00645488,-0.00269859,0.000522257,
1547.228984,0.0065666,-0.00275057,0.000544276,
1579.666216,0.00673951,-0.00284188,0.000543474,
1610.789969,0.00687489,-0.00288253,0.000554057,
1640.230911,0.00702226,-0.00295621,0.00056741,
1672.707037,0.0071618,-0.00301043,0.000565236,
1703.114359,0.00733403,-0.00307859,0.000579653,
1731.502862,0.00745553,-0.00312314,0.000580973,
1766.586537,0.00760247,-0.00319342,0.000602609,
1792.842371,0.00775426,-0.00327001,0.000611698,
1825.204671,0.007886,-0.00333574,0.0006076,
1852.674032,0.00801478,-0.00337777,0.000625238,
