MD_N_cycles--1,MD_Load--1,MD_index--1,eyy--1,exx--1,exy--1
0,-2.294028,0,0.0,0.0,-0.0
0,-1.375982,1,2.07e-05,-6.74e-06,-1.13e-05
0,-3.115438,2,9.68e-06,-1.14e-05,-1.9e-05
0,-1.34377,3,-1.71e-06,-1.52e-05,-1.11e-05
0,16.614498,4,-3.4e-05,8.22e-05,-9.2e-06
0,40.419271,5,-7.31e-05,0.00020617,-1.42e-05
0,63.837498,6,-0.000156046,0.000350932,-1.89e-06
0,88.06103,7,-0.000186029,0.000491096,-1.16e-05
0,114.491095,8,-0.000213422,0.000646127,2.94e-05
0,139.970902,9,-0.000275039,0.000765312,2.58e-05
0,162.873738,10,-0.000303921,0.000911743,1.23e-05
0,184.987378,11,-0.000367629,0.00104787,2.57e-05
0,204.443516,12,-0.000431144,0.00118969,2.89e-05
0,233.337815,13,-0.000490645,0.00132223,2.83e-05
0,254.517305,14,-0.00051553,0.00144347,3.17e-05
0,281.978165,15,-0.000574579,0.00159687,6.24e-05
0,301.402095,16,-0.000630471,0.00173724,5.58e-05
0,322.195041,17,-0.00069082,0.00186697,5.5e-05
0,347.014508,18,-0.00068559,0.00200594,5.5e-05
0,374.104934,19,-0.000766111,0.00215745,8.05e-05
0,394.736823,20,-0.0007928,0.00227205,6.53e-05
0,422.294328,21,-0.000835861,0.00240581,0.000100528
1,477.924738,22,-0.000948602,0.00263421,0.000106572
1,483.771246,23,-0.000976158,0.00271966,9.51e-05
1,477.441555,24,-0.000990674,0.00273805,0.000103533
1,464.943234,25,-0.000976786,0.00269896,9.51e-05
1,437.450151,26,-0.000939617,0.00260251,9.8e-05
1,415.481455,27,-0.000894847,0.00247125,0.000106791
1,403.385788,28,-0.000856899,0.00233261,9e-05
1,399.778026,29,-0.000854791,0.00229837,7.7e-05
1,419.49187,30,-0.0008637,0.00233705,8.88e-05
1,440.365352,31,-0.000884728,0.00244167,9.83e-05
100,593.534223,32,-0.00110424,0.00308316,0.000107322
100,635.458374,33,-0.0012798,0.00355694,0.000131639
100,596.787653,34,-0.00130052,0.00360931,0.000132351
100,481.242591,35,-0.00115201,0.00319229,0.000102514
100,358.176021,36,-0.000905037,0.00250771,9.91e-05
100,246.174357,37,-0.000666307,0.00179457,4.46e-05
100,206.923851,38,-0.000492525,0.00133542,1.07e-05
100,247.865495,39,-0.000485412,0.00130274,1.23e-05
100,362.089799,40,-0.000635417,0.00172219,4.6e-05
100,489.215102,41,-0.000868082,0.00238887,8.59e-05
