Machine_Time,Machine_Displacement,Machine_Load,Crack_length,Crack_Displacement,Crack_Load
17:25:46,0.0,0.22604,82.5491,19.25833,595.37133
17:25:47,0.00833,0.39779,84.42215,26.375,792.1341
17:25:47,0.01667,0.56954,86.31621,28.75833,850.62114
17:25:48,0.025,0.74129,88.19126,33.54167,958.89952
17:25:48,0.03333,0.91304,89.87131,35.675,1003.102
17:25:49,0.04167,1.08478,91.66336,37.91667,1045.69362
17:25:49,0.05,1.25653,93.30441,39.75833,1074.68819
17:25:50,0.05833,1.42828,95.03646,40.35833,1080.51162
17:25:50,0.06667,1.60003,96.73551,40.9,1081.31771
17:25:51,0.075,1.77178,98.48056,41.075,1076.32238
17:25:51,0.08333,1.94352,100.28162,41.18333,1064.91124
17:25:52,0.09167,2.10543,101.97366,41.29167,1044.38971
17:25:52,0.1,2.21181,103.71971,41.5,1016.41324
17:25:53,0.10833,2.3979,105.63077,41.875,1001.20457
17:25:53,0.11667,2.54676,107.57883,42.44167,991.25419
17:25:54,0.125,2.63724,109.34288,42.95833,975.07114
17:25:54,0.13333,2.80295,111.00893,43.25,954.8859
17:25:55,0.14167,2.9599,112.80098,43.48333,934.76229
17:25:55,0.15,3.23952,114.80104,43.68333,913.01067
17:25:56,0.15833,3.37648,116.52009,43.96667,893.84019
17:25:56,0.16667,3.50838,118.33314,44.41667,886.2939
17:25:57,0.175,3.6481,119.98919,45.35,885.61295
17:25:57,0.18333,3.76743,121.77924,46.45833,890.3639
17:25:58,0.19167,3.8879,123.7003,47.85833,894.51067
17:25:58,0.2,4.00152,125.58035,48.49167,889.67771
17:25:59,0.20833,4.12981,127.2834,49.25833,887.50638
17:25:59,0.21667,4.24238,129.11445,50.25833,889.19905
17:26:00,0.225,4.37048,130.8055,50.74167,882.05133
17:26:00,0.23333,4.49057,132.52955,51.00833,864.67171
17:26:01,0.24167,4.58952,133.95359,51.225,840.1859
17:26:01,0.25,4.74695,135.65564,51.38333,827.37848
17:26:02,0.25833,4.89429,137.46069,51.575,814.09143
17:26:02,0.26667,5.05552,139.19074,52.04167,797.31676
17:26:03,0.275,5.23562,140.80379,52.69167,785.40962
17:26:03,0.28333,5.3319,,,
17:26:04,0.29167,5.52933,,,
17:26:04,0.3,5.76343,,,
17:26:05,0.30833,5.90876,,,
17:26:05,0.31667,6.21105,,,
17:26:06,0.325,6.26019,,,
17:26:06,0.33333,6.43276,,,
17:26:07,0.34167,6.51067,,,
17:26:07,0.35,6.70648,,,
17:26:08,0.35833,6.91629,,,
17:26:08,0.36667,7.14029,,,
17:26:09,0.375,7.36133,,,
17:26:09,0.38333,7.57324,,,
17:26:10,0.39167,7.68933,,,
17:26:10,0.4,7.90324,,,
17:26:11,0.40833,8.134,,,
17:26:11,0.41667,8.37648,,,
17:26:12,0.425,8.57495,,,
17:26:12,0.43333,8.79181,,,
17:26:13,0.44167,9.01267,,,
17:26:13,0.45,9.2561,,,
17:26:14,0.45833,9.56276,,,
17:26:14,0.46667,9.91105,,,
17:26:15,0.475,10.16086,,,
17:26:15,0.48333,10.43086,,,
17:26:16,0.49167,10.55257,,,
17:26:16,0.5,10.84257,,,
17:26:17,0.50833,11.09829,,,
17:26:17,0.51667,11.47829,,,
17:26:18,0.525,11.84829,,,
17:26:18,0.53333,12.10638,,,
17:26:19,0.54167,12.33905,,,
17:26:19,0.55,12.58505,,,
17:26:20,0.55833,12.85495,,,
17:26:20,0.56667,13.19905,,,
17:26:21,0.575,13.44562,,,
17:26:21,0.58333,13.66419,,,
17:26:22,0.59167,13.92086,,,
17:26:22,0.6,14.14848,,,
17:26:23,0.60833,14.41181,,,
17:26:23,0.61667,14.66895,,,
17:26:24,0.625,14.96648,,,
17:26:24,0.63333,15.04419,,,
17:26:25,0.64167,15.19819,,,
17:26:25,0.65,15.42724,,,
17:26:26,0.65833,15.64448,,,
17:26:26,0.66667,15.88467,,,
17:26:27,0.675,16.10305,,,
17:26:27,0.68333,16.35714,,,
17:26:28,0.69167,16.58752,,,
17:26:28,0.7,16.70067,,,
17:26:29,0.70833,16.92924,,,
17:26:29,0.71667,17.21352,,,
17:26:30,0.725,17.4599,,,
17:26:30,0.73333,17.69343,,,
17:26:31,0.74167,17.9479,,,
17:26:31,0.75,18.20495,,,
17:26:32,0.75833,18.46524,,,
17:26:32,0.76667,18.71771,,,
17:26:33,0.775,18.96571,,,
17:26:33,0.78333,19.21429,,,
17:26:34,0.79167,19.44505,,,
17:26:34,0.8,19.61295,,,
17:26:35,0.80833,19.93562,,,
17:26:35,0.81667,20.17219,,,
17:26:36,0.825,20.43581,,,
17:26:36,0.83333,20.68819,,,
17:26:37,0.84167,20.92438,,,
17:26:37,0.85,21.0901,,,
17:26:38,0.85833,21.32352,,,
17:26:38,0.86667,21.63181,,,
17:26:39,0.875,21.80467,,,
17:26:39,0.88333,21.98238,,,
17:26:40,0.89167,22.24657,,,
17:26:40,0.9,22.48924,,,
17:26:41,0.90833,22.74067,,,
17:26:41,0.91667,22.99838,,,
17:26:42,0.925,23.23943,,,
17:26:42,0.93333,23.50524,,,
17:26:43,0.94167,23.76467,,,
17:26:43,0.95,24.03076,,,
17:26:44,0.95833,24.28352,,,
17:26:44,0.96667,24.54505,,,
17:26:45,0.975,24.81371,,,
17:26:45,0.98333,25.08495,,,
17:26:46,0.99167,25.31238,,,
17:26:46,1.0,25.53219,,,
17:26:47,1.00833,25.80419,,,
17:26:47,1.01667,26.07981,,,
17:26:48,1.025,26.39029,,,
17:26:48,1.03333,26.65886,,,
17:26:49,1.04167,26.84381,,,
17:26:49,1.05,27.18229,,,
17:26:50,1.05833,27.41162,,,
17:26:50,1.06667,27.68705,,,
17:26:51,1.075,28.01667,,,
17:26:51,1.08333,28.3319,,,
17:26:52,1.09167,28.5841,,,
17:26:52,1.1,28.85924,,,
17:26:53,1.10833,29.10171,,,
17:26:53,1.11667,29.34171,,,
17:26:54,1.125,29.60305,,,
17:26:54,1.13333,29.86143,,,
17:26:55,1.14167,30.11924,,,
17:26:55,1.15,30.35571,,,
17:26:56,1.15833,30.6039,,,
17:26:56,1.16667,30.87667,,,
17:26:57,1.175,31.15105,,,
17:26:57,1.18333,31.36914,,,
17:26:58,1.19167,31.60124,,,
17:26:58,1.2,31.85057,,,
17:26:59,1.20833,32.11143,,,
17:26:59,1.21667,32.34695,,,
17:27:00,1.225,32.56267,,,
17:27:00,1.23333,32.89933,,,
17:27:01,1.24167,33.10971,,,
17:27:01,1.25,33.27562,,,
17:27:02,1.25833,33.35886,,,
17:27:02,1.26667,33.61171,,,
17:27:03,1.275,33.86133,,,
17:27:03,1.28333,34.10467,,,
17:27:04,1.29167,34.35114,,,
17:27:04,1.3,34.59952,,,
17:27:05,1.30833,34.86114,,,
17:27:05,1.31667,35.12143,,,
17:27:06,1.325,35.38648,,,
17:27:06,1.33333,35.62838,,,
17:27:07,1.34167,35.88048,,,
17:27:07,1.35,36.12686,,,
17:27:08,1.35833,36.42952,,,
17:27:08,1.36667,36.74505,,,
17:27:09,1.375,36.95657,,,
17:27:09,1.38333,37.26562,,,
17:27:10,1.39167,37.56533,,,
17:27:10,1.4,37.82219,,,
17:27:11,1.40833,38.06971,,,
17:27:11,1.41667,38.28048,,,
17:27:12,1.425,38.52371,,,
17:27:12,1.43333,38.85705,,,
17:27:13,1.44167,39.05724,,,
17:27:13,1.45,39.27581,,,
17:27:14,1.45833,39.53857,,,
17:27:14,1.46667,39.78257,,,
17:27:15,1.475,40.04381,,,
17:27:15,1.48333,40.298,,,
17:27:16,1.49167,40.54114,,,
17:27:16,1.5,40.78495,,,
17:27:17,1.50833,41.05352,,,
17:27:17,1.51667,41.326,,,
17:27:18,1.525,41.59438,,,
17:27:18,1.53333,41.84905,,,
17:27:19,1.54167,42.06219,,,
17:27:19,1.55,42.38619,,,
17:27:20,1.55833,42.56124,,,
17:27:20,1.56667,42.78838,,,
17:27:21,1.575,43.08705,,,
17:27:21,1.58333,43.45038,,,
17:27:22,1.59167,43.73029,,,
17:27:22,1.6,43.99314,,,
17:27:23,1.60833,44.27867,,,
17:27:23,1.61667,44.57562,,,
17:27:24,1.625,44.858,,,
17:27:24,1.63333,45.11829,,,
17:27:25,1.64167,45.3921,,,
17:27:25,1.65,45.62476,,,
17:27:26,1.65833,45.88229,,,
17:27:26,1.66667,46.14333,,,
17:27:27,1.675,46.40752,,,
17:27:27,1.68333,46.66124,,,
17:27:28,1.69167,46.91086,,,
17:27:28,1.7,47.1821,,,
17:27:29,1.70833,47.44638,,,
17:27:29,1.71667,47.72543,,,
17:27:30,1.725,48.028,,,
17:27:30,1.73333,48.34438,,,
17:27:31,1.74167,48.62686,,,
17:27:31,1.75,48.88095,,,
17:27:32,1.75833,49.08867,,,
17:27:32,1.76667,49.37867,,,
17:27:33,1.775,49.66752,,,
17:27:33,1.78333,49.95067,,,
17:27:34,1.79167,50.22962,,,
17:27:34,1.8,50.5781,,,
17:27:35,1.80833,50.89152,,,
17:27:35,1.81667,51.12867,,,
17:27:36,1.825,51.40981,,,
17:27:36,1.83333,51.67267,,,
17:27:37,1.84167,51.94905,,,
17:27:37,1.85,52.2221,,,
17:27:38,1.85833,52.5,,,
17:27:38,1.86667,52.76943,,,
17:27:39,1.875,53.0199,,,
17:27:39,1.88333,53.28257,,,
17:27:40,1.89167,53.54829,,,
17:27:40,1.9,53.78333,,,
17:27:41,1.90833,54.03143,,,
17:27:41,1.91667,54.25705,,,
17:27:42,1.925,54.56124,,,
17:27:42,1.93333,54.80162,,,
17:27:43,1.94167,55.04619,,,
17:27:43,1.95,55.3601,,,
17:27:44,1.95833,55.61029,,,
17:27:44,1.96667,55.902,,,
17:27:45,1.975,56.10543,,,
17:27:45,1.98333,56.33571,,,
17:27:46,1.99167,56.64248,,,
17:27:46,2.0,57.02429,,,
17:27:47,2.00833,57.30295,,,
17:27:47,2.01667,57.58181,,,
17:27:48,2.025,57.8639,,,
17:27:48,2.03333,58.14419,,,
17:27:49,2.04167,58.41905,,,
17:27:49,2.05,58.68971,,,
17:27:50,2.05833,58.97038,,,
17:27:50,2.06667,59.24581,,,
17:27:51,2.075,59.53457,,,
17:27:51,2.08333,59.81019,,,
17:27:52,2.09167,60.14333,,,
17:27:52,2.1,60.40648,,,
17:27:53,2.10833,60.68457,,,
17:27:53,2.11667,60.88343,,,
17:27:54,2.125,61.15124,,,
17:27:54,2.13333,61.42686,,,
17:27:55,2.14167,61.66476,,,
17:27:55,2.15,61.94133,,,
17:27:56,2.15833,62.22819,,,
17:27:56,2.16667,62.5079,,,
17:27:57,2.175,62.68762,,,
17:27:57,2.18333,62.9459,,,
17:27:58,2.19167,63.23533,,,
17:27:58,2.2,63.52076,,,
17:27:59,2.20833,63.79248,,,
17:27:59,2.21667,64.06314,,,
17:28:00,2.225,64.34486,,,
17:28:00,2.23333,64.61933,,,
17:28:01,2.24167,64.88419,,,
17:28:01,2.25,65.14124,,,
17:28:02,2.25833,65.43324,,,
17:28:02,2.26667,65.64952,,,
17:28:03,2.275,65.89752,,,
17:28:03,2.28333,66.18638,,,
17:28:04,2.29167,66.51667,,,
17:28:04,2.3,66.72733,,,
17:28:05,2.30833,66.97743,,,
17:28:05,2.31667,67.26229,,,
17:28:06,2.325,67.49019,,,
17:28:06,2.33333,67.71562,,,
17:28:07,2.34167,67.97457,,,
17:28:07,2.35,68.18057,,,
17:28:08,2.35833,68.45505,,,
17:28:08,2.36667,68.71248,,,
17:28:09,2.375,68.96333,,,
17:28:09,2.38333,69.22771,,,
17:28:10,2.39167,69.49143,,,
17:28:10,2.4,69.75781,,,
17:28:11,2.40833,70.01095,,,
17:28:11,2.41667,70.27552,,,
17:28:12,2.425,70.54333,,,
17:28:12,2.43333,70.77733,,,
17:28:13,2.44167,71.19057,,,
17:28:13,2.45,71.39971,,,
17:28:14,2.45833,71.62752,,,
17:28:14,2.46667,71.87581,,,
17:28:15,2.475,72.12743,,,
17:28:15,2.48333,72.40619,,,
17:28:16,2.49167,73.00457,,,
17:28:16,2.5,73.26457,,,
17:28:17,2.50833,73.55943,,,
17:28:17,2.51667,73.8579,,,
17:28:18,2.525,74.09895,,,
17:28:18,2.53333,74.37114,,,
17:28:19,2.54167,74.6141,,,
17:28:19,2.55,74.876,,,
17:28:20,2.55833,75.13219,,,
17:28:20,2.56667,75.3999,,,
17:28:21,2.575,75.66162,,,
17:28:21,2.58333,75.94705,,,
17:28:22,2.59167,76.21457,,,
17:28:22,2.6,76.48848,,,
17:28:23,2.60833,76.77486,,,
17:28:23,2.61667,76.94029,,,
17:28:24,2.625,77.28524,,,
17:28:24,2.63333,77.58495,,,
17:28:25,2.64167,77.89333,,,
17:28:25,2.65,78.28095,,,
17:28:26,2.65833,78.52,,,
17:28:26,2.66667,78.42743,,,
17:28:27,2.675,78.74371,,,
17:28:27,2.68333,79.00914,,,
17:28:28,2.69167,79.24886,,,
17:28:28,2.7,79.57952,,,
17:28:29,2.70833,79.83914,,,
17:28:29,2.71667,80.12686,,,
17:28:30,2.725,80.39448,,,
17:28:30,2.73333,80.68371,,,
17:28:31,2.74167,80.95981,,,
17:28:31,2.75,81.24895,,,
17:28:32,2.75833,81.52562,,,
17:28:32,2.76667,81.79952,,,
17:28:33,2.775,82.07162,,,
17:28:33,2.78333,82.35524,,,
17:28:34,2.79167,82.62505,,,
17:28:34,2.8,82.96476,,,
17:28:35,2.80833,83.26067,,,
17:28:35,2.81667,83.53962,,,
17:28:36,2.825,83.7419,,,
17:28:36,2.83333,84.0699,,,
17:28:37,2.84167,84.38924,,,
17:28:37,2.85,84.65762,,,
17:28:38,2.85833,84.94352,,,
17:28:38,2.86667,85.25181,,,
17:28:39,2.875,85.57067,,,
17:28:39,2.88333,85.88181,,,
17:28:40,2.89167,86.15648,,,
17:28:40,2.9,86.43476,,,
17:28:41,2.90833,86.71914,,,
17:28:41,2.91667,87.00867,,,
17:28:42,2.925,87.28933,,,
17:28:42,2.93333,87.56105,,,
17:28:43,2.94167,87.8379,,,
17:28:43,2.95,88.10876,,,
17:28:44,2.95833,88.37229,,,
17:28:44,2.96667,88.54943,,,
