Machine_Time,Machine_Displacement,Machine_Load,MD_index--1,MD_Displacement--1,MD_Load--1,u--1,v--1,MD_index--2,MD_Displacement--2,MD_Load--2,u--2,v--2
0.05001216,0.000440765,0.00039583,0.0,-0.046389,-0.003483,0.0,0.0,0.0,-0.046389,-0.003483,0.0,0.0
0.10002432,0.001098523,0.000469792,1.0,0.004112,-0.015327,0.00126706,-0.000511479,1.0,0.004112,-0.015327,0.000848908,0.000101772
0.15003648,0.001946149,0.000443092,2.0,-0.035226,-0.007162,0.00200505,0.00125059,2.0,-0.035226,-0.007162,0.00178882,0.000709455
0.20004864,0.002637811,0.000446978,3.0,0.002305,-0.01756,0.00180281,0.00299174,3.0,0.002305,-0.01756,0.00201896,0.00219148
0.2500608,0.003539685,0.000531203,4.0,-0.054044,-0.008757,0.000458844,0.00223571,4.0,-0.054044,-0.008757,0.00108913,0.00141911
0.30007296,0.004305939,0.00040528,5.0,-0.025179,-0.008353,0.0016414,0.000864387,5.0,-0.025179,-0.008353,0.00324991,-2.57e-05
0.35008512,0.005201031,0.000402876,6.0,-0.016407,-0.015019,-0.00103532,0.00290174,6.0,-0.016407,-0.015019,0.00279382,0.000101075
0.40009728,0.006007971,0.000222577,7.0,0.009747,-0.00881,0.00513735,-0.000608376,7.0,0.009747,-0.00881,0.005373,-0.00619366
0.45010944,0.006835254,0.000382458,8.0,0.024579,0.001301,0.00275892,-0.00971782,8.0,0.024579,0.001301,0.00374199,-0.0131213
0.5001216,0.007710004,0.00066478,9.0,0.04042,0.017419,-0.0043411,-0.0183366,9.0,0.04042,0.017419,-0.00303792,-0.0227696
0.55001088,0.008489819,0.000751906,10.0,0.064448,0.039661,-0.000625864,-0.031939,10.0,0.064448,0.039661,-0.000617549,-0.0346992
0.60002304,0.009398474,0.000408164,11.0,0.065458,0.064348,-0.00512037,-0.0401627,11.0,0.065458,0.064348,-0.00231825,-0.042429
0.6500352,0.010144385,0.00046967,12.0,0.067213,0.0955,-0.00917545,-0.0475752,12.0,0.067213,0.0955,-0.00514187,-0.051737
