Crack_length,Load,u,Specimen_name
57.4355,661.297344,2.007166,DCB-DC_830_1
57.8299,663.649323,2.035028,
58.2243,665.432813,2.058518,
58.6187,673.146411,2.098097,
59.013,683.483228,2.15155,
59.4074,699.45662,2.226739,
59.8018,712.702758,2.290192,
60.1962,722.809209,2.34861,
60.5906,729.657073,2.415496,
60.985,730.121524,2.445487,
61.3794,733.16089,2.470446,
61.7738,735.349383,2.507736,
62.1682,736.70558,2.532247,
62.5626,740.306003,2.569155,
62.957,745.470698,2.610575,
63.3513,751.891268,2.674455,
63.7457,762.934054,2.750408,
64.1401,769.767058,2.814803,
64.5345,772.442296,2.844502,
64.9289,776.061298,2.886723,
65.3233,779.936678,2.917359,
65.7177,784.276508,2.964711,
66.1121,788.218769,3.007489,
66.5065,790.061711,3.04431,
66.9009,792.168461,3.088106,
67.2952,794.925443,3.125172,
67.6896,797.682424,3.167008,
68.084,805.407175,3.221464,
68.4784,806.648189,3.246605,
68.8728,811.288984,3.305601,
69.2672,814.332068,3.354309,
69.6616,814.001379,3.42367,
70.056,817.02217,3.47404,
70.4504,820.611448,3.529835,
70.8448,823.453889,3.574187,
71.2391,827.923768,3.63773,
71.6335,833.367136,3.712145,
72.0279,838.3572,3.760999,
72.4223,840.932117,3.817014,
72.8167,844.811214,3.862564,
73.2111,843.78199,3.897164,
73.6055,841.459734,3.943958,
73.9999,840.188995,3.996815,
74.3943,838.929404,4.0358,
74.7887,840.359914,4.088297,
75.1831,840.868952,4.140667,
75.5774,841.385422,4.180039,
75.97183,842.031938,4.232485,
76.36622,844.517681,4.298723,
76.76062,845.818145,4.358043,
77.15501,844.72204,4.398683,
77.5494,845.045298,4.451091,
77.94379,840.70175,4.498826,
78.33818,838.186282,4.547503,
78.73257,834.619296,4.589032,
79.12696,831.795433,4.616832,
79.52135,825.590365,4.659445,
79.91574,820.444246,4.701719,
80.31013,816.617168,4.75662,
80.70452,813.559222,4.818128,
81.09891,807.900349,4.873854,
81.4933,806.072269,4.915794,
81.88769,799.562522,4.952693,
82.28208,791.012907,4.982047,
82.67647,788.16675,4.998061,
83.07086,785.246282,5.01316,
83.46525,780.10388,5.049062,
83.85964,779.212134,5.110928,
84.25403,778.673371,5.16597,
84.64842,777.900524,5.212963,
85.04281,777.272586,5.25471,
85.4372,774.062301,5.323365,
85.83159,772.546333,5.364703,
86.22598,770.164628,5.419914,
86.62037,766.475029,5.475553,
87.01477,763.591717,5.519595,
87.40916,757.947709,5.582783,
87.80355,754.967791,5.618419,
88.19794,752.430031,5.639639,
88.59233,750.178373,5.660323,
88.98672,749.936858,5.700673,
89.38111,748.194238,5.74316,
89.7755,745.886846,5.799059,
90.16989,745.199459,5.813317,
90.56428,744.486062,5.834533,
90.95867,742.033761,5.901362,
91.35306,739.923296,5.958003,
91.74745,737.266637,6.011946,
92.14184,737.708794,6.068141,
92.93062,735.078144,6.088902,
93.32501,733.8297,6.16424,
93.7194,731.971896,6.21317,
94.11379,726.996698,6.345208,
94.50818,727.111882,6.440457,
94.90257,727.115597,6.508828,
95.29696,727.067295,6.563733,
95.6914,724.674444,6.606165,
96.0857,719.435438,6.656573,
96.4801,715.04359,6.699091,
96.8745,711.825875,6.754196,
97.2689,711.33913,6.788426,
97.6633,710.885826,6.837529,
98.0577,708.842242,6.892972,
98.4521,709.358712,6.954447,
98.8465,710.224448,7.027715,
99.2409,707.991368,7.116333,
99.6353,706.0704,7.164334,
100.0296,703.491769,7.205863,
100.424,701.47791,7.25472,
100.8184,698.542581,7.331791,
101.2128,695.503214,7.380863,
101.6072,690.862422,7.449913,
102.0016,690.041273,7.490736,
102.396,688.837417,7.531707,
102.7904,687.63356,7.580317,
103.1848,685.61227,7.663032,
103.5792,682.587767,7.792603,
103.9736,680.023998,7.854408,
104.3679,675.197426,7.890856,
104.7623,672.592786,7.925899,
105.1567,671.901683,7.94751,
105.5511,670.504616,7.975054,
105.9455,667.487544,8.030936,
106.3399,666.20566,8.065233,
106.7343,664.173223,8.140319,
107.1287,662.571797,8.20936,
107.5231,659.937432,8.303966,
107.9175,656.663984,8.406678,
108.3118,654.95109,8.467987,
108.7062,653.271636,8.543305,
109.1006,652.298147,8.631769,
109.495,648.118091,8.671019,
