Machine_N_cycles,Machine_Load,Machine_Displacement,MD_index--1,MD_N_cycles--1,exx--1,eyy--1,exy--1,Crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
1,4.795536133,1.424615504,,,,,,,,,,,,,
1,4.805141113,1.426912728,,,,,,,,,,,,,
1,4.805289063,1.430880628,,,,,,,,,,,,,
1,4.805827148,1.432820107,,,,,,,,,,,,,
1,4.811806641,1.4361043,,,,,,,,,,,,,
1,4.815634277,1.43896346,,,,,,,,,,,,,
1,4.821927246,1.441724133,,,,,,,,,,,,,
1,4.827706055,1.444983529,,,,,,,,,,,,,
1,4.826244629,1.448060968,,,,,,,,,,,,,
1,4.837265625,1.451095915,,,,,,,,,,,,,
1,4.85398584,1.456914935,,,,,,,,,,,,,
1,4.864829102,1.461354666,,,,,,,,,,,,,
1,4.884117676,1.466625254,,,,,,,,,,,,,
1,4.898776367,1.473283744,,,,,,,,,,,,,
1,4.92259668,1.480770065,,,,,,,,,,,,,
1,4.943078125,1.48851343,,,,,,,,,,,,,
1,4.965790039,1.497205696,,,,,,,,,,,,,
1,4.997513672,1.506246161,,,,,,,,,,,,,
1,5.027810547,1.51748769,,,,,,,,,,,,,
1,5.065705566,1.529384055,,,,,,,,,,,,,
1,5.105647461,1.542971237,,,,,,,,,,,,,
1,5.145648438,1.557691838,,,,,,,,,,,,,
1,5.188668945,1.574493479,,,,,,,,,,,,,
1,5.233325195,1.590406871,,,,,,,,,,,,,
1,5.275391113,1.608508057,,,,,,,,,,,,,
1,5.314830078,1.628579572,,,,,,,,,,,,,
1,5.352716797,1.645403798,,,,,,,,,,,,,
1,5.388515625,1.664675656,,,,,,,,,,,,,
1,5.422202148,1.6839538,,,,,,,,,,,,,
1,5.454307129,1.703653834,,,,,,,,,,,,,
1,5.483697754,1.723207999,,,,,,,,,,,,,
1,5.516192383,1.742621884,,,,,,,,,,,,,
1,5.545527344,1.762574189,,,,,,,,,,,,,
1,5.571858398,1.782042091,,,,,,,,,,,,,
1,5.598049316,1.804603264,,,,,,,,,,,,,
1,5.623446289,1.826269901,,,,,,,,,,,,,
1,5.647291504,1.845739549,,,,,,,,,,,,,
1,5.66870752,1.867254032,,,,,,,,,,,,,
1,5.69058252,1.886690734,,,,,,,,,,,,,
1,5.706715332,1.906549907,,,,,,,,,,,,,
1,5.724188965,1.925451914,,,,,,,,,,,,,
1,5.739692871,1.945093507,,,,,,,,,,,,,
1,5.750571289,1.962250797,,,,,,,,,,,,,
1,5.765353027,1.980439527,,,,,,,,,,,,,
1,5.770632813,1.99590181,,,,,,,,,,,,,
1,5.77404834,2.010870725,,,,,,,,,,,,,
1,5.780381348,2.024011221,,,,,,,,,,,,,
