Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,u--1,v--1,exx--1,eyy--1,exy--1,MD_N_cycles--1,MD_Load--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,1,2.05E-09,4.78E+00,,,,,,,,,,,,,,,,,,,,F-0.15-01
,1,-1.10E-03,4.77E+00,,,,,,,,,,,,,,,,,,,,
,1,-2.65E-03,4.75E+00,,,,,,,,,,,,,,,,,,,,
,1,-0.002896784,4.75E+00,,,,,,,,,,,,,,,,,,,,
,1,-0.001267342,4.76E+00,,,,,,,,,,,,,,,,,,,,
,1,0.00195578,4.79E+00,,,,,,,,,,,,,,,,,,,,
,1,4.92E-03,4.83E+00,,,,,,,,,,,,,,,,,,,,
,1,0.005735459,4.851654544,,,,,,,,,,,,,,,,,,,,
,1,4.45E-03,4.855344817,,,,,,,,,,,,,,,,,,,,
,1,0.00112653,4.83E+00,,,,,,,,,,,,,,,,,,,,
,1,-0.003030894,4.787957668,,,,,,,,,,,,,,,,,,,,
,1,-0.005646048,4.751662537,,,,,,,,,,,,,,,,,,,,
,1,-0.005746631,4.736553878,,,,,,,,,,,,,,,,,,,,
,1,-0.004103778,4.742357507,,,,,,,,,,,,,,,,,,,,
,1,-2.40E-03,4.753573984,,,,,,,,,,,,,,,,,,,,
,1,-0.001546739,4.760519415,,,,,,,,,,,,,,,,,,,,
,1,-0.001019237,4.768395424,,,,,,,,,,,,,,,,,,,,
,1,0.000914188,4.792029783,,,,,,,,,,,,,,,,,,,,
,1,0.003848972,4.832262918,,,,,,,,,,,,,,,,,,,,
,1,6.01E-03,4.873747006,,,,,,,,,,,,,,,,,,,,
,1,0.006412717,4.895707592,,,,,,,,,,,,,,,,,,,,
,1,0.005661698,4.897671565,,,,,,,,,,,,,,,,,,,,
,1,0.005064907,4.893881083,,,,,,,,,,,,,,,,,,,,
,1,0.004041197,4.885977134,,,,,,,,,,,,,,,,,,,,
,1,0.002396109,4.873296991,,,,,,,,,,,,,,,,,,,,
,1,5.14E-05,4.85102497,,,,,,,,,,,,,,,,,,,,
,1,-0.002465395,4.816390947,,,,,,,,,,,,,,,,,,,,
,1,-0.004734097,4.776703939,,,,,,,,,,,,,,,,,,,,
,1,-0.005619226,4.747205228,,,,,,,,,,,,,,,,,,,,
,1,-0.004490463,4.74444069,,,,,,,,,,,,,,,,,,,,
,1,-0.002443043,4.759548977,,,,,,,,,,,,,,,,,,,,
,1,-0.003209708,4.752987996,,,,,,,,,,,,,,,,,,,,
,1,-0.006848572,4.707575589,,,,,,,,,,,,,,,,,,,,
,1,-0.009879468,4.651931673,,,,,,,,,,,,,,,,,,,,
,1,-0.00964254,4.626819119,,,,,,,,,,,,,,,,,,,,
,1,-0.006432829,4.641981423,,,,,,,,,,,,,,,,,,,,
,1,-0.003053246,4.673376679,,,,,,,,,,,,,,,,,,,,
,1,-0.00181943,4.693282023,,,,,,,,,,,,,,,,,,,,
,1,-0.002445279,4.694667086,,,,,,,,,,,,,,,,,,,,
,1,-0.003379581,4.687312618,,,,,,,,,,,,,,,,,,,,
,1,-0.003819911,4.680303857,,,,,,,,,,,,,,,,,,,,
,2,-0.005561112,4.661254585,,,,,,,,,,,,,,,,,,,,
,2,-0.009436904,4.610674083,,,,,,,,,,,,,,,,,,,,
,2,-0.013207643,4.539920762,,,,,,,,,,,,,,,,,,,,
,2,-1.43E-02,4.490316659,,,,,,,,,,,,,,,,,,,,
,2,-0.012000649,4.489699006,,,,,,,,,,,,,,,,,,,,
,2,-0.007617472,4.532243684,,,,,,,,,,,,,,,,,,,,
,2,-0.003755091,4.587249458,,,,,,,,,,,,,,,,,,,,
,2,-0.002720205,4.619989544,,,,,,,,,,,,,,,,,,,,
,2,-0.00362098,4.624276236,,,,,,,,,,,,,,,,,,,,
,2,-0.003652273,4.624408484,,,,,,,,,,,,,,,,,,,,
,2,-0.002087651,4.640433565,,,,,,,,,,,,,,,,,,,,
,2,-0.000239162,4.670590907,,,,,,,,,,,,,,,,,,,,
,2,0.000820311,4.700862989,,,,,,,,,,,,,,,,,,,,
,2,0.001638385,4.726397991,,,,,,,,,,,,,,,,,,,,
,2,0.002489986,4.75237444,,,,,,,,,,,,,,,,,,,,
,2,0.002782794,4.771287739,,,,,,,,,,,,,,,,,,,,
,2,0.00094101,4.76552844,,,,,,,,,,,,,,,,,,,,
,2,-0.002767144,4.732024297,,,,,,,,,,,,,,,,,,,,
,2,-0.005751101,4.690835252,,,,,,,,,,,,,,,,,,,,
,2,-0.007324664,4.65853475,,,,,,,,,,,,,,,,,,,,
,2,-0.007224081,4.642507806,,,,,,,,,,,,,,,,,,,,
,2,-0.006607173,4.638463259,,,,,,,,,,,,,,,,,,,,
,2,-0.007695703,4.621830955,,,,,,,,,,,,,,,,,,,,
,2,-0.0097163,4.588256404,,,,,,,,,,,,,,,,,,,,
,2,-0.010695307,4.560893774,,,,,,,,,,,,,,,,,,,,
,2,-0.01079589,4.545396566,,,,,,,,,,,,,,,,,,,,
,2,-0.010078399,4.541943595,,,,,,,,,,,,,,,,,,,,
,2,-0.008243321,4.555271938,,,,,,,,,,,,,,,,,,,,
,2,-0.005809216,4.580268636,,,,,,,,,,,,,,,,,,,,
,2,-0.004740803,4.595998675,,,,,,,,,,,,,,,,,,,,
,2,-6.03E-03,4.588080198,,,,,,,,,,,,,,,,,,,,
,2,-0.008844583,4.558476806,,,,,,,,,,,,,,,,,,,,
,2,-0.012295692,4.510403052,,,,,,,,,,,,,,,,,,,,
,2,-1.54E-02,4.451419786,,,,,,,,,,,,,,,,,,,,
,2,-0.016645341,4.403610155,,,,,,,,,,,,,,,,,,,,
,2,-0.015002488,4.394219071,,,,,,,,,,,,,,,,,,,,
,2,-0.011014937,4.425459355,,,,,,,,,,,,,,,,,,,,
,2,-0.006736813,4.475622252,,,,,,,,,,,,,,,,,,,,
,2,-0.003971903,4.524998739,,,,,,,,,,,,,,,,,,,,
,2,-0.002738086,4.565343633,,,,,,,,,,,,,,,,,,,,
,3,-0.002058593,4.59763445,,,,,,,,,,,,,,,,,,,,
,3,-0.001260636,4.627362266,,,,,,,,,,,,,,,,,,,,
,3,-0.000134108,4.658202827,,,,,,,,,,,,,,,,,,,,
,3,0.001034888,4.692510143,,,,,,,,,,,,,,,,,,,,
,3,0.002203884,4.728521779,,,,,,,,,,,,,,,,,,,,
,3,0.003375115,4.760955647,,,,,,,,,,,,,,,,,,,,
,3,0.004327299,4.785762727,,,,,,,,,,,,,,,,,,,,
,3,0.004488232,4.800965264,,,,,,,,,,,,,,,,,,,,
,3,0.003354999,4.799444228,,,,,,,,,,,,,,,,,,,,
,3,0.00087619,4.778954387,,,,,,,,,,,,,,,,,,,,
,3,-0.000983475,4.758962989,,,,,,,,,,,,,,,,,,,,
,3,-0.000914184,4.757216945,,,,,,,,,,,,,,,,,,,,
,3,0.000824781,4.772307351,,,,,,,,,,,,,,,,,,,,
,3,0.003654512,4.800967127,,,,,,,,,,,,,,,,,,,,
,3,0.006598236,4.838587344,,,,,,,,,,,,,,,,,,,,
,3,0.007668885,4.870226607,,,,,,,,,,,,,,,,,,,,
,3,0.006423893,4.879548773,,,,,,,,,,,,,,,,,,,,
,3,0.003533813,4.86025475,,,,,,,,,,,,,,,,,,,,
,3,6.93E-05,4.822089896,,,,,,,,,,,,,,,,,,,,
,3,-0.00298172,4.775990918,,,,,,,,,,,,,,,,,,,,
,3,-0.005169956,4.726168886,,,,,,,,,,,,,,,,,,,,
,3,-0.00573769,4.689328,,,,,,,,,,,,,,,,,,,,
,3,-0.005071608,4.677093402,,,,,,,,,,,,,,,,,,,,
,3,-0.00458434,4.679281637,,,,,,,,,,,,,,,,,,,,
,3,-0.004975496,4.679105431,,,,,,,,,,,,,,,,,,,,
,3,-0.006249545,4.662053287,,,,,,,,,,,,,,,,,,,,
,3,-0.007921456,4.626700655,,,,,,,,,,,,,,,,,,,,
