Machine_Displacement,Machine_Load,u--#,v--#,exx--#,eyy--# ,exy--#,Th_chamber,Specimen Name
0.003902,12.765147,0.00344595,-0.00214665,-1.51E-05,3.11E-05,5.13E-05,20,S-0.25-20-001
0.005706,10.027115,0.00150832,-0.00234495,-9.03E-06,2.74E-05,5.98E-05,20,
0.005835,10.300919,-0.00147636,-0.00232623,-4.35E-05,1.36E-05,5.96E-05,20,
0.011569,11.202858,-0.000154155,-0.00264966,-3.99E-05,6.74E-06,6.19E-05,20,
0.011311,11.959844,0.00313652,-0.00398916,-2.49E-06,7.53E-05,6.62E-05,20,
0.005191,15.825301,0.00225271,-0.00576647,-2.44E-05,0.00016446,6.45E-05,20,
0.020459,20.769864,-0.00139268,-0.00765496,-2.40E-05,0.000258684,7.77E-05,20,
0.026773,21.768441,0.000831631,-0.00966157,-4.08E-06,0.000357808,6.79E-05,20,
0.025033,22.928078,0.00477685,-0.0118288,4.88E-05,0.000467147,3.83E-05,20,
0.028383,30.079173,0.00315197,-0.0141073,8.12E-05,0.000574927,2.46E-05,20,
0.023423,32.189068,0.000137855,-0.0164732,0.000107748,0.000679205,3.37E-05,20,
0.037081,34.298964,0.00191954,-0.0188485,0.000134678,0.000765906,2.17E-05,20,
0.038047,38.132209,0.00571663,-0.0215705,0.000109099,0.000866199,1.03E-05,20,
0.05164,44.445788,0.00544299,-0.0237475,0.000107623,0.000958602,6.97E-06,20,
0.046422,45.170562,0.00176157,-0.0260626,0.000119949,0.00106194,1.58E-05,20,
0.056794,51.53246,0.0024666,-0.0285367,0.000107772,0.00117847,3.55E-05,20,
0.061046,53.78731,0.00718934,-0.0309725,0.000100414,0.00129113,3.72E-05,20,
0.060402,58.45807,0.00723654,-0.0334754,7.36E-05,0.00139621,3.46E-05,20,
0.07071,60.986724,0.00338678,-0.0360331,4.45E-05,0.00147996,3.21E-05,20,
0.076701,67.010394,0.0043461,-0.0384756,-4.52E-06,0.00156333,5.97E-05,20,
0.073931,68.21835,0.00841359,-0.0409615,-1.92E-05,0.00164668,5.49E-05,20,
0.073674,71.713367,0.00957772,-0.0433047,-3.27E-05,0.00172582,4.18E-05,20,
0.098155,78.67119,0.00677562,-0.0456718,-3.96E-05,0.00180732,4.29E-05,20,
0.09532,83.55133,0.00624229,-0.0481212,-2.27E-05,0.00189337,6.84E-05,20,
0.089457,82.874875,0.00974035,-0.0503961,1.19E-06,0.00197792,7.91E-05,20,
0.097575,89.478364,0.0107479,-0.0528639,3.88E-05,0.00205586,9.05E-05,20,
0.108914,93.698155,0.00680174,-0.0554202,6.82E-05,0.00212506,8.11E-05,20,
0.109107,97.160961,0.00692151,-0.0577274,0.00012925,0.00218827,8.64E-05,20,
0.118062,99.898993,0.0103994,-0.0600673,0.000158595,0.002241,9.51E-05,20,
0.120059,104.038254,0.0105005,-0.0621546,0.000189067,0.00229631,8.78E-05,20,
0.112843,107.790968,0.00667321,-0.0643871,0.000171882,0.00234656,6.47E-05,20,
0.120639,110.174667,0.00591343,-0.0664973,0.000138724,0.00239916,4.17E-05,20,
0.134877,112.510048,0.00956271,-0.0682845,0.000181554,0.00245405,5.94E-05,20,
0.124633,117.438506,0.0112165,-0.0700706,0.000132038,0.00251861,6.96E-05,20,
0.141834,123.12395,0.0073746,-0.071869,0.000136051,0.00256729,6.76E-05,20,
0.133846,122.205903,0.00502939,-0.0740017,0.000137305,0.00262108,5.52E-05,20,
0.138678,123.526601,0.00888456,-0.0757158,0.000114378,0.00265417,6.23E-05,20,
0.154848,128.068514,0.0100151,-0.0772722,8.82E-05,0.00269137,6.00E-05,20,
0.141899,132.191669,0.00615884,-0.0790587,7.32E-05,0.00273619,4.92E-05,20,
0.158585,136.250399,0.00481535,-0.080882,1.67E-05,0.0027755,4.49E-05,20,
0.153753,137.361718,0.00741901,-0.0824638,-3.40E-05,0.00281621,4.21E-05,20,
0.157747,140.92116,0.00931879,-0.083828,-8.52E-05,0.00285783,5.90E-05,20,
0.176946,147.283059,0.0060848,-0.0854744,-0.000115956,0.00290801,6.55E-05,20,
0.161613,145.914043,0.00397617,-0.0871524,-0.000135528,0.0029607,7.22E-05,20,
0.175593,148.861454,0.00768238,-0.0885772,-0.000181271,0.00301143,9.95E-05,20,
0.167089,153.983186,0.00987268,-0.0898809,-0.000210032,0.0030457,0.000108021,20,
0.164254,153.918761,0.00630668,-0.0913736,-0.000212176,0.00307821,8.85E-05,20,
0.176817,159.620311,0.00523359,-0.0927688,-0.000234441,0.00311281,9.03E-05,20,
0.179394,160.973222,0.00841431,-0.094173,-0.000246143,0.00315219,9.14E-05,20,
0.185321,162.535511,0.010326,-0.0952417,-0.000220685,0.00319127,0.000113146,20,
0.188606,168.059894,0.00767459,-0.0967089,-0.000206726,0.00322589,0.000113528,20,
0.182035,166.239908,0.0050377,-0.0981494,-0.000154368,0.0032665,0.000111986,20,
0.194405,168.333697,0.00797036,-0.0993732,-0.000126626,0.00331467,9.31E-05,20,
0.200396,172.183049,0.0110277,-0.100644,-0.000141997,0.00336322,0.000105077,20,
0.195307,176.918235,0.00779947,-0.102104,-0.00014423,0.00340617,7.62E-05,20,
0.196402,178.351675,0.00544574,-0.103666,-0.000128298,0.00345224,5.17E-05,20,
0.204648,180.880329,0.00836059,-0.105091,-0.000148543,0.00349273,6.42E-05,20,
0.207161,183.714998,0.0104973,-0.106417,-0.000185006,0.00352243,6.33E-05,20,
0.20774,185.518878,0.00856619,-0.10768,-0.000235266,0.00355393,7.08E-05,20,
0.195564,186.404712,0.0056534,-0.109495,-0.000270342,0.00359395,8.07E-05,20,
0.216953,189.996367,0.00773064,-0.110819,-0.000289453,0.00361906,9.63E-05,20,
0.222171,189.030003,0.0104259,-0.11193,-0.000330383,0.00363639,0.000113077,20,
0.209738,193.459173,0.00767232,-0.113253,-0.000350593,0.00366274,9.03E-05,20,
0.216631,197.61454,0.00441195,-0.114859,-0.000358774,0.00369535,6.40E-05,20,
0.215214,197.131358,0.00712599,-0.11612,-0.000374804,0.00372253,3.32E-05,20,
0.219144,200.336467,0.00938368,-0.117297,-0.000380892,0.00375335,1.56E-05,20,
0.223396,203.364409,0.00668736,-0.118595,-0.000356837,0.00379106,-1.01E-05,20,
0.235185,210.402764,0.00493909,-0.120214,-0.000352204,0.00383283,-2.10E-05,20,
0.228292,207.825792,0.00725312,-0.121638,-0.000347914,0.00387186,9.62E-06,20,
0.238664,212.915311,0.00988639,-0.122829,-0.000340873,0.00390888,2.83E-05,20,
0.239373,211.578507,0.00827146,-0.124221,-0.000328636,0.00394381,3.57E-05,20,
0.229516,217.038467,0.00532299,-0.12581,-0.00032517,0.00397825,3.70E-05,20,
0.236731,215.749981,0.00821464,-0.127306,-0.000364023,0.0040115,6.74E-05,20,
0.239051,219.921454,0.0112283,-0.128621,-0.00040629,0.00403502,9.40E-05,20,
0.249938,222.385684,0.0083435,-0.129886,-0.000464439,0.00407048,0.000102998,20,
0.253868,224.640534,0.00582889,-0.131419,-0.000483411,0.00410318,0.000108025,20,
0.252451,227.136976,0.00772937,-0.132852,-0.000507359,0.00413117,0.000123881,20,
0.249681,231.566147,0.0097964,-0.134051,-0.000507367,0.00415675,0.000129706,20,
0.263532,233.418345,0.00807795,-0.135249,-0.000459102,0.00418135,0.000132384,20,
0.265593,234.416922,0.00495978,-0.136662,-0.000426553,0.00421658,0.000135395,20,
0.260246,235.190014,0.00670849,-0.137976,-0.000433352,0.00424079,0.000148935,20,
0.25535,238.556183,0.00990656,-0.139108,-0.000418462,0.00427494,0.00015783,20,
0.255865,238.217956,0.00792358,-0.140393,-0.000365769,0.00430571,0.000168677,20,
0.258442,243.484643,0.00516249,-0.141967,-0.000324338,0.0043479,0.00015657,20,
0.259538,247.752753,0.00756006,-0.143353,-0.000319741,0.00437777,0.000148071,20,
0.273582,249.218406,0.010031,-0.144527,-0.000345158,0.00440723,0.000140617,20,
0.272938,253.422091,0.00878757,-0.145683,-0.000344679,0.00443786,0.000131466,20,
0.276739,259.188067,0.00645731,-0.147206,-0.000323068,0.00446885,0.000146227,20,
0.271327,256.047382,0.00779312,-0.14853,-0.000322357,0.00450099,0.000143776,20,
0.280798,261.410705,0.0109436,-0.149685,-0.000353721,0.00453625,0.000130297,20,
0.290783,256.208443,0.00973216,-0.150899,-0.000370188,0.00457467,0.000115184,20,
0.294133,266.11368,0.00692796,-0.152366,-0.000367381,0.00461579,0.000114881,20,
0.301285,267.531014,0.00955143,-0.153793,-0.000384973,0.00464543,0.000102479,20,
0.30515,262.666979,0.0126343,-0.154975,-0.000393402,0.00466091,0.000108293,20,
0.294327,272.990974,0.0112127,-0.15606,-0.000423558,0.00467394,0.000112576,20,
0.296002,269.18994,0.00926098,-0.157528,-0.000443944,0.00470585,0.000103603,20,
0.29568,272.298413,0.0107128,-0.159006,-0.000443797,0.00473993,0.000115146,20,
0.307469,279.723315,0.0130459,-0.160311,-0.000459239,0.00477063,0.000124504,20,
0.309466,281.849317,0.01202,-0.161762,-0.000478784,0.00479574,0.00011534,20,
0.302315,279.964906,0.0083829,-0.163301,-0.000493084,0.00481764,0.000112882,20,
0.321771,283.878682,0.00970074,-0.164986,-0.000530829,0.00483923,0.000120805,20,
0.313654,289.741295,0.0123488,-0.166356,-0.000526309,0.00485785,0.00010005,20,
0.309209,287.711929,0.0100439,-0.16763,-0.000515252,0.00488672,8.52E-05,20,
