N_cycles,Load,eyy,exx,Specimen_name
0,15.65074,0,0,F2-A10-506-3
0,16.056483,-8.02E-06,-4.09E-06,
0,15.612098,-7.82E-06,-9.57E-07,
0,16.066144,-1.62E-06,-1.50E-06,
0,15.177372,-7.05E-06,-6.38E-06,
0,29.690759,-5.24E-05,0.000118338,
0,46.844698,-9.99E-05,0.000280794,
0,64.262693,-0.000167104,0.000439337,
0,81.107495,-0.000220585,0.000590215,
0,98.155169,-0.000286871,0.000732878,
0,114.491182,-0.00034518,0.000902748,
0,132.005786,-0.000411822,0.00105874,
0,148.12283,-0.000454026,0.00119603,
0,165.788788,-0.000525205,0.00136495,
0,182.11837,-0.000584751,0.00152648,
0,198.496258,-0.000634198,0.00167826,
0,215.315316,-0.000700017,0.0018299,
0,232.127938,-0.000763242,0.0019954,
0,247.816717,-0.000818038,0.00215716,
0,264.246145,-0.000867023,0.00230983,
0,281.004039,-0.000928323,0.00245682,
500,467.614835,-0.00170684,0.00446986,
500,520.075391,-0.00177138,0.00481116,
500,485.789728,-0.00166837,0.00425257,
500,357.825089,-0.00112476,0.00303898,
500,218.767361,-0.000682488,0.00181667,
500,98.155169,-0.000324091,0.000847332,
500,52.261054,-0.000240831,0.000650516,
500,91.766316,-0.000447092,0.00111652,
500,204.788511,-0.000844534,0.00224859,
500,357.345279,-0.00138417,0.00358731,
1000,471.688406,-0.00169229,0.00453984,
1000,517.879201,-0.00177642,0.00483296,
1000,483.88014,-0.00166114,0.00432155,
1000,361.557303,-0.00114062,0.003118,
1000,214.658397,-0.000681619,0.00181492,
1000,99.858648,-0.000340101,0.000947133,
1000,54.07724,-0.000253014,0.00068991,
1000,88.22733,-0.000451806,0.00115444,
1000,207.80905,-0.000858854,0.00233103,
1000,358.829792,-0.00141077,0.00362743,
2000,470.54845,-0.00170374,0.00461666,
2000,520.838584,-0.00178376,0.00492284,
2000,480.228415,-0.00167945,0.0043429,
2000,358.269477,-0.00114994,0.00317104,
2000,213.231852,-0.00069782,0.0018827,
2000,99.646116,-0.000335438,0.000998051,
2000,52.766623,-0.000232426,0.0007468,
2000,92.51984,-0.000450303,0.00124323,
2000,209.99234,-0.000869678,0.00241579,
2000,360.23702,-0.001378,0.0037139,
3000,471.688406,-0.00169737,0.00467994,
3000,520.874006,-0.00185602,0.00496657,
3000,479.610134,-0.00161215,0.00439966,
3000,352.991567,-0.00114276,0.00317035,
3000,215.019058,-0.000710566,0.00193718,
3000,93.663007,-0.000316753,0.00100569,
3000,53.626413,-0.000260127,0.000808193,
3000,93.105914,-0.00044118,0.00130156,
3000,209.924716,-0.000884029,0.00246524,
3000,362.182022,-0.00144211,0.00378922,
4000,474.00052,-0.00170552,0.00472381,
4000,518.800184,-0.00180738,0.00496345,
4000,476.193486,-0.00164693,0.00439104,
4000,355.335873,-0.00115176,0.00320382,
4000,207.754307,-0.000696274,0.00189241,
4000,96.380845,-0.000342111,0.00106399,
4000,54.070799,-0.00024485,0.000818977,
4000,91.418536,-0.000454074,0.00133979,
4000,216.249172,-0.000893515,0.00253435,
4000,360.088891,-0.00140523,0.00378632,
5000,471.975005,-0.00170703,0.00473498,
5000,522.09125,-0.00183302,0.00504127,
5000,476.380258,-0.0016143,0.00440469,
5000,350.083725,-0.00114104,0.00320108,
5000,210.642818,-0.000685744,0.00196908,
5000,93.144556,-0.000320122,0.00105202,
5000,51.839209,-0.000249557,0.000862425,
5000,96.867093,-0.000460155,0.00140982,
5000,215.05126,-0.000896723,0.00254489,
5000,363.247909,-0.00142653,0.0038769,
10000,479.168964,-0.00174,0.00491721,
10000,523.736783,-0.00185337,0.00511322,
10000,463.393136,-0.00158948,0.00438183,
10000,342.165252,-0.00114651,0.00325601,
10000,200.853438,-0.00067734,0.00194712,
10000,85.602877,-0.000324232,0.00110663,
10000,56.199343,-0.000290604,0.001002,
10000,103.301029,-0.000500761,0.00156592,
10000,222.885987,-0.000951677,0.00273299,
10000,375.66501,-0.00148213,0.00406126,
15000,486.543258,-0.00183204,0.00501712,
15000,519.582698,-0.00184024,0.0051166,
15000,460.076317,-0.00159063,0.00439405,
15000,329.271573,-0.00112259,0.00315825,
15000,191.93995,-0.000673215,0.00195127,
15000,82.195918,-0.00033491,0.00112007,
15000,52.963055,-0.000310771,0.00104544,
15000,111.54471,-0.000553239,0.00171463,
15000,237.322108,-0.00102024,0.00290138,
15000,381.087833,-0.00150196,0.0041541,
20000,490.455821,-0.00178091,0.00509623,
20000,517.405829,-0.00188892,0.00513662,
20000,451.987144,-0.0015197,0.00437639,
20000,317.630556,-0.00108688,0.00308897,
20000,183.026464,-0.000623628,0.00194631,
20000,77.468682,-0.000307675,0.00113563,
20000,53.797083,-0.000310139,0.00110793,
20000,121.533734,-0.000579475,0.00185816,
20000,247.69757,-0.00104436,0.00303443,
20000,389.949835,-0.00151236,0.00428358,
25000,497.144212,-0.00186911,0.00517112,
25000,516.855171,-0.00184367,0.00513748,
25000,440.861315,-0.00157361,0.00428238,
25000,309.828017,-0.00104821,0.00305811,
25000,171.494964,-0.000649722,0.0018646,
25000,75.848928,-0.000347415,0.00116221,
25000,56.096297,-0.000349335,0.00117738,
25000,129.864361,-0.00065169,0.00195526,
25000,260.555803,-0.00110495,0.00318366,
25000,399.945352,-0.00158584,0.00438703,
30000,501.713701,-0.00188562,0.00523518,
30000,511.145721,-0.00182032,0.00515083,
30000,434.491739,-0.00156303,0.00426062,
30000,295.414415,-0.00101909,0.00299768,
30000,164.867814,-0.000633115,0.00186363,
30000,68.993149,-0.000331598,0.00117926,
30000,58.936503,-0.00037195,0.00126346,
30000,137.644336,-0.000690187,0.00209993,
30000,269.540145,-0.00112917,0.00332874,
30000,407.023365,-0.00165297,0.0045138,
35000,509.013936,-0.00190281,0.00529743,
35000,506.521487,-0.00183833,0.00508268,
35000,423.282192,-0.00147439,0.00418602,
35000,288.204396,-0.00101584,0.00292725,
35000,153.152766,-0.00057422,0.00178883,
35000,63.483408,-0.000328565,0.0011602,
35000,65.560429,-0.000398129,0.00133592,
35000,144.899421,-0.000726485,0.00218344,
35000,283.174451,-0.00122151,0.00345753,
35000,415.582675,-0.0016575,0.00459588,
40000,511.641635,-0.00192825,0.00534957,
40000,505.916086,-0.00179022,0.00509534,
40000,412.162815,-0.00149985,0.00409451,
40000,278.279754,-0.000969433,0.00288949,
40000,144.8801,-0.000559207,0.00174291,
40000,59.416311,-0.000324256,0.00117007,
40000,68.938405,-0.000410086,0.00141566,
40000,155.915688,-0.000782149,0.00230774,
40000,292.461495,-0.00123646,0.00358491,
40000,426.402574,-0.00169151,0.00471239,
45000,515.309465,-0.00190606,0.00540527,
45000,500.506119,-0.00187829,0.00504568,
45000,401.79697,-0.00138454,0.0040442,
45000,264.278347,-0.000960401,0.00280203,
45000,138.0533,-0.00053511,0.00172822,
