N_cycles,Load,eyy,exx,Specimen_name
0,-6.742135,0,0,T1-FC-11-B6
0,-6.563414,7.70E-06,9.40E-06,
0,-7.263805,7.66E-06,1.24E-05,
0,-7.911063,-1.58E-07,1.05E-05,
0,-7.833778,-1.45E-05,4.53E-06,
0,-7.572943,-1.14E-05,-7.70E-06,
0,-8.572812,1.11E-05,8.68E-06,
0,-8.582472,9.40E-06,5.68E-06,
0,-6.945007,1.83E-05,5.37E-06,
0,-4.481563,3.40E-07,3.27E-05,
1,635.092349,-0.00170465,0.00451945,
1,645.617601,-0.00173042,0.00457898,
1,648.853911,-0.00173853,0.00461324,
1,650.597655,-0.00174184,0.00460518,
1,646.346978,-0.00173265,0.00457858,
1,635.382168,-0.00169878,0.00449883,
1,618.031689,-0.00165469,0.00437827,
1,602.231746,-0.00161089,0.00427687,
1,580.292488,-0.0015549,0.00411701,
1,560.768393,-0.00151738,0.00400669,
1,547.861821,-0.0014752,0.00391395,
1,530.670774,-0.00143972,0.00380852,
1,523.652346,-0.00143306,0.00378368,
1,527.362017,-0.00143949,0.00381374,
1,532.414513,-0.00146566,0.0038698,
1,548.740936,-0.00150946,0.00399518,
1,569.4243,-0.00156827,0.0041427,
1,599.01959,-0.00164027,0.00434874,
1,624.866579,-0.00171131,0.00453006,
2,652.032258,-0.00178513,0.00471033,
2,676.154855,-0.00184497,0.00487526,
2,690.940459,-0.00187914,0.00495359,
2,698.495079,-0.00189267,0.0050047,
2,698.635158,-0.00188553,0.00499353,
2,687.138998,-0.00185026,0.00488478,
2,663.992118,-0.00179889,0.00472323,
2,636.212981,-0.00171847,0.00452423,
2,601.999891,-0.00162139,0.00428432,
2,566.487474,-0.00153636,0.00405531,
2,535.428621,-0.00146376,0.00385414,
2,504.437412,-0.00137596,0.00363847,
2,482.372608,-0.00133754,0.00353837,
2,478.17991,-0.00131526,0.00351116,
2,476.020767,-0.00132981,0.00352384,
2,489.164007,-0.00138771,0.00366297,
2,521.015002,-0.00145765,0.00385875,
2,553.204137,-0.00155007,0.0040978,
2,594.928319,-0.00166386,0.00440467,
2,642.139775,-0.00178813,0.00470671,
3,680.961021,-0.00188291,0.00496202,
3,714.45929,-0.00196895,0.00519964,
3,740.026193,-0.00202201,0.00533124,
3,746.440866,-0.00204218,0.00537452,
3,748.015553,-0.00204056,0.00535068,
3,729.022714,-0.00197415,0.00519616,
3,693.099612,-0.0018741,0.00494293,
3,652.800278,-0.00176748,0.00465566,
3,603.927184,-0.00163195,0.00430218,
3,549.513785,-0.00151259,0.00396432,
3,506.243944,-0.00138745,0.00365633,
3,464.215522,-0.00128996,0.00340565,
3,433.760512,-0.0012309,0.00323801,
3,426.259066,-0.00121422,0.00321412,
3,429.94458,-0.00122767,0.00324722,
3,450.362234,-0.00130018,0.00343851,
3,489.386201,-0.0014081,0.00371718,
3,538.355785,-0.00153571,0.00406155,
3,595.445162,-0.00168636,0.00445353,
3,656.992991,-0.00185125,0.00487066,
4,709.063821,-0.00197556,0.00520267,
4,753.512465,-0.0021021,0.00550744,
4,789.638501,-0.00218784,0.00575055,
4,802.313296,-0.00218905,0.00576108,
4,788.063813,-0.00215097,0.00565429,
4,764.327569,-0.00208603,0.00548046,
4,729.128981,-0.00197037,0.0051841,
4,668.508464,-0.00181345,0.00474995,
4,601.854982,-0.00163699,0.00430185,
4,535.766743,-0.00147273,0.00387652,
4,476.334736,-0.00131391,0.00346357,
4,423.621726,-0.00119297,0.00314685,
4,390.152633,-0.00111269,0.00295095,
4,377.236436,-0.00109287,0.00290297,
4,381.849363,-0.00112484,0.0029741,
4,409.705653,-0.00120982,0.00320592,
4,461.351157,-0.00135258,0.00356526,
4,522.444771,-0.00152022,0.00401505,
4,596.19386,-0.00170843,0.00450811,
4,669.947898,-0.00190006,0.00501547,
5,738.992504,-0.00207436,0.00546555,
5,797.347713,-0.00223448,0.00587523,
5,837.004775,-0.00230394,0.00606874,
5,846.810366,-0.00232665,0.00611419,
5,840.241102,-0.00230501,0.00605639,
5,809.046782,-0.0021977,0.00577979,
5,746.667892,-0.00202703,0.00534241,
5,687.110016,-0.00186825,0.00490636,
5,602.062685,-0.00163067,0.00428903,
5,517.556506,-0.0014297,0.00375909,
5,449.980641,-0.00124495,0.00330402,
5,384.12443,-0.00108604,0.00289081,
5,343.545169,-0.000999805,0.00266547,
5,323.156525,-0.000968762,0.00257855,
5,334.865142,-0.00101429,0.00270687,
5,374.149881,-0.00111526,0.00297355,
5,425.587656,-0.00127759,0.00338843,
5,508.504524,-0.00150103,0.00398079,
5,594.527404,-0.00171852,0.0045528,
5,684.680366,-0.00196187,0.00518212,
6,769.805162,-0.00217025,0.00571432,
6,837.850084,-0.00233798,0.00616876,
6,874.372304,-0.00242278,0.00637262,
6,892.191453,-0.00247237,0.00650822,
6,892.925666,-0.00243751,0.00642993,
6,852.920748,-0.00232984,0.00610695,
6,782.63452,-0.00211157,0.00555113,
6,695.012418,-0.00188798,0.00498196,
6,605.047816,-0.00163326,0.00431901,
6,503.514824,-0.00138894,0.00366886,
6,418.709318,-0.00117254,0.00310122,
6,345.762272,-0.00100002,0.00266105,
6,293.580681,-0.000886233,0.00235586,
6,276.727815,-0.000860107,0.00229237,
6,288.513711,-0.000908452,0.0024131,
6,326.953131,-0.00102471,0.00273942,
6,399.991936,-0.00121802,0.00325006,
6,490.806308,-0.00147692,0.00389942,
6,595.643205,-0.00175581,0.00462709,
6,702.88101,-0.00203124,0.00534316,
7,795.85514,-0.00227175,0.00599451,
7,875.357694,-0.00244718,0.00644604,
7,916.777937,-0.00256595,0.00676144,
7,949.658165,-0.00263291,0.00692339,
7,936.369853,-0.00256781,0.00675991,
7,886.636553,-0.00242196,0.00638221,
7,822.455796,-0.00222427,0.00585657,
7,705.822675,-0.00191767,0.00503751,
7,598.208099,-0.00164621,0.00434081,
7,497.607369,-0.00136331,0.00359637,
7,382.230956,-0.00108386,0.00286923,
7,309.950521,-0.000911144,0.00243314,
7,252.165817,-0.000773191,0.00207022,
7,225.391554,-0.000738777,0.00197488,
7,241.824179,-0.000796462,0.00213853,
7,287.692562,-0.000934693,0.00250004,
7,369.087737,-0.00116756,0.00310276,
7,478.759546,-0.00146593,0.00386564,
7,594.966962,-0.00176872,0.00466452,
7,714.290229,-0.00208241,0.00549305,
8,831.034476,-0.00238344,0.00627801,
8,906.455475,-0.00254874,0.00671301,
8,965.545218,-0.00272792,0.0071708,
8,1001.077378,-0.0027691,0.00730163,
8,981.490245,-0.00270455,0.00711005,
8,930.051748,-0.00255138,0.00670495,
8,850.491086,-0.00231615,0.00609474,
8,722.617705,-0.00194373,0.00513139,
8,595.889551,-0.00165285,0.00434339,
8,484.304727,-0.00133132,0.0035156,
8,351.384727,-0.00101032,0.00267401,
8,268.931735,-0.000818453,0.00218807,
8,211.726683,-0.000677165,0.00180705,
8,175.383636,-0.000617845,0.00165488,
8,193.545498,-0.000695343,0.00185805,
8,248.586576,-0.000849262,0.00225966,
8,337.116056,-0.00111466,0.00295172,
8,462.152986,-0.00144199,0.00381418,
8,592.962384,-0.00179087,0.00469827,
8,730.331732,-0.00214476,0.0056553,
9,862.364068,-0.00246752,0.00650263,
9,940.287272,-0.00266839,0.00703108,
9,1015.964575,-0.00287646,0.0075687,
9,1049.63711,-0.00291612,0.00766087,
9,1025.490068,-0.00284572,0.00746599,
9,972.583055,-0.00267427,0.00702344,
9,875.140329,-0.00238828,0.00627833,
