MD_Load--1,exx--1,eyy--1,exy--1,Specimen_name
0,0,0,0,BBM1S1
19.503419,8.21E-05,-4.15E-05,7.29E-06,
66.052789,0.000230574,-8.58E-05,1.45E-05,
109.92912,0.000381236,-0.000121765,1.72E-05,
153.740464,0.000529391,-0.000167045,2.42E-05,
195.791446,0.000684788,-0.000210576,3.51E-05,
244.522213,0.00086167,-0.0002377,5.20E-05,
285.818758,0.000983663,-0.000303402,2.79E-05,
330.090693,0.00114681,-0.000326259,6.87E-05,
373.223903,0.00129073,-0.000368222,4.76E-05,
421.787975,0.00148205,-0.000421476,8.28E-05,
468.755572,0.0016443,-0.000448591,9.03E-05,
513.171632,0.00180884,-0.000511853,7.61E-05,
558.477769,0.00197396,-0.0005465,9.26E-05,
603.134017,0.00212455,-0.000596549,0.000101943,
648.067183,0.00228828,-0.000627213,0.000123568,
693.893253,0.00246126,-0.000656031,0.000142097,
751.047283,0.00265412,-0.000734888,0.000132936,
791.470761,0.00281566,-0.000789494,0.000133246,
836.098783,0.00299374,-0.000804722,0.000128294,
880.995248,0.00315578,-0.000867577,0.000145964,
927.524935,0.00332173,-0.000896133,0.000154551,
970.098743,0.00348152,-0.000944114,0.000167653,
968.044508,0.0032981,-0.00103126,0.000269706,
1011.220183,0.00343401,-0.00110079,0.000282242,
1048.17947,0.00358274,-0.00112826,0.00030097,
1090.815462,0.00371308,-0.00120532,0.000265888,
1130.286751,0.00386039,-0.00122887,0.000291081,
1174.618138,0.00401222,-0.00128923,0.000293368,
1217.545193,0.00419785,-0.00130675,0.000325221,
1254.871844,0.00432767,-0.00135312,0.000325768,
1298.663559,0.00449503,-0.00138775,0.00033894,
1337.798632,0.00461115,-0.00143035,0.000335697,
1378.778854,0.00476567,-0.00147891,0.000346526,
1418.23889,0.00493096,-0.00153265,0.000355345,
1456.845591,0.00508605,-0.00156184,0.000377861,
1498.998478,0.005257,-0.0016012,0.000397951,
1539.054748,0.00541821,-0.00164723,0.000408357,
1580.984426,0.00558428,-0.00170085,0.000419229,
1619.370759,0.00574526,-0.00175052,0.000425588,
1655.581356,0.00587632,-0.00177689,0.000452311,
1695.954132,0.00604897,-0.0018244,0.000444947,
1734.552413,0.00619967,-0.00190005,0.000475907,
1771.025818,0.00636669,-0.00190204,0.000463447,
1810.703512,0.00650911,-0.00197678,0.00046163,
1846.332066,0.00666165,-0.00200541,0.000485936,
1879.818788,0.00682014,-0.00202286,0.000487251,
1917.685269,0.00696748,-0.0020753,0.000509186,
1951.901023,0.00712126,-0.00209922,0.000489267,
1987.738705,0.00725458,-0.00222359,0.000489197,
2021.553232,0.0073954,-0.00229287,0.000527148,
2054.669831,0.0075629,-0.00229713,0.00055594,
2092.154891,0.00774332,-0.00229809,0.000539496,
2125.859241,0.00790414,-0.00241589,0.000537141,
2156.607968,0.0080322,-0.0024659,0.00055367,
2190.213435,0.00819543,-0.00249903,0.000554336,
2219.687806,0.00834235,-0.00254304,0.000572307,
2253.688879,0.0085052,-0.00259469,0.000577718,
2283.773605,0.00865149,-0.00264316,0.000576473,
2315.095974,0.00884294,-0.0026818,0.000599358,
2347.090855,0.00900474,-0.00273221,0.00060843,
2379.195944,0.00916437,-0.00278305,0.000614465,
2408.2126,0.00931944,-0.00283523,0.000626622,
2435.132625,0.0094595,-0.00284818,0.000622672,
2465.344545,0.00963279,-0.00289978,0.000658795,
2492.097868,0.00979465,-0.00293544,0.000671335,
2523.228141,0.00996031,-0.00303655,0.000629253,
2547.859406,0.0101184,-0.00308201,0.000639272,
2575.056374,0.0102917,-0.00311503,0.000667979,
2603.143431,0.010478,-0.00314815,0.000661894,
2627.884913,0.0106131,-0.00322634,0.000645619,
2653.307383,0.010786,-0.00324888,0.000691686,
2678.49533,0.0109546,-0.00330165,0.000684155,
2703.844343,0.0111158,-0.00333948,0.000686386,
2727.79466,0.0112755,-0.00339345,0.000693123,
2753.813366,0.0114526,-0.00343688,0.000697199,
2776.54018,0.0116021,-0.00348459,0.000696784,
2799.29808,0.0117784,-0.00352228,0.000712679,
2824.762973,0.0119555,-0.00357385,0.00071509,
2750.82664,0.0120514,-0.00324416,0.00086741,
2773.135255,0.0121819,-0.00328538,0.000868219,
2797.893725,0.0123172,-0.00330753,0.000867082,
2822.929116,0.0124883,-0.00334463,0.000888723,
2846.854025,0.0126398,-0.00338293,0.000881688,
2870.117734,0.0128084,-0.00341363,0.000892839,
2892.454628,0.0129528,-0.00344964,0.0009121,
2916.082857,0.0131252,-0.00346215,0.000905541,
2938.433889,0.0132838,-0.00350424,0.000895503,
2960.793402,0.0134567,-0.0035607,0.000890619,
2983.127489,0.0136423,-0.00357499,0.000898695,
3002.893046,0.0137896,-0.00363368,0.000909941,
3023.30286,0.0139624,-0.00368385,0.000898684,
3042.367658,0.014125,-0.00372114,0.00092066,
3060.980353,0.0143001,-0.00372547,0.000927456,
3081.169775,0.014476,-0.00379087,0.000940366,
3097.674525,0.0146358,-0.00380874,0.00095354,
3116.479374,0.0148136,-0.00386393,0.00094385,
3135.402905,0.0149895,-0.0039092,0.000962751,
3150.706752,0.0151786,-0.00395395,0.000944537,
3170.607973,0.0153505,-0.00396562,0.000957815,
3185.134764,0.0155054,-0.00403464,0.000952215,
3201.57454,0.0157033,-0.00404408,0.000960105,
3217.322027,0.0158717,-0.00410531,0.00093803,
3231.860128,0.0160417,-0.00413766,0.000929613,
3249.127834,0.0162365,-0.00416225,0.000959384,
3262.103339,0.0164089,-0.00422476,0.000952643,
3276.392787,0.0165764,-0.00425442,0.000969475,
3290.422274,0.016779,-0.00429877,0.000977338,
3305.175136,0.0169596,-0.00433907,0.000969548,
3320.614641,0.0171329,-0.00437059,0.000977526,
3332.363811,0.0173414,-0.00440031,0.000976222,
3346.749342,0.0174995,-0.00445984,0.000973281,
3355.531552,0.0176918,-0.00448455,0.000960966,
3367.600029,0.0178783,-0.00451144,0.000974345,
3377.294935,0.0180557,-0.00453844,0.000964005,
3389.674239,0.0182508,-0.00460314,0.000970996,
3402.177875,0.0184319,-0.00463876,0.000965234,
3412.302289,0.0186308,-0.00468821,0.000982512,
3423.918663,0.0188173,-0.00470586,0.000964378,
3433.517502,0.0190197,-0.0047658,0.000989824,
