Machine_Displacement,Machine_Load,MD_index--1,v--1,MD_Load--1,Specimen_name
0.000427203,-3.62353E-05,24,0.0212774,0.012960271,TA2
0.001030713,-2.47652E-05,25,0.0232874,0.014658733,
0.001905463,-0.000296676,26,0.0289298,0.017765674,
0.002597125,3.77929E-05,27,0.0329332,0.020334079,
0.003478656,-0.000125395,28,0.037616,0.023134469,
0.004285596,8.21752E-05,29,0.0423439,0.025512315,
0.005133221,0.00023011,30,0.046145,0.028014439,
0.00600119,0.000737735,31,0.0536797,0.031817335,
0.006814911,0.000432923,32,0.0584377,0.03579422,
0.007716785,0.000729309,33,0.0612793,0.04001966,
0.008469476,0.000782289,34,0.0710863,0.044037971,
0.009412036,0.001125669,35,0.0705973,0.0482137,
0.010151166,0.001496028,36,0.074894,0.052174015,
0.011100506,0.001676212,37,0.0817589,0.056946277,
0.01186676,0.001716477,38,0.0864712,0.06154455,
0.012788977,0.002286105,39,0.0912715,0.066523942,
0.013568792,0.002971635,40,0.0968455,0.071420481,
0.014436762,0.003166282,41,0.104355,0.076582146,
0.015284387,0.00393026,42,0.109098,0.080931864,
0.016091326,0.004410146,43,0.114268,0.086052104,
0.016999982,0.004785623,44,0.121813,0.091553461,
0.017773017,0.004948444,45,0.126719,0.096789693,
0.018702013,0.005364518,46,0.132508,0.10249818,
0.019420801,0.005521415,47,0.136596,0.107750982,
0.020363361,0.005563655,48,0.142238,0.113053495,
0.021122834,0.006276776,49,0.147347,0.118612849,
0.022017926,0.006488601,50,0.152982,0.123782799,
0.022831647,0.006606685,51,0.159848,0.129565852,
0.023706397,0.006711437,52,0.165268,0.134644666,
0.024567584,0.006850693,53,0.171386,0.139798046,
0.025360962,0.007208712,54,0.181732,0.145257977,
0.026283178,0.007238401,55,0.188145,0.149682261,
0.027042652,0.007417333,56,0.193763,0.155755296,
0.027964868,0.007729454,57,0.198063,0.160751258,
0.028710779,0.007909447,58,0.200473,0.165879782,
0.029632995,0.008678194,59,0.20506,0.171149154,
0.030378906,0.008952106,60,0.211171,0.176435097,
0.031246874,0.009302751,61,0.216215,0.181895029,
0.032067377,0.009713492,62,0.220792,0.183527208,
0.03288788,0.009721174,63,0.226196,0.191331845,
0.03377619,0.009342217,64,0.232076,0.197048617,
0.034556005,0.00930035,65,0.238299,0.201854019,
0.035471443,0.009626409,66,0.244622,0.206883122,
0.03621057,0.009526312,67,0.249994,0.211696809,
0.037146349,0.009678191,68,0.256219,0.219095472,
0.0378787,0.009938227,69,0.267285,0.223088927,
0.038787354,0.009989115,70,0.274739,0.226908394,
0.039560389,0.010144505,71,0.273421,0.232227477,
0.040414795,0.009919127,72,0.277318,0.237389143,
0.041248858,0.009989404,73,0.28436,0.242492812,
0.042035457,0.0099782,74,0.291335,0.245889734,
0.042944111,0.009763132,75,0.297993,0.253777222,
0.043710362,0.009922622,76,0.302063,0.25835064,
0.044646144,0.010132372,77,0.307358,0.263172613,
0.045398835,0.010360838,78,0.314339,0.268143719,
0.046327833,0.010274403,79,0.320954,0.273164536,
0.047073744,0.010404187,80,0.326398,0.277373406,
0.047975615,0.010450787,81,0.331074,0.282767057,
0.048775773,0.010174223,82,0.336932,0.289279206,
0.04961662,0.010224564,83,0.341091,0.293645494,
0.050471026,0.010149508,84,0.348339,0.298293478,
0.051257621,0.010028406,85,0.352366,0.3032563,
0.052159496,0.01010701,86,0.3573,0.307804862,
0.052891847,0.010072572,87,0.365017,0.31263512,
0.053814061,0.010496666,88,0.370017,0.317241679,
0.054566756,0.010404447,89,0.37521,0.322966736,
0.05548897,0.010232881,90,0.379878,0.327589865,
0.056248445,0.01032749,91,0.384484,0.332544401,
0.057129975,0.010415941,92,0.389557,0.337548648,
0.057943694,0.010297827,93,0.395766,0.342180062,
0.058757417,0.010279826,94,0.402513,0.347399724,
0.059625383,0.010326786,95,0.410218,0.352826516,
0.060384858,0.010178008,96,0.415263,0.357988181,
0.061313856,0.010320225,97,0.4213,0.36305871,
0.062066548,0.010496411,98,0.4295,0.368137524,
0.062995546,0.010563858,99,0.433563,0.373390326,
0.063741453,0.010566857,100,0.437428,0.378527137,
0.064656891,0.010341654,101,0.443225,0.383953928,
0.065423146,0.010657427,102,0.449888,0.389016172,
0.066291116,0.010388321,103,0.456583,0.394724659,
0.067131959,0.010405218,104,0.464445,0.400018888,
0.067945682,0.010372675,105,0.470508,0.405255121,
0.068833992,0.010153991,106,0.475754,0.410516209,
0.069607027,0.010578425,107,0.483448,0.415876719,
0.070549585,0.010506124,108,0.487302,0.42101353,
0.07130228,0.010656909,109,0.492302,0.426589454,
0.072244838,0.010557521,110,0.497891,0.431709695,
0.072997525,0.010592779,111,0.503962,0.436912787,
0.073906183,0.010514947,112,0.510725,0.441138228,
0.074658878,0.010399213,113,0.51744,0.447144982,
