MD_N_cycles--1,MD_Load--1 ,MD_index--1 ,eyy--1 ,exx--1 ,exy--1
0,5.066446,0,0,0,1.03E-18
0,0.637276,1,6.49E-05,8.85E-06,8.71E-05
0,10.912949,2,5.23E-05,-7.07E-06,2.83E-06
0,-3.775787,3,2.74E-05,-1.11E-05,5.78E-05
0,-10.765821,4,-5.20E-06,-9.71E-05,9.04E-06
0,-18.110189,5,2.70E-05,-5.76E-05,1.35E-05
0,-15.017824,6,8.72E-05,-5.68E-05,2.83E-05
1,1282.247457,7,-0.0014916,0.00412817,-6.13E-05
1,1231.400415,8,-0.0015004,0.0040982,-6.42E-05
1,1132.363875,9,-0.00140465,0.0038718,-0.000107709
1,1019.492225,10,-0.00128692,0.003528,-0.000130069
1,951.572764,11,-0.00115558,0.00317905,-0.000135781
1,946.289961,12,-0.00110376,0.00303507,-0.000133711
1,1019.621073,13,-0.00113393,0.00306798,-0.000131546
1,1158.19809,14,-0.00124181,0.00339743,-0.000134913
1,1290.219991,15,-0.00140294,0.00384546,-9.49E-05
50,1962.394345,16,-0.00222448,0.00602379,-0.000286061
50,1971.655403,17,-0.00249927,0.00673168,-0.000273279
50,1681.969746,18,-0.00239539,0.00644933,-0.000273678
50,1208.433083,19,-0.00189934,0.00525348,-0.000310824
50,708.370653,20,-0.00126953,0.00361411,-0.000389927
50,388.986952,21,-0.000733287,0.00210845,-0.000446532
50,379.774274,22,-0.000439964,0.00139377,-0.000482873
50,682.053297,23,-0.000542482,0.00165133,-0.000472408
50,1187.994414,24,-0.00100854,0.00282955,-0.00040677
50,1679.537716,25,-0.00158599,0.00451605,-0.000348044
100,2076.780534,26,-0.00237885,0.00641629,-0.000361105
100,2072.915046,27,-0.00268477,0.00719811,-0.000316484
100,1746.297765,28,-0.00255513,0.00684278,-0.000323083
100,1199.252593,29,-0.00204402,0.00547109,-0.000397865
100,648.311035,30,-0.00137723,0.00361657,-0.00044335
100,284.571244,31,-0.000682614,0.00192992,-0.000549934
100,271.621958,32,-0.000386673,0.00112803,-0.000558866
100,628.645498,33,-0.000493199,0.00142709,-0.000559412
100,1194.340227,34,-0.00101841,0.00278919,-0.000502492
100,1749.454575,35,-0.00177389,0.00469222,-0.000436367
150,2103.307447,36,-0.00241809,0.00656046,-0.000315463
150,2095.657002,37,-0.00270218,0.0073428,-0.000264199
150,1745.798473,38,-0.00256739,0.00694428,-0.000291466
150,1196.546765,39,-0.00208423,0.005522,-0.00035736
150,632.366006,40,-0.00134068,0.00363363,-0.000421087
150,264.229269,41,-0.000677889,0.00191041,-0.000490557
150,260.331598,42,-0.000358389,0.00109403,-0.000539916
150,625.843039,43,-0.000493674,0.00143303,-0.000525234
150,1205.839998,44,-0.00101282,0.00284669,-0.000466568
150,1780.587799,45,-0.00182008,0.00478243,-0.000380758
200,2118.898253,46,-0.00232592,0.00665827,-0.000300534
200,2102.53435,47,-0.00259796,0.00741746,-0.000252807
200,1749.615635,48,-0.00245697,0.00700903,-0.000289258
200,1188.71919,49,-0.00196869,0.00555732,-0.000346775
200,625.34375,50,-0.00119987,0.00364982,-0.000418526
200,268.432955,51,-0.000561945,0.00194331,-0.000473456
200,262.199903,52,-0.000242259,0.0011417,-0.000536771
200,636.505271,53,-0.000369841,0.00148231,-0.000518689
200,1218.177289,54,-0.000901529,0.00291367,-0.000457167
200,1789.091857,55,-0.00170676,0.00485119,-0.000364344
400,1812.92899,56,-0.00184817,0.00501373,-0.000375189
400,2117.706393,57,-0.00251939,0.00677119,-0.000310389
400,2090.937884,58,-0.00275672,0.00748664,-0.000287199
400,1722.831082,59,-0.00261603,0.0070485,-0.000311058
400,1157.054556,60,-0.00205944,0.00552723,-0.00035781
400,595.096514,61,-0.00129569,0.0036157,-0.000445792
400,251.698741,62,-0.000692026,0.00192995,-0.000500938
