MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
0,4.293354,0,0,0,-2.68E-19
0,-6.497713,1,0.0000354,-0.0000853,-0.00000477
0,0.556746,2,0.0000295,-0.0000614,0.0000115
0,11.557192,3,0.00000354,0.00000834,0.0000054
0,-9.654503,4,0.0000319,-0.0000954,-0.00000198
1,548.46939,5,-0.00109859,0.00321198,-0.0000693
1,548.276117,6,-0.00112203,0.00328756,-0.0000765
1,526.758386,7,-0.00110485,0.00323751,-0.0000725
1,486.13884,8,-0.00104148,0.00305428,-0.0000685
1,452.718717,9,-0.000970232,0.00284202,-0.0000584
1,432.441159,10,-0.000900188,0.00265634,-0.000042
1,434.728223,11,-0.000878318,0.00258725,-0.0000388
1,459.032302,12,-0.000900917,0.00264917,-0.0000464
1,499.748482,13,-0.000957586,0.002831,-0.0000608
1,537.259554,14,-0.00105067,0.00308853,-0.0000714
5,584.434283,15,-0.00118181,0.00343735,-0.0000716
5,577.267074,16,-0.00120911,0.00351341,-0.0000803
5,545.360916,17,-0.00117454,0.00343386,-0.000071
5,497.9446,18,-0.00109118,0.00319208,-0.0000679
5,457.244527,19,-0.00100343,0.00292587,-0.0000678
5,437.385727,20,-0.000920215,0.00270197,-0.0000515
5,438.255455,21,-0.00089649,0.0026246,-0.0000484
5,476.378554,22,-0.000932213,0.00274016,-0.0000606
5,529.287042,23,-0.00103245,0.00300804,-0.0000717
10,599.39684,24,-0.00121561,0.00354698,-0.0000671
10,593.034935,25,-0.00124709,0.00363147,-0.0000743
10,556.602964,26,-0.00120751,0.00352575,-0.0000685
10,496.398416,27,-0.00109689,0.0032176,-0.0000683
10,440.542519,28,-0.000980926,0.00287097,-0.0000639
10,408.877962,29,-0.00088258,0.00258578,-0.0000468
10,411.454935,30,-0.000844451,0.00248026,-0.0000454
10,451.043685,31,-0.000878501,0.00259391,-0.0000391
10,513.486972,32,-0.00100318,0.00291843,-0.0000702
