Machine_Time,Machine_Displacement,Machine_Load,Crack_length,Crack_Displacement,Crack_Load  
15:46:32,0,0,82.8,20.21667,616.8
15:46:32,0.00833,0.212,84.39517,23.01667,695.568
15:46:33,0.01667,0.552,86.15319,28.75833,837.98
15:46:33,0.025,0.014,87.84421,32.39167,921.89
15:46:34,0.03333,0.13,89.57324,34.61667,971.884
15:46:34,0.04167,0.404,91.43426,37.84167,1036.026
15:46:35,0.05,0.026,93.28428,39.43333,1060.398
15:46:35,0.05833,0.856,95.22231,40.375,1063.148
15:46:36,0.06667,0.568,96.73732,40.725,1053.93
15:46:36,0.075,0.908,98.67135,40.99167,1037.672
15:46:37,0.08333,0.112,100.59637,41.25833,1023.812
15:46:37,0.09167,0.358,102.48439,41.55833,1009.052
15:46:38,0.1,2.924,104.10441,41.675,1002
15:46:38,0.10833,0.688,105.92144,42.01667,988.44
15:46:39,0.11667,1.214,107.56146,42.74167,983.69
15:46:39,0.125,1.61,109.48448,43.525,986.442
15:46:40,0.13333,1.86,111.2315,44.775,987.858
15:46:40,0.14167,2.38,112.89252,45.33333,973.2
15:46:41,0.15,2.232,114.72155,46.00833,965.812
15:46:41,0.15833,2.296,116.34357,46.8,964.74
15:46:42,0.16667,2.824,118.17259,47.225,958.206
15:46:42,0.175,2.992,119.89961,47.49167,949.58
15:46:43,0.18333,3.53,121.73863,47.61667,940.604
15:46:43,0.19167,3.514,123.66266,47.69167,928.972
15:46:44,0.2,3.642,125.36168,47.75833,911.06
15:46:44,0.20833,4.306,127.1167,47.80833,880.43
15:46:45,0.21667,3.754,128.82172,47.875,828.362
15:46:45,0.225,3.1,130.66174,48.11667,805.65
15:46:46,0.23333,4.574,132.53277,48.6,787.308
15:46:46,0.24167,4.962,134.38379,49.225,781.484
15:46:47,0.25,5.486,136.02581,49.73333,766.992
15:46:47,0.25833,5.252,137.80983,50.11667,755.286
15:46:48,0.26667,6.906,139.46485,50.9,746.65
15:46:48,0.275,5.982,141.35187,51.6,739.66
15:46:49,0.28333,6.334,142.86989,52.30833,730.804
15:46:49,0.29167,6.666,,,
15:46:50,0.3,6.768,,,
15:46:50,0.30833,7.242,,,
15:46:51,0.31667,7.682,,,
15:46:51,0.325,7.544,,,
15:46:52,0.33333,7.678,,,
15:46:52,0.34167,7.964,,,
15:46:53,0.35,7.138,,,
15:46:53,0.35833,9.378,,,
15:46:54,0.36667,9.878,,,
15:46:54,0.375,8.19,,,
15:46:55,0.38333,8.888,,,
15:46:55,0.39167,9.016,,,
15:46:56,0.4,9.338,,,
15:46:56,0.40833,10.172,,,
15:46:57,0.41667,10.106,,,
15:46:57,0.425,10.664,,,
15:46:58,0.43333,10.954,,,
15:46:58,0.44167,10.982,,,
15:46:59,0.45,11.162,,,
15:46:59,0.45833,11.66,,,
15:47:00,0.46667,11.74,,,
15:47:00,0.475,11.98,,,
15:47:01,0.48333,12.376,,,
15:47:01,0.49167,12.702,,,
15:47:02,0.5,12.642,,,
15:47:02,0.50833,12.132,,,
15:47:03,0.51667,13.476,,,
15:47:03,0.525,13.528,,,
15:47:04,0.53333,13.588,,,
15:47:04,0.54167,13.822,,,
15:47:05,0.55,14.06,,,
15:47:05,0.55833,14.65,,,
