Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
0.05001216,1,0.000345831,0.000790378
0.10002432,1,0.001071399,0.001052589
0.15003648,1,0.001891901,0.000936
0.20004864,1,0.002610687,0.000818239
0.2500608,1,0.003532904,0.001205132
0.30007296,1,0.004285596,0.001073661
0.35008512,1,0.005241718,0.001157198
0.40009728,1,0.006007971,0.001277999
0.45010944,1,0.006923407,0.001281482
0.5001216,1,0.007743909,0.001449095
0.55001088,1,0.008605096,0.001862165
0.60002304,1,0.009452722,0.002058791
0.6500352,1,0.0102461,0.002055889
0.70004736,1,0.011141192,0.002107076
0.75005952,1,0.011859979,0.002465668
0.80007168,1,0.012795758,0.002614681
0.85008384,1,0.013555231,0.002805141
0.900096,1,0.01449101,0.003152645
0.95010816,1,0.015270825,0.003342165
1.00012032,1,0.0161727,0.003751321
1.0500096,1,0.016979638,0.004066077
1.10002176,1,0.017820483,0.004621231
1.15003392,1,0.01867489,0.004844032
1.20004608,1,0.019441145,0.005391438
1.25005824,1,0.020356579,0.006062406
1.3000704,1,0.02110249,0.006785346
1.35008256,1,0.022031488,0.008115082
1.40009472,1,0.022763837,0.009652891
1.45010688,1,0.023679273,0.011211456
1.50011904,1,0.024465868,0.012647129
1.55000832,1,0.025327057,0.013960242
1.60002048,1,0.026174683,0.014986178
1.65003264,1,0.026995184,0.016172741
1.7000448,1,0.027869934,0.017086484
1.75005696,1,0.028636187,0.017782906
1.80006912,1,0.029565185,0.018866569
1.85008128,1,0.030304315,0.020034911
1.90009344,1,0.031219751,0.020853786
1.9501056,1,0.031965662,0.022130635
2.00011776,1,0.032881096,0.023243001
2.05000704,1,0.033654131,0.024168955
2.1000192,1,0.034481414,0.025298366
2.15003136,1,0.035342604,0.026271639
2.20004352,1,0.036142763,0.027153343
2.25005568,1,0.037044633,0.028233983
2.30006784,1,0.037797328,0.029110761
2.35008,1,0.038726326,0.030272977
2.40009216,1,0.039465453,0.031578086
2.45010432,1,0.040380891,0.032412995
2.50011648,1,0.041140363,0.033457063
2.55000576,1,0.042035457,0.034734841
2.60001792,1,0.042842396,0.03572312
2.65003008,1,0.043676458,0.036748283
2.70004224,1,0.044544429,0.037774235
2.7500544,1,0.04531068,0.038608506
2.80006656,1,0.046212554,0.039892148
2.85007872,1,0.046958465,0.040914126
2.90009088,1,0.047894243,0.042239971
2.95010304,1,0.048640154,0.043248329
3.0001152,1,0.049562372,0.044269983
3.05000448,1,0.050321843,0.045446925
3.10001664,1,0.051210158,0.046376031
3.1500288,1,0.052030656,0.047645871
3.20004096,1,0.052851159,0.048485275
3.25005312,1,0.053732689,0.049759429
3.30006528,1,0.054512504,0.051087927
3.35007744,1,0.055407599,0.05235526
3.4000896,1,0.056126386,0.053431168
3.45010176,1,0.05704182,0.054379113
3.50011392,1,0.057794511,0.055642426
3.5500032,1,0.058689605,0.056551643
3.60001536,1,0.059496544,0.057560552
3.65002752,1,0.060344171,0.058647238
3.70003968,1,0.061205357,0.05987874
3.75005184,1,0.061971612,0.061198242
3.800064,1,0.06288705,0.062331483
3.85007616,1,0.063639738,0.063393556
3.90008832,1,0.064575516,0.064635821
3.95010048,1,0.065301083,0.065734379
4.00011264,1,0.066223301,0.066862561
4.05000192,1,0.066996336,0.067662068
4.10001408,1,0.067843966,0.068982184
4.15002624,1,0.068698369,0.070316553
4.2000384,1,0.069484964,0.071881063
4.25005056,1,0.070393622,0.073264547
4.30006272,1,0.071153097,0.074681595
4.35007488,1,0.072088875,0.076299153
4.40008704,1,0.072834782,0.077829592
4.4500992,1,0.07375022,0.07922864
4.50011136,1,0.074496128,0.080679148
4.55000064,1,0.075377658,0.08189965
4.6000128,1,0.076191381,0.083589472
4.65002496,1,0.076998323,0.085141145
4.70003712,1,0.077866293,0.086672112
4.75004928,1,0.078612201,0.088333257
4.80006144,1,0.079541199,0.090096585
4.8500736,1,0.080273546,0.091739714
4.90008576,1,0.081209324,0.093246512
4.95009792,1,0.081975579,0.09461239
5.00011008,1,0.082891017,0.096117042
5.05012224,1,0.083657272,0.097840823
5.10001152,1,0.084498115,0.099406347
5.15002368,1,0.085345738,0.101462521
5.20003584,1,0.086118773,0.102974512
5.250048,1,0.087027431,0.10463281
5.30006016,1,0.087773338,0.106303975
5.35007232,1,0.088702336,0.107886069
5.40008448,1,0.089448251,0.109584555
5.45009664,1,0.090363681,0.111316726
5.5001088,1,0.091143496,0.112831272
5.55012096,1,0.092031814,0.114641227
5.60001024,1,0.092838749,0.116550699
5.6500224,1,0.093652472,0.118436955
5.70003456,1,0.094527222,0.120262235
5.75004672,1,0.095293477,0.121806502
5.80005888,1,0.096215695,0.123644426
5.85007104,1,0.096968383,0.125252798
5.9000832,1,0.097904161,0.127254114
5.95009536,1,0.098656856,0.128777817
6.00010752,1,0.099572293,0.131064728
6.05011968,1,0.100324981,0.132946402
6.10000896,1,0.101172611,0.13477768
6.15002112,1,0.101993106,0.136616871
6.20003328,1,0.102779709,0.13829948
6.25004544,1,0.103681579,0.140553862
6.3000576,1,0.104447834,0.141990334
6.35006976,1,0.105383612,0.144095629
6.40008192,1,0.10611596,0.145846128
6.45009408,1,0.107058518,0.14779152
6.50010624,1,0.107804433,0.149998441
6.5501184,1,0.108692743,0.151966408
6.60000768,1,0.109513246,0.153915256
6.65001984,1,0.110360868,0.155692592
6.700032,1,0.111201718,0.15773496
6.75004416,1,0.111967966,0.159157217
6.80005632,1,0.112876624,0.161061272
6.85006848,1,0.113608971,0.162919417
6.90008064,1,0.114544749,0.164942667
6.9500928,1,0.115283884,0.166882157
7.00010496,1,0.116212882,0.168784186
7.05011712,1,0.116992697,0.170687407
7.1000064,1,0.11785388,0.172720775
7.15001856,1,0.11870151,0.174736306
7.20003072,1,0.119494885,0.176489025
7.25004288,1,0.120389976,0.178455696
7.30005504,1,0.121142671,0.180367142
7.3500672,1,0.122064888,0.182199866
7.40007936,1,0.122783676,0.184240207
7.45009152,1,0.123699106,0.186369672
7.50010368,1,0.124465361,0.188266858
7.55011584,1,0.125346899,0.190263033
7.60000512,1,0.126174182,0.192218482
7.65001728,1,0.127001464,0.19412148
7.70002944,1,0.127876207,0.19612813
7.7500416,1,0.128635675,0.197998524
7.80005376,1,0.129557893,0.20021449
7.85006592,1,0.13028346,0.202570274
7.90007808,1,0.131212458,0.20454827
7.95009024,1,0.1319516,0.206672668
8.0001024,1,0.132867023,0.20864141
8.05011456,1,0.133646846,0.210969895
8.10000384,1,0.134494469,0.212868065
8.150016,1,0.135355651,0.21476385
8.20002816,1,0.136135474,0.216978908
8.25004032,1,0.137044132,0.218887746
8.30005248,1,0.137796819,0.221561298
8.35006464,1,0.138732597,0.2236882
8.4000768,1,0.139451385,0.225940526
8.45008896,1,0.140373603,0.227969259
8.50010112,1,0.14113985,0.230063856
8.55011328,1,0.142028168,0.232059196
8.60000256,1,0.14284867,0.234187275
8.65001472,1,0.143682733,0.236241132
8.70002688,1,0.144550696,0.238925979
8.75003904,1,0.145296618,0.241409764
8.8000512,1,0.146205261,0.243478999
8.85006336,1,0.146944404,0.246083215
8.90007552,1,0.147886962,0.248269722
8.95008768,1,0.148619309,0.250886023
9.00009984,1,0.149541527,0.253072977
9.050112,1,0.150300995,0.255653709
9.10000128,1,0.151148617,0.258216888
9.15001344,1,0.15199624,0.260536492
9.2000256,1,0.152789623,0.2632761
9.25003776,1,0.15369828,0.265880138
9.30004992,1,0.154457748,0.26835379
9.35006208,1,0.155393526,0.270940721
9.40007424,1,0.156125873,0.273613334
9.4500864,1,0.157054871,0.276291162
9.50009856,1,0.157794014,0.278821647
9.55011072,1,0.158702657,0.281253338
9.60012288,1,0.159489259,0.284035444
9.65001216,1,0.160343662,0.286803097
9.70002432,1,0.161198065,0.289507568
9.75003648,1,0.161991447,0.292235464
9.80004864,1,0.162900105,0.294928581
9.8500608,1,0.163652793,0.297701925
9.90007296,1,0.164581791,0.300363719
9.95008512,1,0.165334478,0.302880436
10.00009728,1,0.166256696,0.305716306
10.05010944,1,0.166982263,0.308588237
10.1001216,1,0.167836681,0.311356336
10.15001088,1,0.168657184,0.314051896
10.20002304,1,0.169450551,0.316947639
10.2500352,1,0.170352429,0.319593608
10.30004736,1,0.171118677,0.322529644
10.35005952,1,0.172054455,0.3253811
10.40007168,1,0.172786817,0.328127384
10.45008384,1,0.173722595,0.330848306
10.500096,1,0.174488842,0.333656728
10.55010816,1,0.175363585,0.336671025
10.60012032,1,0.176163748,0.340082437
10.6500096,1,0.176977471,0.342511177
10.70002176,1,0.177845433,0.345684111
10.75003392,1,0.178591356,0.34857142
10.80004608,1,0.179527134,0.351496905
10.85005824,1,0.180279821,0.354426503
10.9000704,1,0.181208819,0.357233316
10.95008256,1,0.181968287,0.360776901
11.00009472,1,0.182870165,0.363569319
11.05010688,1,0.183670327,0.366869658
11.10011904,1,0.18453829,0.369722694
11.15000832,1,0.185385913,0.373063803
11.20002048,1,0.186179295,0.376503557
11.25003264,1,0.187074393,0.379578084
11.3000448,1,0.1878203,0.382546484
11.35005696,1,0.188742518,0.385985076
11.40006912,1,0.189454526,0.389048785
11.45008128,1,0.190369964,0.392344564
11.50009344,1,0.191136211,0.395689249
11.5501056,1,0.192017749,0.398964494
11.60011776,1,0.192851812,0.402549863
11.65000704,1,0.193679094,0.405717045
11.7000192,1,0.194547057,0.409205973
11.75003136,1,0.195313305,0.412370116
11.80004352,1,0.196228743,0.415815473
11.85005568,1,0.19695431,0.419258833
11.90006784,1,0.197876528,0.422435015
11.95008,1,0.19862923,0.426031172
12.00009216,1,0.199551433,0.429469138
12.05010432,1,0.200324476,0.433215111
12.10011648,1,0.201151758,0.436365843
12.15000576,1,0.202012941,0.439955801
12.20001792,1,0.202806324,0.443199575
12.25003008,1,0.203701422,0.446768433
12.30004224,1,0.204447329,0.449917942
12.3500544,1,0.205383107,0.453787833
12.40006656,1,0.206122234,0.457343996
12.45007872,1,0.207051232,0.460828066
12.50009088,1,0.20781748,0.46469748
12.55010304,1,0.208712578,0.467969656
12.6001152,1,0.20951274,0.471962392
12.65000448,1,0.210346803,0.475214124
12.70001664,1,0.211194426,0.478821158
12.7500288,1,0.211967468,0.482428193
12.80004096,1,0.212862551,0.486070931
12.85005312,1,0.213594899,0.489882588
12.90006528,1,0.214530677,0.493354261
12.95007744,1,0.215283379,0.497122884
13.0000896,1,0.216219157,0.500619292
13.05010176,1,0.216971844,0.504570842
13.10011392,1,0.217853382,0.507873297
13.1500032,1,0.218680665,0.511802018
13.20001536,1,0.219480813,0.515617788
13.25002752,1,0.22036235,0.51947701
