Machine_Time,Machine_Displacement,Machine_Load,MD_index--1,MD_Displacement--1,MD_Load--1,u--1,v--1,MD_index--2,MD_Displacement--2,MD_Load--2,u--2,v--2
0.05001216,1.651758075,0.001762075,0,0,-0.014711,0,0,0,0,-0.014711,0,0
0.10002432,1.652158141,0.001429079,1,0.002605,-0.009586,0.000423474,0.00135125,1,0.002605,-0.009586,0.00102811,0.00192601
0.15003648,1.652856588,0.001720017,2,0.003827,-0.010011,0.00385737,0.00212761,2,0.003827,-0.010011,0.00286309,0.00241489
0.20004864,1.653616071,0.001638257,3,0.001116,-0.009352,0.000183674,0.00549655,3,0.001116,-0.009352,0.00184061,0.00473674
0.2500608,1.654348493,0.001869793,4,0.004678,-0.01033,-0.00253927,-0.00188588,4,0.004678,-0.01033,0.00112048,-0.000482382
0.30007296,1.655270696,0.002000487,5,0.005582,-0.010522,0.000518716,0.00146808,5,0.005582,-0.010522,0.00112097,0.00311914
0.35008512,1.656043649,0.00222488,6,0.015469,-0.005504,0.00050833,0.000891822,6,0.015469,-0.005504,0.00130172,0.00239395
0.40009728,1.657006621,0.002235948,7,0.047206,0.005703,-0.0016238,-0.00998416,7,0.047206,0.005703,0.00237337,-0.00658116
0.45010944,1.657799959,0.002074043,8,0.040773,0.025946,-0.00356389,-0.0161757,8,0.040773,0.025946,0.0010577,-0.0119388
0.5001216,1.658783197,0.002225952,9,0.071287,0.044828,0.00095445,-0.0229243,9,0.071287,0.044828,0.00292021,-0.0158346
0.55001088,1.65959692,0.002510343,10,0.08362,0.068867,0.00232072,-0.0308928,10,0.08362,0.068867,0.00196111,-0.0215353
0.60002304,1.660573363,0.002619552,11,0.103236,0.093937,0.00141014,-0.0422466,11,0.103236,0.093937,0.00199099,-0.0290383
0.6500352,1.661373615,0.003156558,12,0.135397,0.117625,0.00180347,-0.0486492,12,0.135397,0.117625,0.00383435,-0.0341912
0.70004736,1.662343264,0.003445989,13,0.106106,0.152338,0.00585566,-0.0592011,13,0.106106,0.152338,0.00731398,-0.0423181
0.75005952,1.663163781,0.004000094,14,0.157033,0.172794,0.00620192,-0.0671391,14,0.157033,0.172794,0.00863005,-0.0474016
0.80007168,1.664072394,0.004457734,15,0.167665,0.20067,0.00552235,-0.0761235,15,0.167665,0.20067,0.00718885,-0.0558119
0.85008384,1.664919972,0.005059557,16,0.182975,0.227835,0.00510077,-0.0848337,16,0.182975,0.227835,0.0076221,-0.0615486
0.900096,1.665815115,0.005607694,17,0.225077,0.252129,0.00718052,-0.0948394,17,0.225077,0.252129,0.00937883,-0.0678449
0.95010816,1.666656017,0.005977823,18,0.19265,0.297261,0.00852416,-0.103965,18,0.19265,0.297261,0.0105297,-0.0749139
1.00012032,1.667483211,0.006694451,19,0.238952,0.332857,0.00745754,-0.11209,19,0.238952,0.332857,0.0101885,-0.081295
1.0500096,1.668391943,0.007206448,20,0.249424,0.380201,0.0078936,-0.119231,20,0.249424,0.380201,0.0108173,-0.0867142
1.10002176,1.669178486,0.008452808,21,0.270369,0.431457,0.00805891,-0.128385,21,0.270369,0.431457,0.0120317,-0.0933378
1.15003392,1.670107484,0.009053282,22,0.302478,0.49241,0.00658485,-0.137038,22,0.302478,0.49241,0.0111154,-0.0997828
1.20004608,1.670880556,0.009548486,23,0.300298,0.551257,0.00868583,-0.145877,23,0.300298,0.551257,0.0145594,-0.106555
1.25005824,1.671836615,0.010452243,24,0.313535,0.629327,0.00961197,-0.155156,24,0.313535,0.629327,0.0157908,-0.113541
1.3000704,1.672602892,0.01090726,25,0.331503,0.704771,0.00993837,-0.164282,25,0.331503,0.704771,0.0173173,-0.120559
1.35008256,1.67353189,0.011443887,26,0.352554,0.784681,0.010345,-0.172859,26,0.352554,0.784681,0.0182831,-0.127111
1.40009472,1.674304962,0.012109456,27,0.356169,0.874946,0.0112423,-0.180619,27,0.356169,0.874946,0.0201192,-0.133024
1.45010688,1.675193191,0.012999953,28,0.415601,0.961819,0.0115128,-0.189226,28,0.415601,0.961819,0.0211939,-0.139082
1.50011904,1.676000237,0.013769546,29,0.399015,1.074411,0.0117533,-0.19761,29,0.399015,1.074411,0.0217329,-0.14556
1.55000832,1.67681396,0.014662881,30,0.420811,1.185908,0.0125143,-0.205788,30,0.420811,1.185908,0.0233409,-0.152513
1.60002048,1.677688718,0.015481004,31,0.47397,1.29784,0.0130676,-0.213792,31,0.47397,1.29784,0.0252166,-0.158836
1.65003264,1.678427815,0.016322641,32,0.442819,1.428156,0.0133069,-0.222236,32,0.442819,1.428156,0.0256833,-0.165304
1.7000448,1.679363608,0.01672858,33,0.465677,1.547796,0.0132665,-0.230685,33,0.465677,1.547796,0.0268958,-0.171899
1.75005696,1.680109501,0.017608197,34,0.481891,1.675082,0.013801,-0.238488,34,0.481891,1.675082,0.0282624,-0.177889
1.80006912,1.681052089,0.018020127,35,0.512617,1.800963,0.0145959,-0.245964,35,0.512617,1.800963,0.0294527,-0.184653
1.85008128,1.681825042,0.018922152,36,0.518412,1.940464,0.0140855,-0.254648,36,0.518412,1.940464,0.0295642,-0.191601
1.90009344,1.682733774,0.019509014,37,0.533509,2.073863,0.0146985,-0.262386,37,0.533509,2.073863,0.031095,-0.197667
1.9501056,1.683527112,0.020376638,38,0.571571,2.203976,0.0164095,-0.270462,38,0.571571,2.203976,0.0328137,-0.203683
2.00011776,1.684367895,0.021278493,39,0.566521,2.361382,0.0190926,-0.278758,39,0.566521,2.361382,0.0340109,-0.209256
