Stress_Ratio,Reliability_Level,Stress_Level_No,Stress_Parameter,Number_of_Cycles,Residual_Strength
0.1,50.0,1.0,69.7325741680361,1100.0,69.7325741680361
0.1,50.0,2.0,65.120990142607,2500.0,65.120990142607
0.1,50.0,2.0,64.9436215239472,1100.0,64.9436215239472
0.1,50.0,3.0,60.923266122267,22300.0,60.923266122267
0.1,50.0,3.0,60.923266122267,18000.0,60.923266122267
0.1,50.0,3.0,60.391160253783504,6700.0,60.391160253783504
0.1,50.0,3.0,59.2868094902629,277100.0,59.2868094902629
0.1,50.0,4.0,55.779575997006205,29000.0,55.779575997006205
0.1,50.0,5.0,49.571673935045396,1197000.0,49.571673935045396
0.1,50.0,5.0,49.571673935045396,1197000.0,49.571673935045396
0.1,50.0,6.0,2.25478920921079,533000.0,2.25478920921079
