Stress_Ratio,Reliability_Level,Stress_Level_No,Stress_Parameter,Number_of_Cycles,Residual_Strength
0.1,50.0,1,69.7325741680361,1989,69.7325741680361
0.1,50.0,2,65.120990142607,2593,65.120990142607
0.1,50.0,2,64.9436215239472,1161,64.9436215239472
0.1,50.0,3,60.923266122267,22321,60.923266122267
0.1,50.0,3,60.923266122267,18028,60.923266122267
0.1,50.0,3,60.391160253783504,6785,60.391160253783504
0.1,50.0,3,59.2868094902629,277227,59.2868094902629
0.1,50.0,4,55.779575997006205,29832,55.779575997006205
0.1,50.0,5,50.990622995665,289050,50.990622995665
0.1,50.0,5,49.571673935045396,1198627,49.571673935045396
0.1,50.0,1,69.7325741680361,1989,69.7325741680361
0.1,50.0,2,65.120990142607,2593,65.120990142607
0.1,50.0,2,64.9436215239472,1161,64.9436215239472
0.1,50.0,3,60.923266122267,22321,60.923266122267
0.1,50.0,3,60.923266122267,18028,60.923266122267
0.1,50.0,3,60.391160253783504,6785,60.391160253783504
0.1,50.0,3,59.2868094902629,277227,59.2868094902629
0.1,50.0,4,55.779575997006205,29832,55.779575997006205
0.1,50.0,5,50.990622995665,289050,50.990622995665
0.1,50.0,5,49.571673935045396,1198627,49.571673935045396
0.1,50.0,1,69.7325741680361,1989,69.7325741680361
0.1,50.0,2,65.120990142607,2593,65.120990142607
0.1,50.0,2,64.9436215239472,1161,64.9436215239472
