N_cycles,Load,exx,eyy,Specimen_name
0,8.435551,0,0,F2-A14-574-3
0,10.570536,7.00E-06,-5.75E-06,
0,10.599518,4.21E-06,1.03E-06,
0,30.625867,0.000196165,-3.03E-05,
0,47.068146,0.000405181,-5.93E-05,
0,67.123476,0.00059399,-8.15E-05,
0,87.381677,0.000785333,-0.000117689,
0,104.76103,0.000980603,-0.000156224,
0,125.386332,0.00116747,-0.00018829,
0,142.785006,0.00134525,-0.000214858,
0,158.937467,0.0015327,-0.000250799,
0,177.563032,0.00171663,-0.000285575,
0,196.797212,0.00190212,-0.000316926,
0,215.103979,0.00207573,-0.000360784,
0,233.719884,0.00225385,-0.000403615,
0,250.712814,0.00243952,-0.000446638,
0,268.150131,0.00262154,-0.000481212,
0,286.804679,0.00279168,-0.000518027,
0,305.536512,0.00297109,-0.000559668,
0,324.200721,0.00314645,-0.000599823,
0,341.956838,0.00331922,-0.00064573,
1,358.012696,0.00349604,-0.000680841,
1,709.618804,0.00667276,-0.00160304,
1,660.523755,0.0060322,-0.00137353,
1,521.778621,0.00466646,-0.0010535,
1,325.543539,0.00277323,-0.000545637,
1,136.940365,0.00130555,-0.000252779,
1,73.750622,0.000817447,-0.00017317,
1,67.751413,0.000979793,-0.000150791,
1,182.779736,0.00228446,-0.000508174,
1,400.548164,0.00439161,-0.000909516,
10,597.063447,0.00584422,-0.00137504,
10,663.103129,0.00632596,-0.00144962,
10,650.998428,0.006037,-0.00139695,
10,531.342585,0.00467567,-0.00106403,
10,321.524745,0.00284954,-0.000507572,
10,157.372456,0.00142892,-0.000339519,
10,73.769944,0.000825789,-0.000144537,
10,72.639658,0.00105006,-0.00020475,
10,198.400866,0.00244334,-0.00050418,
10,395.350779,0.00429972,-0.000886521,
50,569.327947,0.00564003,-0.00134473,
50,653.935243,0.00628382,-0.00144607,
50,640.478063,0.00596765,-0.00140666,
50,523.884625,0.00468687,-0.00106796,
50,323.756335,0.00290631,-0.000543599,
50,163.149472,0.00155483,-0.000325133,
50,77.363673,0.000910812,-0.000183546,
50,79.662887,0.00115279,-0.000241139,
50,202.603211,0.00252237,-0.000498919,
50,394.800127,0.00429829,-0.000878113,
100,564.516982,0.0056329,-0.00132011,
100,653.442554,0.00630983,-0.00146644,
100,641.531065,0.0060094,-0.0013965,
100,523.247028,0.00469973,-0.0010587,
100,323.785317,0.00295651,-0.000546491,
100,162.714747,0.00157624,-0.0003371,
100,78.117197,0.000951568,-0.000183034,
100,83.382204,0.00119559,-0.000250718,
100,202.564568,0.00255427,-0.000509941,
100,391.409269,0.00432363,-0.000887243,
250,565.125598,0.00567607,-0.00134343,
250,653.065791,0.00637264,-0.00146032,
250,640.304172,0.00603088,-0.00141816,
250,523.768698,0.00476563,-0.0010828,
250,325.273044,0.00298891,-0.000556826,
250,162.647123,0.00161976,-0.000334892,
250,78.233124,0.000993983,-0.000181395,
250,81.527376,0.00124089,-0.000250701,
250,205.298508,0.00261347,-0.000527954,
250,393.360703,0.00436592,-0.000892855,
500,562.758758,0.00571801,-0.00134761,
500,653.906261,0.00642917,-0.00147148,
500,639.164225,0.00608915,-0.00141101,
500,522.251989,0.00482277,-0.00108533,
500,325.72709,0.0030589,-0.000563468,
500,160.686029,0.0016569,-0.000344314,
500,78.667849,0.0010518,-0.000198764,
500,80.870458,0.00130741,-0.000255205,
500,205.250205,0.00266646,-0.000529249,
500,393.534593,0.00443561,-0.000902219,
1000,564.98069,0.00578673,-0.00135825,
1000,653.297645,0.00650765,-0.00147803,
1000,641.260569,0.00619236,-0.00143201,
1000,521.904208,0.00489797,-0.00109232,
1000,322.712994,0.00311845,-0.000564028,
1000,161.555479,0.00174135,-0.000327485,
1000,78.271766,0.00113293,-0.000201426,
1000,83.015103,0.00138874,-0.000257456,
1000,203.994332,0.00275086,-0.000537668,
1000,396.374799,0.00455625,-0.000918409,
1500,565.531342,0.00587673,-0.00136734,
1500,653.828977,0.00654699,-0.00147208,
1500,639.714877,0.00622536,-0.00142868,
1500,523.778359,0.00494702,-0.00110343,
1500,322.278269,0.00314254,-0.000556584,
1500,159.063054,0.00177732,-0.000336001,
1500,78.50362,0.00118231,-0.000195944,
1500,81.76889,0.00143077,-0.000260202,
1500,205.056994,0.00280739,-0.000539104,
1500,400.016833,0.00462224,-0.000924106,
2000,567.337869,0.00592425,-0.00135691,
2000,655.104172,0.00661115,-0.00148294,
2000,640.76788,0.00627148,-0.00143452,
2000,521.7593,0.00497962,-0.00108692,
2000,320.027357,0.00318337,-0.000555643,
2000,159.884202,0.00181167,-0.000339108,
2000,76.484562,0.00121161,-0.000196603,
2000,81.981422,0.0014833,-0.000260917,
2000,207.105033,0.00286247,-0.000536706,
2000,399.775318,0.0046784,-0.000921287,
2500,568.989827,0.00598033,-0.00136697,
2500,654.679107,0.0066514,-0.00148084,
2500,640.680935,0.0062974,-0.00142706,
2500,519.189589,0.00499601,-0.00108293,
2500,318.790805,0.003207,-0.000549404,
2500,159.063054,0.00183435,-0.00032509,
2500,76.890305,0.00124631,-0.000198431,
2500,82.406487,0.00152634,-0.000255855,
2500,209.056467,0.00291235,-0.000540128,
2500,399.041115,0.0047139,-0.000928011,
3000,569.753012,0.006031,-0.00137793,
3000,654.360308,0.00668024,-0.00148954,
3000,638.874407,0.00632843,-0.00142032,
3000,520.155645,0.00501957,-0.00108828,
3000,320.549028,0.0032343,-0.000547764,
3000,156.58995,0.0018537,-0.000326625,
3000,75.006496,0.00126539,-0.000203663,
3000,83.034424,0.00156607,-0.000255118,
3000,208.872916,0.002941,-0.000546141,
3000,403.639545,0.00475397,-0.000931833,
3500,570.622463,0.00606686,-0.00137543,
3500,654.630804,0.00669866,-0.00149237,
3500,639.183546,0.00634319,-0.00143016,
3500,516.001601,0.00502467,-0.0010843,
3500,317.187152,0.00323422,-0.000548071,
