Crack_length,Load,u,N_cycles,Specimen_name
31.6047,122.271695,2.062306,1,2_11
31.6047,122.32456,2.064049,2,
31.6047,122.604717,2.068242,3,
31.6047,122.45632,2.070173,4,
31.6047,122.367496,2.06438,5,
31.6047,122.437535,2.064748,6,
31.6047,121.856022,2.063088,101,
31.6047,121.821673,2.067761,102,
31.6047,121.667641,2.061653,103,
31.6047,121.917474,2.063012,104,
31.6047,121.9376,2.063366,105,
31.6047,122.123566,2.065439,106,
31.6047,121.417002,2.064778,201,
31.6047,121.569425,2.063103,202,
31.7477,121.696086,2.067851,203,
31.7477,121.437934,2.066341,204,
31.7477,121.727751,2.067092,205,
31.7477,121.734191,2.064853,206,
31.7477,120.987375,2.06586,301,
31.7477,121.09874,2.064057,302,
31.7477,120.854274,2.068941,303,
31.7477,120.98496,2.068625,304,
31.7477,120.854274,2.06695,305,
31.7477,121.043192,2.068903,306,
31.7477,120.913847,2.065041,401,
31.7477,121.015015,2.066957,402,
31.7477,120.829586,2.062712,403,
31.7477,120.886476,2.065995,404,
31.7477,120.943366,2.063974,405,
31.7477,120.801409,2.066221,406,
31.7477,121.12155,2.067491,501,
31.7477,120.921898,2.067603,502,
31.7477,120.883255,2.068565,503,
31.7477,120.972347,2.066063,504,
31.7477,121.069222,2.067836,505,
31.7477,120.895599,2.066281,506,
31.7477,120.822608,2.070444,601,
31.7477,120.809191,2.071683,602,
31.7477,120.701851,2.0645,603,
31.7477,120.617321,2.062051,604,
31.7477,120.491734,2.068152,605,
31.7477,120.784503,2.065657,606,
31.7477,120.182327,2.064756,701,
31.7477,120.364804,2.067175,702,
31.7477,120.292618,2.067108,703,
31.7477,120.492807,2.066814,704,
31.7477,120.47939,2.070338,705,
31.7477,120.477779,2.068054,706,
31.7477,120.658915,2.064861,801,
31.7477,120.705071,2.070459,802,
31.7477,120.429208,2.065056,803,
31.7477,120.591291,2.067378,804,
31.7477,120.469997,2.067769,805,
31.7477,120.507835,2.070301,806,
31.7477,120.347093,2.068768,901,
31.7477,120.243242,2.067814,902,
31.7477,120.359974,2.064996,903,
31.7477,120.174545,2.06982,904,
31.7477,120.370708,2.066063,905,
31.7477,120.35407,2.068407,906,
31.7477,120.137781,2.065237,1001,
31.7477,120.052714,2.066266,1002,
31.7477,119.718887,2.066371,1003,
31.7477,120.114434,2.063689,1004,
31.7477,119.888753,2.067859,1005,
