eyy,exx,Load,Specimen_name
-5.11E-06,4.45E-06,0.278522,T2-DC-2
-1.74E-05,6.84E-05,1.534395,
-4.75E-05,0.000151022,8.288008,
-7.87E-05,0.000228269,15.129444,
-0.000105763,0.000321748,23.376053,
-0.000131732,0.000406685,29.954018,
-0.000154486,0.000491047,36.900842,
-0.000179904,0.000579518,41.467654,
-0.000204259,0.000653075,50.855965,
-0.000222316,0.000718963,57.592013,
-0.000255703,0.000806041,64.565183,
-0.000288749,0.00089531,72.09164,
-0.000321235,0.00098629,77.55425,
-0.000346265,0.0010662,85.607646,
-0.000371765,0.00113616,89.594824,
-0.000398313,0.00121914,99.413469,
-0.000417892,0.00129401,105.060508,
-0.000442304,0.00137617,113.869185,
-0.00047278,0.00145761,117.311858,
-0.000498974,0.00155263,125.330125,
-0.000534881,0.00163623,132.58433,
-0.000561297,0.00171522,139.891228,
-0.000596807,0.00179117,146.442846,
-0.000622133,0.00186705,152.581695,
-0.000630852,0.0019394,160.06424,
-0.000660848,0.00202639,167.169145,
-0.000681197,0.00211609,173.878845,
-0.000712749,0.00219776,179.5171,
-0.000746454,0.00228679,186.850346,
-0.000770381,0.00235866,193.603957,
-0.000814381,0.00244035,199.848194,
-0.000835851,0.00251589,206.961881,
-0.00086609,0.0025994,213.460805,
-0.000892094,0.00268915,219.274708,
-0.000916971,0.00276777,225.940496,
-0.000951609,0.00284753,233.019054,
-0.000968976,0.00292317,240.185435,
-0.00100553,0.00299571,245.920297,
-0.00102996,0.0030796,254.245946,
-0.00104874,0.0031521,260.569223,
-0.00109667,0.00324846,265.803492,
-0.00111548,0.00333469,270.449345,
-0.00115231,0.00341574,279.556621,
-0.00118404,0.00349511,285.05436,
-0.00119623,0.00357159,290.473058,
-0.00124028,0.00364906,296.664601,
-0.00126255,0.00373031,302.733192,
-0.00131106,0.00381492,310.953453,
-0.00134482,0.00390561,317.619242,
-0.00135285,0.00398205,323.292628,
-0.00139817,0.00406646,329.993546,
-0.0014196,0.00413882,335.895273,
-0.00145794,0.00421822,342.499586,
-0.00149377,0.00429823,349.218069,
-0.00151488,0.00437685,355.154925,
-0.00156077,0.00446339,361.443075,
-0.00156371,0.00454904,368.749974,
-0.00159965,0.00462287,373.193834,
-0.00163327,0.00471093,380.553428,
-0.00166452,0.00477906,384.645995,
-0.00170204,0.00486103,391.917766,
-0.00171318,0.0049457,397.274988,
-0.0017619,0.00503535,403.246974,
-0.0017876,0.0051182,410.790998,
-0.00181151,0.00519582,416.209697,
-0.00185186,0.00527406,423.29704,
-0.00188291,0.00535933,428.487398,
-0.00190899,0.00543893,435.732823,
-0.0019529,0.00552388,440.993441,
-0.00196081,0.00561246,447.070815,
-0.00201689,0.00569441,453.086714,
-0.00203289,0.0057784,459.647117,
-0.00207311,0.0058564,464.784782,
-0.00211577,0.00593911,470.212264,
-0.00213556,0.00601793,476.939532,
-0.00217251,0.00610068,482.23528,
-0.00218679,0.00618398,488.769337,
-0.00222206,0.00626724,495.127747,
-0.0022551,0.00634873,499.360832,
-0.00228679,0.00642645,506.211053,
-0.00232371,0.00650626,511.014991,
-0.00233414,0.00658163,516.776203,
-0.00239086,0.00666446,522.888708,
-0.00241448,0.00675738,529.826753,
-0.00243515,0.00683359,534.85025,
-0.0024766,0.0069177,538.477354,
-0.00249384,0.00699963,545.757911,
-0.00254145,0.00707767,550.763843,
-0.00257136,0.00716505,556.735832,
-0.00259629,0.00724235,561.943758,
-0.00263373,0.00733443,568.310952,
-0.0026466,0.00742222,572.377174,
-0.00268737,0.00750847,578.164734,
-0.00271127,0.00759583,583.346314,
-0.00275653,0.00767271,587.886782,
-0.0027892,0.00775528,595.114646,
-0.00281831,0.00783932,600.190838,
-0.00285881,0.00792903,603.378827,
-0.00288889,0.00801727,609.008306,
-0.00291471,0.00809454,616.842152,
-0.00294433,0.00817758,620.302394,
-0.00297808,0.00825032,624.210535,
-0.00301746,0.0083376,629.277945,
-0.00304497,0.00841966,636.760498,
-0.00307782,0.00850482,640.308564,
-0.00310726,0.00859132,646.82506,
-0.00312715,0.00867659,651.470918,
-0.00315241,0.00876309,657.03014,
-0.00318947,0.00884649,660.200565,
-0.00322271,0.00892988,667.024444,
-0.00325591,0.00901391,669.703058,
-0.00328857,0.00910483,676.193208,
-0.00332075,0.00919573,681.023496,
-0.00335583,0.00927955,686.169949,
-0.00338365,0.00936958,690.464514,
-0.00340142,0.00945555,695.145503,
-0.0034461,0.00953933,699.984574,
-0.00347159,0.00962596,704.841209,
-0.00351226,0.00971718,709.522198,
-0.00354523,0.00980555,715.704968,
-0.00356639,0.00989424,719.920493,
-0.00360645,0.00997825,722.941619,
-0.00362608,0.0100651,728.325196,
-0.00366486,0.0101447,733.199398,
-0.00368739,0.0102308,737.309535,
-0.00371786,0.0103161,743.176141,
-0.00375014,0.0104056,747.734178,
-0.00378298,0.0104956,752.353692,
-0.00380943,0.0105739,754.839096,
-0.00384843,0.0106668,760.661791,
-0.00388224,0.0107481,763.735612,
-0.00391342,0.0108352,768.653726,
-0.00393488,0.0109269,773.036117,
-0.00397719,0.0110222,777.365814,
-0.00399511,0.0111111,781.423259,
-0.00402952,0.0112014,785.463139,
