Crack_length,Load,u,Specimen_name
58.88291,132.463095,9.778676,6_7
58.88291,132.262742,9.799389,
58.88291,132.377945,9.808671,
58.88291,132.282778,9.822534,
59.12724,131.962214,9.838221,
59.12724,132.347892,9.84649,
59.12724,131.89209,9.868419,
59.12724,132.082425,9.878066,
59.12724,132.002284,9.888118,
59.12724,131.85202,9.90113,
59.12724,132.197628,9.914425,
59.37157,131.661685,9.936516,
59.37157,131.59657,9.941218,
59.37157,131.611597,9.952851,
59.61589,131.862037,9.970078,
59.61589,131.821967,9.985522,
59.61589,131.3862,9.99452,
59.61589,132.022319,10.007896,
59.61589,131.441297,10.02642,
59.86022,131.366165,10.033027,
59.86022,131.321085,10.049322,
59.86022,131.015548,10.064077,
59.86022,131.230927,10.075913,
59.86022,131.09068,10.092207,
59.86022,131.286024,10.101976,
59.86022,131.025565,10.115676,
60.10455,130.905354,10.133917,
60.10455,130.900345,10.140808,
60.10455,131.065636,10.158561,
60.10455,130.639887,10.169019,
60.34888,130.915372,10.181787,
60.34888,130.855266,10.206392,
60.34888,130.619851,10.208824,
60.34888,130.554737,10.22147,
60.34888,130.229164,10.236711,
60.34888,130.639887,10.246358,
60.5932,130.985495,10.264842,
60.5932,130.644896,10.275908,
60.5932,130.504649,10.285879,
60.5932,130.184085,10.309145,
60.5932,130.755089,10.314131,
60.5932,130.184085,10.329169,
60.5932,129.928635,10.339546,
60.5932,130.489622,10.351463,
60.5932,130.464578,10.371244,
60.5932,130.169058,10.382472,
60.5932,130.434525,10.393618,
60.5932,130.634878,10.411008,
60.83753,130.03382,10.422235,
60.83753,130.394455,10.43018,
60.83753,130.159041,10.444408,
60.83753,130.524684,10.45827,
60.83753,130.930398,10.469863,
60.83753,130.845248,10.487212,
60.83753,130.694984,10.496048,
60.83753,131.250962,10.507519,
60.83753,130.674948,10.526286,
60.83753,130.970468,10.531961,
61.08186,131.030574,10.551255,
61.08186,130.96546,10.562848,
61.08186,131.075654,10.57359,
61.08186,130.845248,10.590492,
61.08186,131.125742,10.605166,
61.08186,131.3862,10.614691,
61.08186,131.225918,10.629689,
61.08186,131.331103,10.639458,
61.08186,130.970468,10.660454,
61.08186,131.045601,10.670101,
61.32619,130.955442,10.67606,
61.32619,130.895336,10.700461,
61.32619,130.785142,10.704636,
61.57051,130.705001,10.721985,
61.57051,130.274243,10.734307,
61.57051,130.750081,10.746265,
61.57051,130.274243,10.763735,
61.57051,130.199111,10.776179,
61.81484,130.063873,10.783151,
61.81484,130.28927,10.80285,
61.81484,130.684966,10.821537,
61.81484,130.149023,10.826279,
61.81484,130.444543,10.839371,
61.81484,130.299287,10.856963,
62.05917,130.214138,10.867299,
62.05917,130.234173,10.882459,
62.05917,130.544719,10.894174,
62.05917,130.229164,10.907307,
62.05917,129.593045,10.927411,
62.05917,130.694984,10.936653,
62.05917,129.898582,10.948287,
62.05917,129.863521,10.96446,
62.30349,130.139005,10.974269,
62.30349,129.833468,10.990239,
62.30349,129.933644,10.998143,
62.30349,130.068882,11.013911,
62.30349,130.209129,11.030814,
62.30349,130.083908,11.038191,
62.30349,130.459569,11.053067,
62.30349,129.898582,11.068592,
62.30349,130.179076,11.078685,
62.30349,129.868529,11.099316,
62.54782,130.234173,11.108153,
62.54782,129.903591,11.116422,
62.54782,129.437771,11.135757,
62.79215,129.573009,11.145242,
62.79215,129.377666,11.161942,
62.79215,129.032057,11.170048,
63.03648,128.881793,11.187194,
63.03648,128.716502,11.20657,
63.03648,129.012022,11.21342,
63.28081,128.966943,11.224202,
63.28081,129.332586,11.236727,
63.28081,128.606308,11.251116,
63.28081,128.441017,11.268384,
63.28081,128.796643,11.280909,
63.28081,129.032057,11.290961,
63.28081,128.786626,11.309769,
63.28081,128.841723,11.318322,
63.28081,128.986978,11.33186,
63.28081,128.536185,11.347223,
63.28081,128.786626,11.354438,
63.52513,128.380912,11.36676,
63.52513,129.092163,11.383501,
63.52513,128.621335,11.395296,
63.52513,128.956925,11.403403,
63.52513,128.736537,11.42136,
63.52513,128.601299,11.429628,
63.52513,128.526167,11.450017,
63.52513,128.746555,11.463272,
63.52513,129.272481,11.470892,
63.76946,128.586273,11.490065,
63.76946,128.270718,11.503522,
63.76946,128.511141,11.513534,
63.76946,128.350859,11.52991,
63.76946,128.110436,11.534693,
